Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
<Programming>,2025.0,"International Conference on the Art, Science, and Engineering of Programming",<Programming>,"International Conference on the Art, Science, and Engineering of Programming",,Recommended,CE-LP-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
3DOR,2025.0,Eurographics Workshop on 3D Object Retrieval,,,,,,Qualis 2017-2020,,,,
3DUI,2025.0,IEEE Symposium on 3D User Interfaces,3DUI|VR,IEEE Conference on Virtual Reality and 3D User Interfaces |IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR)|IEEE Symposium on 3D User Interfaces,IEEE,Recommended,CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
3DV,2025.0,International Conference on 3D Vision,3DV,International Conference on 3D Vision,,Recommended,CE-GRAPI-2024.ce.csv|CE-RV-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
3ICT,2025.0,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,,,,Qualis 2017-2020,,,,
5GWF,2025.0,IEEE 5G World Forum,,,,,,Qualis 2017-2020,,,,
A-TEST,2025.0,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,,,,Qualis 2017-2020,,,,
AAAI,2025.0,AAAI Conference on Artificial Intelligence,AAAI,AAAI Conference on Artificial Intelligence,,Top10,CE-GRAPI-2024.ce.csv|CE-IA-2024.ce.csv|CE-IC-2024.ce.csv|CE-PLN-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AAMAS,2025.0,International Conference on Autonomous Agents and Multiagent Systems,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,,Top10,CE-IA-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ABZ,2025.0,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,Top20,CE-MF-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AC-IADIS,2025.0,IADIS International Conference on Applied Computing,,,,,,Qualis 2017-2020,,,,
ACC,2025.0,American Control Conference,ACC,American Control Conference,,Recommended,CE-R-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACCV,2025.0,Asian Conference on Computer Vision,ACCV,Asian Conference on Computer Vision,,Recommended,CE-GRAPI-2024.ce.csv|CE-RV-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACE,2025.0,International Conference on Advances in Computer Entertainment Technology,ACE,International Conference on Advances in Computer Entertainment Technology|The Australasian Computing Education Conference,,Top20,CE-EDUCOMP-2024.ce.csv|CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACHI-IARIA,2025.0,IARIA International Conference on Advances in Computer-Human Interactions,,,,,,Qualis 2017-2020,,,,
ACII,2025.0,International Conference on Affective Computing and Intelligent Interaction,ACII,Affective Computing and Intelligent Interaction|International Conference on Affective Computing and Intelligent Interaction,,Recommended,CE-IA-2024.ce.csv|CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACIRS,2025.0,Asia-Pacific Conference on Intelligent Robot Systems,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,,Recommended,CE-R-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACISP,2025.0,Australasian Conference on Information Security and Privacy,ACISP,Australasian Conference on Information Security and Privacy,,Recommended,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACIVS,2025.0,Advanced Concepts for Intelligent Vision Systems,ACIVS,Advanced Concepts for Intelligent Vision Systems,,Recommended,CE-GRAPI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACL,2025.0,Annual Meeting of the Association for Computational Linguistics,ACL,Annual Meeting of the Association for Computational Linguistics,,Top10,CE-BD-2024.ce.csv|CE-IA-2024.ce.csv|CE-PLN-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACM CC,2025.0,Creativity & Cognition,ACM CC,Creativity & Cognition,,Recommended,CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACM CHI PLAY,2025.0,Annual Symposium on Computer-Human Interaction in Play,ACM CHI PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,,Top20,CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACM IMX,2025.0,ACM International Conference on Interactive Media Experiences,ACM IMX,ACM International Conference on Interactive Media Experiences,,Top10,CE-WEBMEDIA-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACMIDC,2025.0,ACM Internacional Conference on Interaction Design and Children,,,,,,Qualis 2017-2020,,,,
ACMMM,2025.0,ACM International Conference on Multimedia,,,,,,Qualis 2017-2020,,,,
ACMSOCC,2025.0,ACM Symposium on Cloud Computing,ACMSOCC,ACM Symposium on Cloud Computing,,Recommended,CE-RESD-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACNS,2025.0,Applied Cryptography and Network Security,ACNS,Applied Cryptography and Network Security,,Top20,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACRA,2025.0,Australasian Conference on Robotics and Automation,ACRA,Australasian Conference on Robotics and Automation,,Recommended,CE-R-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ACSAC,2025.0,Computer Security Applications Conference,ACSAC,Computer Security Applications Conference,,Top20,CE-SEG-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
ADBIS,2025.0,East European Conference on Advances in Databases and Information Systems,ADBIS,Advances in Databases and Information Systems|East European Conference on Advances in Databases and Information Systems|European Conference on Advances in Databases and Information Systems,,Top20,CE-BD-2024.ce.csv|CE-SI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
