Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
<Programming>,2025,"International Conference on the Art, Science, and Engineering of Programming",,,,,,Qualis 2017-2020,,,,
3DOR,2025,Eurographics Workshop on 3D Object Retrieval,,,,,,Qualis 2017-2020,,,,
3DUI,2025,IEEE Symposium on 3D User Interfaces,VR,IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR),IEEE,,,Qualis 2017-2020,,,,
3DV,2025,International Conference on 3D Vision,,,,,,Qualis 2017-2020,,,,
3ICT,2025,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,,,,Qualis 2017-2020,,,,
5GWF,2025,IEEE 5G World Forum,,,,,,Qualis 2017-2020,,,,
A-TEST,2025,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,,,,Qualis 2017-2020,,,,
AAAI,2025,AAAI Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,,,,
AAMAS,2025,International Conference on Autonomous Agents and Multiagent Systems,,,,,,Qualis 2017-2020,,,,
ABZ,2025,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,,,,,Qualis 2017-2020,,,,
AC-IADIS,2025,IADIS International Conference on Applied Computing,,,,,,Qualis 2017-2020,,,,
ACC,2025,American Control Conference,,,,,,Qualis 2017-2020,,,,
ACCV,2025,Asian Conference on Computer Vision,,,,,,Qualis 2017-2020,,,,
ACE,2025,International Conference on Advances in Computer Entertainment Technology,,,,,,Qualis 2017-2020,,,,
ACHI-IARIA,2025,IARIA International Conference on Advances in Computer-Human Interactions,,,,,,Qualis 2017-2020,,,,
ACII,2025,International Conference on Affective Computing and Intelligent Interaction,,,,,,Qualis 2017-2020,,,,
ACIRS,2025,Asia-Pacific Conference on Intelligent Robot Systems,,,,,,Qualis 2017-2020,,,,
ACISP,2025,Australasian Conference on Information Security and Privacy,,,,,,Qualis 2017-2020,,,,
ACIVS,2025,Advanced Concepts for Intelligent Vision Systems,,,,,,Qualis 2017-2020,,,,
ACL,2025,Annual Meeting of the Association for Computational Linguistics,,,,,,Qualis 2017-2020,,,,
ACM CC,2025,Creativity & Cognition,,,,,,Qualis 2017-2020,,,,
ACM CHI PLAY,2025,Annual Symposium on Computer-Human Interaction in Play,,,,,,Qualis 2017-2020,,,,
ACM IMX,2025,ACM International Conference on Interactive Media Experiences,,,,,,Qualis 2017-2020,,,,
ACMIDC,2025,ACM Internacional Conference on Interaction Design and Children,,,,,,Qualis 2017-2020,,,,
ACMMM,2025,ACM International Conference on Multimedia,,,,,,Qualis 2017-2020,,,,
ACMSOCC,2025,ACM Symposium on Cloud Computing,,,,,,Qualis 2017-2020,,,,
ACNS,2025,Applied Cryptography and Network Security,,,,,,Qualis 2017-2020,,,,
ACRA,2025,Australasian Conference on Robotics and Automation,,,,,,Qualis 2017-2020,,,,
ACSAC,2025,Computer Security Applications Conference,,,,,,Qualis 2017-2020,,,,
ADBIS,2025,East European Conference on Advances in Databases and Information Systems,,,,,,Qualis 2017-2020,,,,
ADHOC-NOW,2025,International Conference on Ad-Hoc Networks and Wireless,,,,,,Qualis 2017-2020,,,,
