cited_by_count,publication_year,title,display_name,conference,booktitle,source,primary_location.source.display_name,primary_location.source.host_organization_name,doi,ids.doi,authorships.author.display_name,authorships.raw_author_name
5,2024,Formal Methods and Tools Applied in the Railway Domain,Formal Methods and Tools Applied in the Railway Domain,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_1,https://doi.org/10.1007/978-3-031-63790-2_1,Maurice H. ter Beek,Maurice H. ter Beek
1,2024,Formal Modeling and Analysis of Apache Kafka in Alloy 6,Formal Modeling and Analysis of Apache Kafka in Alloy 6,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_2,https://doi.org/10.1007/978-3-031-63790-2_2,Saloni Sinha | Eunsuk Kang,Saloni Sinha | Eunsuk Kang
0,2024,Event-B Development of Modelling Human Intervention Request in Self-driving Vehicle Systems,Event-B Development of Modelling Human Intervention Request in Self-driving Vehicle Systems,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_3,https://doi.org/10.1007/978-3-031-63790-2_3,Fahad Alotaibi | Thai Son Hoang | Asieh Salehi Fathabadi | Michael Butler,Fahad Alotaibi | Thai Son Hoang | Asieh Salehi Fathabadi | Michael Butler
1,2024,Alloy Goes Fuzzy,Alloy Goes Fuzzy,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_4,https://doi.org/10.1007/978-3-031-63790-2_4,P. Ravindra De Silva | Alcino Cunha | Nuno Macedo | José N. Oliveira,Pedro Silva | Alcino Cunha | Nuno Macedo | José N. Oliveira
1,2024,Transpilation of Petri-nets into B,Transpilation of Petri-nets into B,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_5,https://doi.org/10.1007/978-3-031-63790-2_5,Akram Idani,Akram Idani
0,2024,A Lean Reflective Abstract State Machine Definition,A Lean Reflective Abstract State Machine Definition,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_6,https://doi.org/10.1007/978-3-031-63790-2_6,Egon Börger | Vincenzo Gervasi,Egon Börger | Vincenzo Gervasi
0,2024,Loose Observation in Event-B,Loose Observation in Event-B,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_7,https://doi.org/10.1007/978-3-031-63790-2_7,Stefan Hallerstede,Stefan Hallerstede
0,2024,Modal Extensions of the Logic of Abstract State Machines,Modal Extensions of the Logic of Abstract State Machines,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_8,https://doi.org/10.1007/978-3-031-63790-2_8,Flavio Ferrarotti | Klaus‐Dieter Schewe,Flavio Ferrarotti | Klaus-Dieter Schewe
1,2024,An Analysis of the Impact of Field-Value Instance Navigation in Alloy’s Model Finding,An Analysis of the Impact of Field-Value Instance Navigation in Alloy’s Model Finding,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_9,https://doi.org/10.1007/978-3-031-63790-2_9,César Cornejo | María Marta Novaira | Sonia Permigiani | Nazareno Aguirre | Marcelo F. Frias | Simón Gutiérrez Brida | Germán Regis,César Cornejo | María Marta Novaira | Sonia Permigiani | Nazareno Aguirre | Marcelo Frias | Simón Gutiérrez Brida | Germán Regis
1,2024,From Concept to Code: Unveiling a Tool for Translating Abstract State Machines into Java Code,From Concept to Code: Unveiling a Tool for Translating Abstract State Machines into Java Code,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_10,https://doi.org/10.1007/978-3-031-63790-2_10,Andrea Bombarda | Silvia Bonfanti | Angelo Gargantini,Andrea Bombarda | Silvia Bonfanti | Angelo Gargantini
0,2024,An Event-B Formal Model for Access Control and Resource Management of Serverless Apps,An Event-B Formal Model for Access Control and Resource Management of Serverless Apps,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_11,https://doi.org/10.1007/978-3-031-63790-2_11,Mehmet Said Nur Yagmahan | Abdolbaghi Rezazadeh | Michael Butler,Mehmet Said Nur Yagmahan | Abdolbaghi Rezazadeh | Michael Butler
0,2024,Property Ownership Formal Modelling Using Event-B and iUML-B,Property Ownership Formal Modelling Using Event-B and iUML-B,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_12,https://doi.org/10.1007/978-3-031-63790-2_12,Manar Altamimi | Nawfal Al Hashimy | Asieh Salehi Fathabadi | Gary Wills,Manar Altamimi | Nawfal Al Hashimy | Asieh Salehi Fathabadi | Gary Wills
1,2024,A Modeling and Verification Framework for Ethereum Smart Contracts,A Modeling and Verification Framework for Ethereum Smart Contracts,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_13,https://doi.org/10.1007/978-3-031-63790-2_13,Simone Valentini | Chiara Braghin | Elvinia Riccobene,Simone Valentini | Chiara Braghin | Elvinia Riccobene
1,2024,Semantics Formalisation – From Event-B Contexts to Theories,Semantics Formalisation – From Event-B Contexts to Theories,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_14,https://doi.org/10.1007/978-3-031-63790-2_14,Thai Son Hoang | Laurent Voisin | Karla Morris | Colin Snook | Michael Butler,Thai Son Hoang | Laurent Voisin | Karla Vanessa Morris Wright | Colin Snook | Michael Butler
1,2024,Using Symbolic Execution to Transform Turbo Abstract State Machines into Basic Abstract State Machines,Using Symbolic Execution to Transform Turbo Abstract State Machines into Basic Abstract State Machines,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_15,https://doi.org/10.1007/978-3-031-63790-2_15,Giuseppe Del Castillo,Giuseppe Del Castillo
0,2024,Multi-model Animation with JeB,Multi-model Animation with JeB,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_16,https://doi.org/10.1007/978-3-031-63790-2_16,Jean‐Pierre Jacquot,Jean-Pierre Jacquot
1,2024,Meta-programming Event-B,Meta-programming Event-B,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_17,https://doi.org/10.1007/978-3-031-63790-2_17,Julius Armbrüster | Philipp Körner,Julius Armbrüster | Philipp Körner
1,2024,Event-B as DSL in Isabelle and HOL Experiences from a Prototype,Event-B as DSL in Isabelle and HOL Experiences from a Prototype,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_18,https://doi.org/10.1007/978-3-031-63790-2_18,Benoît Ballenghien | Burkhart Wolff,Benoît Ballenghien | Burkhart Wolff
0,2024,ThoR: An Alloy5-Like DSL for Interactive Theorem Proving in Coq,ThoR: An Alloy5-Like DSL for Interactive Theorem Proving in Coq,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-63790-2_19,https://doi.org/10.1007/978-3-031-63790-2_19,Bodo Igler | Andreas Mayer,Bodo Igler | Andreas Mayer
