Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
60,"P Faustini, T Covões","Fake news detection using one-class classification",2019,"2019 8th Brazilian Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923888/","https://scholar.google.com/scholar?cites=12586984746552040924&as_sdt=2005&sciodt=2007&hl=en",1,"2025-09-06 15:53:20","","","","",,,,,60,10.00,30,2,6,"Fake news have attracted attention of general public because of the influence they can exert on important activities of society, such as elections. Efforts have been made to detect them, …","","https://scholar.google.com/scholar?q=related:3J1-M_Dzra4J:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
59,"CL da Silva, LM Petry, V Bogorny","A survey and comparison of trajectory classification methods",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923877/","https://scholar.google.com/scholar?cites=17522652021168762096&as_sdt=2005&sciodt=2007&hl=en",2,"2025-09-06 15:53:20","","","","",,,,,59,9.83,20,3,6,"In trajectory classification tasks, the challenge is to find the subtrajectories or a set of features that better discriminate the class. However, there is a lack of robustness in existing methods…","https://www.researchgate.net/profile/Lucas-May-Petry/publication/337791304_A_Survey_and_Comparison_of_Trajectory_Classification_Methods/links/5e80c46f299bf1a91b89e5f1/A-Survey-and-Comparison-of-Trajectory-Classification-Methods.pdf","https://scholar.google.com/scholar?q=related:8GyLnCz3LPMJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
44,"LDS Pacifico, LFS Britto, EG Oliveira…","Automatic classification of medicinal plant species based on color and texture features",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8924019/","https://scholar.google.com/scholar?cites=5468221495799887271&as_sdt=2005&sciodt=2007&hl=en",3,"2025-09-06 15:53:20","","","","",,,,,44,7.33,11,4,6,"Plants play an important role in nature, providing sustenance, oxygen and shelter for animals. Many plant and herb species have a long history of use as sources for medicines and …","","https://scholar.google.com/scholar?q=related:p7VOgnoG40sJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
43,"J Santos, B Consoli, C dos Santos…","Assessing the impact of contextual embeddings for Portuguese named entity recognition",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923652/","https://scholar.google.com/scholar?cites=14181585993304667799&as_sdt=2005&sciodt=2007&hl=en",4,"2025-09-06 15:53:20","","","","",,,,,43,7.17,11,4,6,"Modern approaches to Named Entity Recognition (NER) use neural networks (NN) to automatically extract features from text and seamlessly integrate them with sequence taggers in an …","","https://scholar.google.com/scholar?q=related:l3aU2lIdz8QJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
29,"PM Da Silva, MNCA Lima, WL Soares…","Ensemble regression models applied to dropout in higher education",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923655/","https://scholar.google.com/scholar?cites=2356877818822882045&as_sdt=2005&sciodt=2007&hl=en",5,"2025-09-06 15:53:20","","","","",,,,,29,4.83,7,4,6,"Context: School dropout is a significant challenge for the Brazilian education system. Several factors need to be corrected, and others eliminated so that students can to have access to …","","https://scholar.google.com/scholar?q=related:_XLvkeNPtSAJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
23,"HF Sayama, AV Araujo…","FaQuAD: Reading comprehension dataset in the domain of Brazilian higher education",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923668/","https://scholar.google.com/scholar?cites=4326005815410184248&as_sdt=2005&sciodt=2007&hl=en",6,"2025-09-06 15:53:20","","","","",,,,,23,3.83,8,3,6,"Academic secretaries and faculty members of higher education institutions face a common problem: the abundance of questions sent by academics whose answers are found in …","https://www.researchgate.net/profile/Eraldo-Fernandes/publication/337789791_FaQuAD_Reading_Comprehension_Dataset_in_the_Domain_of_Brazilian_Higher_Education/links/5e825f5fa6fdcc139c173c8f/FaQuAD-Reading-Comprehension-Dataset-in-the-Domain-of-Brazilian-Higher-Education.pdf","https://scholar.google.com/scholar?q=related:OFDMc14PCTwJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
21,"T Brito-Sarracino, MR dos Santos…","Explainable machine learning for breast cancer diagnosis",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923961/","https://scholar.google.com/scholar?cites=4006936297255415354&as_sdt=2005&sciodt=2007&hl=en",10,"2025-09-06 15:53:20","","","","",,,,,21,3.50,7,3,6,"Cancer is already the leading cause of death in most Brazilian cities and in the world. The understanding of its internal mechanisms and the design of computational models capable of …","","https://scholar.google.com/scholar?q=related:Oi6HK1V_mzcJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
20,"FLF Pereira, DN Teixeira, JPP Gomes…","Evaluating one-class classifiers for fault detection in hard disk drives",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923991/","https://scholar.google.com/scholar?cites=495764296385290658&as_sdt=2005&sciodt=2007&hl=en",9,"2025-09-06 15:53:20","","","","",,,,,20,3.33,5,4,6,"In recent years, both academy and industry have focused on designing solutions for fault detection in Hard Disk Drives (HDD). Such effort is justified by the wide range of benefits …","","https://scholar.google.com/scholar?q=related:ouFdOgBP4QYJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
19,"LS Cordeiro, JS Lima, AIR Ribeiro…","Pill image classification using machine learning",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923984/","https://scholar.google.com/scholar?cites=9684186277622433504&as_sdt=2005&sciodt=2007&hl=en",8,"2025-09-06 15:53:20","","","","",,,,,19,3.17,5,4,6,"Pill classification and recognition are crucial tasks in preventing the misuse of medication. There is a growing need for automation for these tasks due to its inherent complexity. The …","","https://scholar.google.com/scholar?q=related:4MZlSBwkZYYJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
19,"V Rezende, M Costa, A Santos…","Image processing with convolutional neural networks for classification of plant diseases",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923898/","https://scholar.google.com/scholar?cites=12781913346371827208&as_sdt=2005&sciodt=2007&hl=en",11,"2025-09-06 15:53:20","","","","",,,,,19,3.17,5,4,6,"Convolutional neural networks (CNNs) are one of the most promising techniques from computer vision that can generate substantial gains in the most varied classification problems. In …","https://www.researchgate.net/profile/Roberto-Oliveira-7/publication/337786495_Image_Processing_with_Convolutional_Neural_Networks_for_Classification_of_Plant_Diseases/links/5edfa37ca6fdcc4768910939/Image-Processing-with-Convolutional-Neural-Networks-for-Classification-of-Plant-Diseases.pdf","https://scholar.google.com/scholar?q=related:CDZRkHd6YrEJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
