Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"Camila F. Bassetto","Aplicação do Teste Qui-Quadrado sobre a associação entre proficiência em matemática e fatores socioeconômicos: uma abordagem com dados do SARESP",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0372","",28,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0372","2359-0793","",,,,,4,1.00,4,1,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3667/3696",""
2,"Majid Forghani-elahabad, Emílio Francesquini, Wei-Chang Yeh","A simple vectorization algorithm to address the d-MP problem without generating duplicate candidates",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0346","",85,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0346","2359-0793","",,,,,2,0.50,1,3,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3646/3675",""
2,"Odenis Alessi, Rubia Diana Mantai, José Antonio Gonzales da Silva, Laura Mensch Pereira, Vanessa Pansera, Adriana Rosélia Kraisig, Cibele Luisa Peter, Cláudia Vanessa Argenta, Natiane Carolina Ferrari Basso","Modelo de Estabilidade de Ecovalência e Eberhart &amp; Russell na definição da dose mais sustentável de fornecimento de nitrogênio em aveia",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0443","",148,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0443","2359-0793","",,,,,2,0.50,0,9,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3681/3710",""
2,"Carlos Eduardo Pereira de Quadros, Diana Francisca Adamatti, André Andrade Longaray","O Processo de Análise Hierárquica (AHP) e a teoria das Inteligências Múltiplas (MI): uma revisão de literatura com meta-síntese sobre a relação entre o método e a teoria",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0454","",161,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0454","2359-0793","",,,,,2,0.50,1,3,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3680/3709",""
1,"Natan Sian das Neves, Vitor Pancieri Pinheiro","Modelagem computacional por elementos finitos de problemas da termoelasticiclade bidimensional",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0435","",24,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0435","2359-0793","",,,,,1,0.25,1,2,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3640/3669",""
1,"Yuri Alexandre Aoto, Márcio Fabiano da Silva","An Optimisation on the Grassmannian with Applications toQuantum Chemistry",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0356","",46,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0356","2359-0793","",,,,,1,0.25,1,2,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3685/3714",""
1,"Rui Paiva, Benjamín Bedregal","General quasi-overlap functions on lattices",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0417","",48,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0417","2359-0793","",,,,,1,0.25,1,2,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3587/3619",""
1,"Marilaine Colnago, Wallace Casaca, Cássio Machiaveli Oishi, Fábio Vinicius Amaral, José Alberto Cuminato","Lockdown contra a Covid-19 funciona ou não? Um estudo de caso com o município de Araraquara",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0429","",86,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0429","2359-0793","",,,,,1,0.25,0,5,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3608/3637",""
1,"Natasha Hirschfeldt, Roberta Lima, Rubens Sampaio","Energy analysis of an electromagnetic loudspeaker",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0400","",91,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0400","2359-0793","",,,,,1,0.25,0,3,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3706/3735",""
1,"Sandro Rodrigues Mazorche, Noemi Zeraick Monteiro","Modelos epidemiológicos fracionários: o que se perde, o que se ganha, o que se transforma?",2021,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2021.008.01.0448","",92,"2025-09-05 18:00:56","proceedings-article","10.5540/03.2021.008.01.0448","2359-0793","",,,,,1,0.25,1,2,4,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3665/3694",""
