Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"Eduardo Lima De Oliveira, Silvia Cristina Belo e Silva, Héctor Vargas Poblete, Jiang Zhu, Abimael Fernando Loula","Discontinuous Galerkin Finite Element Analysis of a Thermal coupling problem",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0246","",10,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0246","2359-0793","",,,,,2,0.67,0,5,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3952/4002",""
2,"Aline de L. Z. Lunkes, Fábio Borges","Sobre a aplicação de homomorfismo na criptografia",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0306","",23,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0306","2359-0793","",,,,,2,0.67,1,2,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3878/3928",""
1,"Lucas Siviero Sibemberg, Luiz Emilio Allem, Carlos Hoppen","Hierarchical Similarity Measure for Spectral Clustering",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0263","",4,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0263","2359-0793","",,,,,1,0.33,0,3,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3823/3873",""
1,"Adriana T. E. Oliveira, Geraldo L. Diniz","Ensino de Funções Trigonométricas com Modelagem Matemática",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0252","",60,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0252","2359-0793","",,,,,1,0.33,1,2,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3792/3842",""
1,"Hugo Lara Urdaneta, Rafael Aleixo","On the Delayed Weighted Gradient Method with Simultaneous Step-Size Search",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0288","",70,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0288","2359-0793","",,,,,1,0.33,1,2,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3777/3827",""
1,"Junior Cesar Alves Soares, Felix Costa Silva, Stefânia Jarosz, Gastão Silves Ferreira Frederico","A note on Lie point symmetry to generalized fractional Burgers’ equation",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0231","",93,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0231","2359-0793","",,,,,1,0.33,0,4,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3948/3998",""
1,"Juan V. Bogado, Diego H. Stalder, Christian E. Schaerer, Max Ramírez Soto, Denisse Champin","Temperature-based Dengue Outbreaks Modelling with Exogenous Variables",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0311","",96,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0311","2359-0793","",,,,,1,0.33,0,5,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3861/3911",""
0,"Micaeli Mendola Theodoro, Thomas Nogueira Vilches, Rubens Figueiredo Camargo","Modelagem Fracionária da dinâmica da COVID-19",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0275","",1,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0275","2359-0793","",,,,,0,0.00,0,3,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3911/3962",""
0,"Hengameh R. Dehkordi","On the paths through which the fire progress faster",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0289","",2,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0289","2359-0793","",,,,,0,0.00,0,1,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3742/3792",""
0,"Wanderson F. dos Santos, Welington H. Vieira","Modelagem computacional do processo de danificação do concreto em mesoescala",2022,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2022.009.01.0274","",3,"2025-09-05 18:00:43","proceedings-article","10.5540/03.2022.009.01.0274","2359-0793","",,,,,0,0.00,0,2,3,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/3725/3775",""
