Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"Odenis Alessi, Eldair Fabricio Dornelles, Ângela Teresinha Woschinski de Mamann, Adriana Roselia Kraisig, Luana Henrichsen, Anderson Marolli, Vanessa Pansera, José Antonio Gonzalez da Silva","Aplicação de Modelos de Regressão e de Adaptabilidade e Estabilidade na Identiﬁcação de Cultivares de Aveia Branca com Maior Resistência Genética a Doenças Foliares",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0424","",1,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0424","2359-0793","",,,,,2,0.33,0,8,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2591/2610",""
0,"Ana Carla Ferreira Nicola Gomes, Adriano De Cezaro","Estudo da Estabilidade do Modelo Compartimental SIRC Fracionário",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0427","",2,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0427","2359-0793","",,,,,0,0.00,0,2,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2572/2591",""
0,"Bruna Azevedo Guimarães Santos, Mateus Do Nascimento, Carlos Alexandre Silva, Lillia Dos Santos Barsante Silva, José Luis Acebal Fernandes","Analise da Taxa de Infestação Vetorial do Aedes",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0429","",3,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0429","2359-0793","",,,,,0,0.00,0,5,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2567/2587",""
0,"Alexsandro Queiroz Lencina, Rafael Zancan Frantz, Fabricia Roos Frantz, Sandro Sawicki","Modelagem Matemática para a Simulação Computacional de uma Solução de Integração no Contexto da Administração Pública de Ijuí-RS",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0431","",4,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0431","2359-0793","",,,,,0,0.00,0,4,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2602/2621",""
0,"Angélica N. Caseri, Carlos Frederico de Angelis","Combinação de informações fornecidas por pluviômetros e radares meteorológicos",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0430","",5,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0430","2359-0793","",,,,,0,0.00,0,2,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2598/2617",""
0,"Thiago De Souza Pinto, Michele Cristina Valentino, Luís Fernando Costa Alberto","Uma extensão do princípio de invariância para sistemas chaveados aﬁns via múltiplas funções auxiliares",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0423","",6,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0423","2359-0793","",,,,,0,0.00,0,3,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2664/2683",""
0,"Isaac D. B. Silva, Laécio C. Barros, João F. C. A. Meyer","Modelagem de risco e perigo de incêndios florestais com simulações de propagação",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0432","",7,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0432","2359-0793","",,,,,0,0.00,0,3,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2606/2625",""
0,"Lucas G. Oliveira, Danielle G. Teixeira, Paulo Fernando F. Frutuoso e Melo","Frequência de acidente de uma instalação industrial com um canal de proteção sujeito a envelhecimento",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0425","",8,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0425","2359-0793","",,,,,0,0.00,0,3,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2593/2612",""
0,"Sanderson L. Gonzaga De Oliveira, Guilherme O. Chagas","Um análise comparativa entre quatro algoritmos para reduções de largura de banda de matrizes",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0422","",9,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0422","2359-0793","",,,,,0,0.00,0,2,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2570/2589",""
0,"Edmilson Paulo de Oliveira, Rosana Sueli da Motta Jafelice, Marcos Antônio da Câmara","Solução numérica das equações de Saint Venant utilizando um SBRF",2019,"Proceeding Series of the Brazilian Society of Computational and Applied Mathematics","SBMAC","https://doi.org/10.5540/03.2018.006.02.0426","",10,"2025-09-05 18:01:33","proceedings-article","10.5540/03.2018.006.02.0426","2359-0793","",,,,,0,0.00,0,3,6,"","https://proceedings.sbmac.org.br/sbmac/article/viewFile/2595/2614",""
