cited_by_count,publication_year,title,display_name,conference,booktitle,source,primary_location.source.display_name,primary_location.source.host_organization_name,doi,ids.doi,authorships.author.display_name,authorships.raw_author_name
0,2024,Advanced Algorithms for the Reclaimer Scheduling Problem with Sequence-Dependent Setup Times and Availability Constraints,Advanced Algorithms for the Reclaimer Scheduling Problem with Sequence-Dependent Setup Times and Availability Constraints,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_28,https://doi.org/10.1007/978-3-031-62912-9_28,Oualid Benbrik | Rachid Benmansour | Abdelhak Elidrissi | Angelo Sifaleras,Oualid Benbrik | Rachid Benmansour | Abdelhak Elidrissi | Angelo Sifaleras
0,2024,An Efficient Algorithm for the T-Row Facility Layout Problem,An Efficient Algorithm for the T-Row Facility Layout Problem,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_29,https://doi.org/10.1007/978-3-031-62912-9_29,Raúl Martín-Santamaría | Alberto Herrán | Abraham Duarte | J. Manuel Colmenar,Raúl Martín-Santamaría | Alberto Herrán | Abraham Duarte | J. Manuel Colmenar
0,2024,"Interpretability, Adaptability and Scalability of Variable Neighborhood Search","Interpretability, Adaptability and Scalability of Variable Neighborhood Search",,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_30,https://doi.org/10.1007/978-3-031-62912-9_30,Pierre Hansen | Aidan Riordan | Xavier Hansen,Pierre Hansen | Aidan Riordan | Xavier Hansen
0,2024,Exploring the Integration of General Variable Neighborhood Search with Exact Procedures for the Optimization of the Order Batching Problem,Exploring the Integration of General Variable Neighborhood Search with Exact Procedures for the Optimization of the Order Batching Problem,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_31,https://doi.org/10.1007/978-3-031-62912-9_31,Sergio Gil-Borrás | Eduardo G. Pardo,Sergio Gil-Borrás | Eduardo G. Pardo
0,2024,VNS-Based Matheuristic Approach to Group Steiner Tree with Problem-Specific Node Release Strategy,VNS-Based Matheuristic Approach to Group Steiner Tree with Problem-Specific Node Release Strategy,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_32,https://doi.org/10.1007/978-3-031-62912-9_32,Tatjana Davidović | Slobodan Jelić,Tatjana Davidović | Slobodan Jelić
1,2024,A Basic Variable Neighborhood Search for the Planar Obnoxious Facility Location Problem,A Basic Variable Neighborhood Search for the Planar Obnoxious Facility Location Problem,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_33,https://doi.org/10.1007/978-3-031-62912-9_33,S. M. Loria Salazar | Abraham Duarte | J. Manuel Colmenar,Sergio Salazar | Abraham Duarte | J. Manuel Colmenar
0,2024,Temporal Action Analysis in Metaheuristics: A Machine Learning Approach,Temporal Action Analysis in Metaheuristics: A Machine Learning Approach,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_34,https://doi.org/10.1007/978-3-031-62912-9_34,Panagiotis Kalatzantonakis | Angelo Sifaleras | Nikolaos Samaras,Panagiotis Kalatzantonakis | Angelo Sifaleras | Nikolaos Samaras
0,2024,A Variable Neighborhood Search Approach for the S-labeling Problem,A Variable Neighborhood Search Approach for the S-labeling Problem,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_35,https://doi.org/10.1007/978-3-031-62912-9_35,Marcos Robles | Sergio Cavero | Eduardo G. Pardo,Marcos Robles | Sergio Cavero | Eduardo G. Pardo
0,2024,Improving Biased Random Key Genetic Algorithm with Variable Neighborhood Search for the Weighted Total Domination Problem,Improving Biased Random Key Genetic Algorithm with Variable Neighborhood Search for the Weighted Total Domination Problem,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_36,https://doi.org/10.1007/978-3-031-62912-9_36,Alejandra Casado | Jesús Sánchez‐Oro | Anna Martı́nez-Gavara | Abraham Duarte,Alejandra Casado | Jesús Sánchez-Oro | Anna Martínez-Gavara | Abraham Duarte
0,2024,Optimization of Fairness and Accuracy on Logistic Regression Models,Optimization of Fairness and Accuracy on Logistic Regression Models,,,Lecture notes in computer science,Springer Science+Business Media,Springer Science+Business Media,https://doi.org/10.1007/978-3-031-62912-9_37,https://doi.org/10.1007/978-3-031-62912-9_37,Javier Yuste | Eduardo G. Pardo | Abraham Duarte,Javier Yuste | Eduardo G. Pardo | Abraham Duarte
