Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"VB de Souza, JC Nobre, K Becker","Characterization of anxiety, depression, and their comorbidity from texts of social networks",2020,"Simpósio Brasileiro de Banco de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/13630","https://scholar.google.com/scholar?cites=9862445942804947311&as_sdt=2005&sciodt=2007&hl=en",1,"2025-09-06 16:03:25","","","","",,,,,23,4.60,8,3,5,"Depression has become a public health issue, and the high comorbidity rate with anxiety worsens the clinical picture. Early identification is crucial for decisions on the proper line of …","https://sol.sbc.org.br/index.php/sbbd/article/download/13630/13478","https://scholar.google.com/scholar?q=related:b6Fh3VRy3ogJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
13,"R Salles, L Escobar, L Baroni, R Zorrilla…","Harbinger: Um framework para integração e análise de métodos de detecção de eventos em séries temporais",2020,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/13626","https://scholar.google.com/scholar?cites=7494737664025535708&as_sdt=2005&sciodt=2007&hl=en",4,"2025-09-06 16:03:25","","","","",,,,,13,2.60,3,5,5,"Ao analisar séries temporais é possível observar mudanças significativas no comportamento das observações que frequentemente caracterizam a ocorrência de eventos. Eventos se …","https://sol.sbc.org.br/index.php/sbbd/article/download/13626/13474/","https://scholar.google.com/scholar?q=related:3KT7VDKoAmgJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
12,"K Constantino, VAL Cruz, OMM Zucheratto…","Segmentação e classificação semântica de trechos de diários oficiais usando aprendizado ativo",2022,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/21815","https://scholar.google.com/scholar?cites=2958900368386419752&as_sdt=2005&sciodt=2007&hl=en",2,"2025-09-06 16:03:25","","","","",,,,,12,4.00,3,4,3,"Acesso irrestrito e monitorável a leis e regulamentações é pressuposto essencial da democracia. Isso permite, por exemplo, a detecção de ilícitos e o monitoramento de fraudes em …","https://sol.sbc.org.br/index.php/sbbd/article/download/21815/21639","https://scholar.google.com/scholar?q=related:KOxxRzUgECkJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
11,"AA Frozza, ED Defreyn…","A process for inference of columnar NoSQL database schemas",2020,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/13637","https://scholar.google.com/scholar?cites=7563136123781169712&as_sdt=2005&sciodt=2007&hl=en",8,"2025-09-06 16:03:25","","","","",,,,,11,2.20,4,3,5,"Although NoSQL Databases do not require a schema a priori, to be aware of the database schema is essential for activities like data integration, data validation or data interoperability. …","https://sol.sbc.org.br/index.php/sbbd/article/download/13637/13485","https://scholar.google.com/scholar?q=related:MMLmvTuo9WgJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
11,"JGD Harb, K Becker","Emotion analysis of reaction to terrorism on twitter",2018,"Simpósio Brasileiro de Banco de Dados (SBBD …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/22222","https://scholar.google.com/scholar?cites=18402740490033062870&as_sdt=2005&sciodt=2007&hl=en",13,"2025-09-06 16:03:25","","","","",,,,,11,1.57,6,2,7,"Terrorism events impact people in several manners. Reactions may include losing sense of safety and experiencing angry and fear, among others. The social media has become an …","https://sol.sbc.org.br/index.php/sbbd/article/download/22222/22046","https://scholar.google.com/scholar?q=related:1mMeSvmqY_8J:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"L Gomes Jr","In-class social networks and academic performance: how good connections can improve grades",2019,"Simpósio Brasileiro de Banco de Dados (SBBD)","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/8805","https://scholar.google.com/scholar?cites=8837615783526027932&as_sdt=2005&sciodt=2007&hl=en",14,"2025-09-06 16:03:25","","","","",,,,,10,1.67,10,1,6,"Understanding how different variables affect student performance is an important requirement for improving educational practices. Since humans are highly social beings, social factors …","https://sol.sbc.org.br/index.php/sbbd/article/download/8805/8706/","https://scholar.google.com/scholar?q=related:nFJ0PruEpXoJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"DB Pina, L Neves, A Paes, D de Oliveira…","Análise de hiperparâmetros em aplicações de aprendizado profundo por meio de dados de proveniência",2019,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/8827","https://scholar.google.com/scholar?cites=12781632796457837255&as_sdt=2005&sciodt=2007&hl=en",15,"2025-09-06 16:03:25","","","","",,,,,10,1.67,2,5,6,"O treinamento das Redes Neurais Convolucionais (CNN) requer o ajuste de hiperparâmetros. As soluções existentes para auxiliar a escolha das melhores combinações de …","https://sol.sbc.org.br/index.php/sbbd/article/download/8827/8728/","https://scholar.google.com/scholar?q=related:xyJa8k57YbEJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
9,"GP Oliveira, APG Reis, BMA Mendes…","Ferramentas open-source de qualidade de dados para licitações públicas: Uma análise comparativa",2022,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/21800","https://scholar.google.com/scholar?cites=9320356227147216850&as_sdt=2005&sciodt=2007&hl=en",3,"2025-09-06 16:03:25","","","","",,,,,9,3.00,2,4,3,"Dados são cada vez mais utilizados como suporte à decisão em diferentes contextos. Para que essas decisões sejam confiáveis e precisas, é necessário garantir a qualidade dos …","https://sol.sbc.org.br/index.php/sbbd/article/download/21800/21624/","https://scholar.google.com/scholar?q=related:0rc1c5uOWIEJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
9,"ADF Martins, L Cabral, PJC Mourão…","Detection of misinformation about covid-19 in brazilian portuguese whatsapp messages using deep learning",2021,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/17868","https://scholar.google.com/scholar?cites=14280876459567833753&as_sdt=2005&sciodt=2007&hl=en",18,"2025-09-06 16:03:25","","","","",,,,,9,2.25,2,4,4,"During the COVID-19 pandemic, the misinformation problem arose once again through social networks, like a harmful health advice and false solutions epidemic. In Brazil, as well as in …","https://sol.sbc.org.br/index.php/sbbd/article/download/17868/17702","https://scholar.google.com/scholar?q=related:mWLHBXrdL8YJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
8,"A Amorim, N Murrugarra-Llerena, V Silva…","Modelagem de tópicos em textos curtos: uma avaliação experimental",2022,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/21811","https://scholar.google.com/scholar?cites=5976112341277571885&as_sdt=2005&sciodt=2007&hl=en",5,"2025-09-06 16:03:25","","","","",,,,,8,2.67,2,4,3,"As redes sociais são utilizadas para expressar opiniões ou interagir com outras pessoas. Diante do amplo escopo de assuntos publicados e a linguagem informal presente nas …","https://sol.sbc.org.br/index.php/sbbd/article/download/21811/21635","https://scholar.google.com/scholar?q=related:LXut94Jq71IJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
