Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
31,"GSS Costa, AC Paiva, GB Junior…","COVID-19 automatic diagnosis with ct images using the novel transformer architecture",2021,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/16073","https://scholar.google.com/scholar?cites=16500349619593991153&as_sdt=2005&sciodt=2007&hl=en",1,"2025-09-06 16:09:22","","","","",,,,,31,7.75,8,4,4,"Even though vaccines are already in use worldwide, the COVID-19 pandemic is far from over, with some countries re-establishing the lockdown state, the virus has taken over 2 million …","https://sol.sbc.org.br/index.php/sbcas/article/download/16073/15914","https://scholar.google.com/scholar?q=related:8dOmcY4E_eQJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
23,"N Oliveira, A Costa, D Araujo, C Portela","Helpcare: Um protótipo de chatbot para o auxílio do tratamento de doenças crônicas",2019,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/6263","https://scholar.google.com/scholar?cites=8157561413189617786&as_sdt=2005&sciodt=2007&hl=en",2,"2025-09-06 16:09:22","","","","",,,,,23,3.83,6,4,6,"O envolvimento efetivo dos pacientes no tratamento é um grande desafio para todas os profissionais de saúde, principalmente quando se trata de doenças crônicas. O tratamento …","https://sol.sbc.org.br/index.php/sbcas/article/download/6263/6161","https://scholar.google.com/scholar?q=related:esiZeuJ6NXEJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
12,"JOB Diniz, JL Ferreira, GLF da Silva…","Segmentação de coração em tomografias computadorizadas utilizando atlas probabilístico e redes neurais convolucionais",2021,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/16055","https://scholar.google.com/scholar?cites=3887919893475796561&as_sdt=2005&sciodt=2007&hl=en",4,"2025-09-06 16:09:22","","","","",,,,,12,3.00,3,4,4,"Organs at risk (OARs) are healthy tissues around cancer that must be preserved in radiotherapy (RT). The heart is one of the fundamental OARs, so computer software has been …","https://sol.sbc.org.br/index.php/sbcas/article/download/16055/15896","https://scholar.google.com/scholar?q=related:UabMRYuq9DUJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
12,"A Lima, LB Maia, PTC dos Santos, GB Junior…","Evolving convolutional neural networks for glaucoma diagnosis",2018,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/3687","https://scholar.google.com/scholar?cites=3017334012951829811&as_sdt=2005&sciodt=2007&hl=en",7,"2025-09-06 16:09:22","","","","",,,,,12,1.71,2,5,7,"Glaucoma is an ocular disease that causes damage to the eye's optic nerve and successive narrowing of the visual field in affected patients which can lead the patient, in advanced …","https://sol.sbc.org.br/index.php/sbcas/article/download/3687/3639/","https://scholar.google.com/scholar?q=related:M52yWky53ykJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
12,"LHS Vogado, RMS Veras, FHD Araujo…","Rede neural convolucional para o diagnóstico de leucemia",2019,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/6241","https://scholar.google.com/scholar?cites=16040219388731291243&as_sdt=2005&sciodt=2007&hl=en",9,"2025-09-06 16:09:22","","","","",,,,,12,2.00,3,4,6,"A leucemia é um tipo de câncer que afeta a produção de células san-guíneas na médula óssea o que dificulta a coagulação do sangue e o combate a infecções. Nesse trabalho …","https://sol.sbc.org.br/index.php/sbcas/article/download/6241/6139","https://scholar.google.com/scholar?q=related:a3apoIxOmt4J:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"JVA de Souza, YB Gumiel, LE Silva…","Named entity recognition for clinical portuguese corpus with conditional random fields and semantic groups",2019,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/6269","https://scholar.google.com/scholar?cites=3198088291986138088&as_sdt=2005&sciodt=2007&hl=en",14,"2025-09-06 16:09:22","","","","",,,,,10,1.67,3,4,6,"Considering the difficulties of extracting entities from Electronic Health Records (EHR) texts in Portuguese, we explore the Conditional Random Fields (CRF) algorithm to build a Named …","https://sol.sbc.org.br/index.php/sbcas/article/download/6269/6167/","https://scholar.google.com/scholar?q=related:6GMrfFvkYSwJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"AGS Fernandes, CM da Silva Martins…","Meta aprendizagem de extraçao de caracterısticas aplicada ao diagnóstico de glaucoma",2019,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/6273","https://scholar.google.com/scholar?cites=7549382670112152274&as_sdt=2005&sciodt=2007&hl=en",17,"2025-09-06 16:09:22","","","","",,,,,10,1.67,3,3,6,"O glaucoma é uma doença silenciosa que pode levar a cegueira caso diagnosticado tardiamente. Métodos de inteligência computacional tem sido propostos com a finalidade de …","https://sol.sbc.org.br/index.php/sbcas/article/download/6273/6171/","https://scholar.google.com/scholar?q=related:0lqGRYrLxGgJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"F Ferré, G de Oliveira, M de Queiroz…","Sala de Situação aberta com dados administrativos para gestão de Protocolos Clínicos e Diretrizes Terapêuticas de tecnologias providas pelo SUS",2020,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/11530","https://scholar.google.com/scholar?cites=4062047422802795338&as_sdt=2005&sciodt=2007&hl=en",20,"2025-09-06 16:09:22","","","","",,,,,10,2.00,3,4,5,"Gestores e especialistas devem lidar com 4 bilhões de registros ambulatoriais para Monitoramento e Avaliação de Tecnologias em Saúde (ATS) do SUS, muitas vezes sem o aparato e …","https://sol.sbc.org.br/index.php/sbcas/article/download/11530/11393","https://scholar.google.com/scholar?q=related:SpvzAJxKXzgJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
9,"D Cardenas, JF Junior, R Moreno, M Rebelo…","Multicenter validation of convolutional neural networks for automated detection of cardiomegaly on chest radiographs",2020,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/11512","https://scholar.google.com/scholar?cites=13596866799452432292&as_sdt=2005&sciodt=2007&hl=en",8,"2025-09-06 16:09:22","","","","",,,,,9,1.80,2,5,5,"This work focused on validating five convolutional neural network models to detect automatically cardiomegaly, a health complication that causes heart enlargement, which may lead to …","https://sol.sbc.org.br/index.php/sbcas/article/download/11512/11375","https://scholar.google.com/scholar?q=related:pCeql1DGsbwJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
8,"WKR Figueredo, IFS da Silva, JOB Diniz…","Abordagem computacional baseada em deep learning para o diagnóstico de endometriose profunda através de imagens de ressonância magnética",2023,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbcas/article/view/25284","https://scholar.google.com/scholar?cites=15475066742828304581&as_sdt=2005&sciodt=2007&hl=en",3,"2025-09-06 16:09:22","HTML","","","",,,,,8,4.00,2,4,2,"Endometriose é uma doença que atinge vários órgãos, principalmente aqueles na estrutura pélvica, e reduz consideravelmente a qualidade de vida da pessoa afetadas. A doença …","https://sol.sbc.org.br/index.php/sbcas/article/view/25284","https://scholar.google.com/scholar?q=related:xQi-UTZ7wtYJ:scholar.google.com/&scioq=%222763+8952%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
