Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"Kennedy Araujo, Ernesto G. Birgin, Debora Pretti Ronconi","A constraint programming model for the flexible job shop scheduling problem with sequencing flexibility and position based learning effects",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157453","",271,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157453","2965-1476","",,,,,1,0.33,0,3,3,"","",""
1,"Carlos Victor Dantas Araújo, Matheus Andrade, Rafael Kendy Arakaki, Fábio Luiz Usberti","A Prize-Collecting Approach for the Dengue Arc Routing Problem",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157478","",287,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157478","2965-1476","",,,,,1,0.33,0,4,3,"","",""
0,"Saulo Custodio de Aquino Ferreira, Margarete Afonso de Sousa, Gustavo Melo, Reinaldo Castro Souza, Paula Medina Maçaira, Fernando Cyrino","CADEIAS DE MARKOV PARA SIMULAÇÃO DE CENÁRIOS DE ENERGIAS RENOVÁVEIS",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157455","",1,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157455","2965-1476","",,,,,0,0.00,0,6,3,"","",""
0,"Matheus Francescatto, Alvaro Neuenfeldt Júnior, Dani Antonini Bromberger, Gabriel Cargnin Stieler, David Disconzi","RESTRIÇÕES PRÁTICAS DO CORTE BIDIMENSIONAL RETANGULAR DE CHAPAS METÁLICAS",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157337","",2,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157337","2965-1476","",,,,,0,0.00,0,5,3,"","",""
0,"Mayara Tenório de Melo Silva, Thárcylla Rebecca Negreiros Clemente","Aplicação do FITradeoff para a priorização de ações facilitadoras à implementação de programas de melhorias da Saúde e Segurança no Trabalho (SST) em uma empresa de pequeno porte",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157416","",3,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157416","2965-1476","",,,,,0,0.00,0,2,3,"","",""
0,"Amanda Rodrigues de Melo, Leonardo Lima Macedo Pires, Márcio Lopes de Assis, Ricardo Antonio Firjam Filho, Kemper Alves de Castro Carlos, Eduardo Pestana de Aguiar","CLASSIFICAÇÃO DE IMAGENS IMOBILIÁRIAS BASEADA EM REDE NEURAL CONVOLUCIONAL EFFICIENTNETV2M",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157454","",4,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157454","2965-1476","",,,,,0,0.00,0,6,3,"","",""
0,"Caio dos Santos, José Carlos Garcia Andrade, Washington Alves de Oliveira, Christiano Lyra Filho","Multiobjective EV Charging Station Planning for Large-Scale Transportation Systems",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157644","",5,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157644","2965-1476","",,,,,0,0.00,0,4,3,"","",""
0,"Miguel Ângelo Lellis Moreira, Igor Pinheiro de Araújo Costa, Carlos Francisco Simões Gomes, Marcos Santos","Proposta de Algoritmo de Análise de Consistência para os Métodos de Apoio Multicritério à Decisão da Família SAPEVO",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157341","",6,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157341","2965-1476","",,,,,0,0.00,0,4,3,"","",""
0,"Rafael Verão Francozo, Saory de Queiroz, Breno José Ferreira Giordano","SELEÇÃO DE NOTEBOOKS UTILIZANDO FITRADEOFF",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157522","",7,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157522","2965-1476","",,,,,0,0.00,0,3,3,"","",""
0,"Emmanuel Omar Nascimento de Freitas, Scheila Daiana Severo Hollveg, Olinto Bassi de Araújo, Felipe Martins Muller","MODELO MATEMÁTICO PARA AUXILIAR NA TOMADA DE DECISÃO EM PROCESSOS DE COMPRA E BENEFICIAMENTO DE ARROZ",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157607","",8,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157607","2965-1476","",,,,,0,0.00,0,4,3,"","",""
0,"Dalvana Lopes ribeiro, André Andrade Longaray","SISTEMA DE SUPORTE À DECISÃO BASEADO EM WEBSIG NO ENFRENTAMENTO À COVID - 19",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157636","",9,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157636","2965-1476","",,,,,0,0.00,0,2,3,"","",""
0,"Fernando Marins, Aneirson Francisco da Silva Silva, Rafael de Carvalho Miranda, Elcio Adilson da Silva Junior, João Victor Soares do Amaral","NETWORK NEW MULTIPLE CRITERIA DATA ENVELOPMENT ANALYSIS MODEL: AN APPLICATION ON EDUCATIONAL CASE",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157350","",10,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157350","2965-1476","",,,,,0,0.00,0,5,3,"","",""
0,"Luis Henrique Pauleti Mendes, Fábio Luiz Usberti, Mario César San Felice","An Evolutionary Algorithm applied to the Multi-Objective Multi-Dimensional Knapsack Problem",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157504","",11,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157504","2965-1476","",,,,,0,0.00,0,3,3,"","",""
0,"Josicleyton Azevedo dos Santos, Miriam Karla Rocha","ANÁLISES EXPLORATÓRIA E MULTIVARIADA COMO FERRAMENTAS PARA DIAGNOSTICAR O CURSO DE ENGENHARIA DE PRODUÇÃO NO BRASIL",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157449","",12,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157449","2965-1476","",,,,,0,0.00,0,2,3,"","",""
0,"Erick Meira, Maurício Lila, Fernando Cyrino","Previsão de consumo hierárquico brasileiro de energia elétrica por métodos de reconciliação robusta",2022,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2022-157533","",13,"2025-09-04 18:47:15","proceedings-article","10.59254/sbpo-2022-157533","2965-1476","",,,,,0,0.00,0,3,3,"","",""
