Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"Julia Gratz, Matheus Degado, Glauco Fiorott Amorim,, Israel Mendonça, Vanessa de Almeida Guimarães, Pedro Henrique González","Planejamento de Operações de Resgate em Florestas Urbanas via BRKGA",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174937","",110,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174937","2965-1476","",,,,,2,1.00,0,6,2,"","",""
2,"Almir Antônio Monteiro Júnior, Pedro Henrique González","LOCALIZAÇÃO DE POSTOS DE TESTAGEM DURANTE SURTO DE DOENÇA INFECCIOSA: UMA ABORDAGEM VIA PROGRAMAÇÃO INTEIRA NO MUNICÍPIO DE NITERÓI-RJ",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174825","",221,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174825","2965-1476","",,,,,2,1.00,1,2,2,"","",""
1,"Guilherme Derenievicz, Roberto Pereira, Leticia Peres, Marcos Castilho, Nadja Rodrigues, Silvério da Cruz","Análise e Modelagem da Logística do Programa Nacional do Livro e do Material Didático",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175026","",39,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175026","2965-1476","",,,,,1,0.50,0,6,2,"","",""
1,"Shayane Carvalho, Maristela Oliveira dos Santos, Mariá Cristina Vasconcelos Nascimento","Abordagens de Otimização para Agrupamento de Itens para a Formação de Kits Cirúrgicos",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174798","",196,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174798","2965-1476","",,,,,1,0.50,0,3,2,"","",""
1,"Renata Pelissari, Guilherme Dean Pelegrina, Leonardo Tomazeli Duarte, João Marcos Travassos Romano","NOVO CLASSIFICADOR MULTICRITÉRIO VIA INTEGRAL DE CHOQUET PARA PROBLEMAS COM CATEGORIAS PRÉ-DEFINIDAS",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175179","",294,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175179","2965-1476","",,,,,1,0.50,0,4,2,"","",""
1,"Gustavo Machado Leal, Humberto José Longo, Hebert Coelho, Leslie Richard Foulds","Valid Path Numberings in Circulant Graphs",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175036","",316,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175036","2965-1476","",,,,,1,0.50,0,4,2,"","",""
0,"Carlos Henrique dos Santos, Afonso Teberga Campos, José Arnaldo Barra Montevechi, Rafael de Carvalho Miranda, José Antonio de Queiroz","MONITORAMENTO DE GÊMEOS DIGITAIS BASEADOS EM SIMULAÇÃO: UMA ABORDAGEM FOCADA NA VALIDAÇÃO PERIÓDICA DOS MODELOS",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174786","",1,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174786","2965-1476","",,,,,0,0.00,0,5,2,"","",""
0,"Guilherme Manso Haddad, Luiz Satoru Ochi","Combinando Técnicas de Machine Learning e Otimização para Roteamento Combinado de Veículos Tripulados e Não Tripulados",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174785","",2,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174785","2965-1476","",,,,,0,0.00,0,2,2,"","",""
0,"Carise Elisane Schmidt, Arinei Silva, Maryam Darvish, Leandro Coelho","O problema de roteamento de veículos dependente do tempo com múltiplos depósitos e frota mista",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174794","",3,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174794","2965-1476","",,,,,0,0.00,0,4,2,"","",""
0,"Lucas Orbolato Carvalho, Newton José Arruda Júnior, Renata de Abreu Alcântara, Luiz Leduino Salles-Neto, Mayara Condé Rocha Murça, Marcelo Xavier Guterres","Optimizing the runway capacity allocation under uncertain capacity constraints",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174932","",4,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174932","2965-1476","",,,,,0,0.00,0,6,2,"","",""
0,"Patrick Doglio, Marcos Roboredo, Artur Alves Pessoa","Um algoritmo de decomposição de Benders para o Problema de Cobertura Máxima p-Hub Não Capacitado com Alocação r e critérios de cobertura binária e parcial",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175198","",5,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175198","2965-1476","",,,,,0,0.00,0,3,2,"","",""
0,"Rodrigo de Souza Barreto Mathias, Bruno Francesco Farinole Dall’Antonia","Avaliação dos Impactos do Fenômeno El Niño-Oscilação Sul sobre o Risco Operacional dos Navios Brasileiros na Antártica Utilizando a Metodologia POLARIS de Apoio à Decisão",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174813","",6,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174813","2965-1476","",,,,,0,0.00,0,2,2,"","",""
0,"Gesiel Rios Lopes, Roberto Fray da Silva, Karina Jorge Pelarigo, Mellina Yamamura, Denise Scatolini, Alexandre Cláudio Botazzo Delbem","Use of multicriteria analysis and map algebra to identify risk areas for multiple health aggravations",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174843","",7,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174843","2965-1476","",,,,,0,0.00,0,6,2,"","",""
0,"Pablo Luiz Braga Soares, Humberto Cavalcante Damasceno, Priscila da Cunha Jácome Vidal","USO DE HEURÍSTICAS NA RESOLUÇÃO DE DOIS ESTUDOS DE CASO DO PROBLEMA DA DIVERSIDADE MÁXIMA NA FORMAÇÃO DE COMITÊS DE UMA UNIVERSIDADE PÚBLICA DO CEARÁ",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175141","",8,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175141","2965-1476","",,,,,0,0.00,0,3,2,"","",""
0,"Lucas Thomaz Januario Pinto, João Victor Duda do Amaral, Maristela Oliveira dos Santos, Willy Soler","Um Modelo Matemático para Redução de Custos com Manufatura e Distribuição de Cartões de Crédito",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175145","",9,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175145","2965-1476","",,,,,0,0.00,0,4,2,"","",""
0,"","",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023","",10,"2025-09-04 18:47:32","proceedings","10.59254/sbpo-2023","2965-1476","",,,,,0,0.00,0,0,2,"","",""
0,"Felipe Alves Mendes da Silva, Livia Torres, Francisco Ramos","EXPLORANDO A EFICIÊNCIA DAS ATIVIDADES DE GRADUAÇÃO E PÓS-GRADUAÇÃO EM UNIVERSIDADES BRASILEIRAS: UMA NOVA ABORDAGEM DEA EM REDE PARALELA COM RECURSOS COMPARTILHADOS",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175038","",11,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175038","2965-1476","",,,,,0,0.00,0,3,2,"","",""
0,"Pedro Prescott, Alexandre Street de Aguiar","Incentivos Regulatórios e Econômicos para Usinas Híbridas Renováveis",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174827","",12,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174827","2965-1476","",,,,,0,0.00,0,2,2,"","",""
0,"Otavio Flaeschen Oliveira, Luiz Satoru Ochi, Luis Resende Silva","DESENVOLVIMENTO DE UMA FERRAMENTA DE MONITORAMENTO DE ALAGAMENTOS PARA CIDADES INTELIGENTES: O CASO DO RIO DE JANEIRO",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-175088","",13,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-175088","2965-1476","",,,,,0,0.00,0,3,2,"","",""
0,"Marcela Stein, Gustavo Carneiro, Virgílio José Martins Ferreira Filho","FERRAMENTA PARA DEFINIR AS LOCALIZAÇÕES DE SONOBOIAS EM REGIÕES MARÍTIMAS",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174905","",14,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174905","2965-1476","",,,,,0,0.00,0,3,2,"","",""
0,"Bárbara Swan Haar, Lidia Angulo-Meza","AVALIAÇÃO DE EFICIÊNCIA DE FILIAIS DE UMA EMPRESA DE MODA VAREJISTA POR MEIO DE ANÁLISE ENVOLTÓRIA DE DADOS",2023,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2023-174903","",15,"2025-09-04 18:47:32","proceedings-article","10.59254/sbpo-2023-174903","2965-1476","",,,,,0,0.00,0,2,2,"","",""
