Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"Gilson Castro, Dimas Cassimiro Nascimento, Bruno Nogueira, Rian Pinheiro, Thyago Nepomuceno","Avaliação da eficiência dos centros integrados de segurança pública de Alagoas: Uma aplicação da análise envoltória de dados",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193483","",306,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193483","2965-1476","",,,,,1,1.00,0,5,1,"","",""
1,"Alex Fernandes de Souza, Paulo Henrique da Silva Campos, Filipe Alves Neto Verri, Pedro Paulo Balestrassi","MULTIVARIATE ANALYSIS OF VARIANCE IN THE TURNING PROCESS OF AISI H13 STEEL",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193532","",400,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193532","2965-1476","",,,,,1,1.00,0,4,1,"","",""
1,"Alex Fernandes de Souza, Paulo Henrique da Silva Campos, Filipe Alves Neto Verri, Pedro Paulo Balestrassi","MULTIVARIATE ANALYSIS OF VARIANCE IN THE TURNING PROCESS OF AISI H13 STEEL",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193532","",401,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193532","2965-1476","",,,,,1,1.00,0,4,1,"","",""
0,"Mateus Carvalho da Silva, Rafael Melo, Christian Elster","Formulação de programação inteira para um problema de consolidação de cargas com frete morto e custos por múltiplas entregas",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193570","",1,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193570","2965-1476","",,,,,0,0.00,0,3,1,"","",""
0,"Plácido Pinheiro, Evandro Carvalho de Andrade, Luana I. Pinheiro, Pedro G. C. D. Pinheiro, Mirian Caliope D. Pinheiro, Luciano C. Nunes","UM NOVO PARADIGMA PARA O DIAGÓSTICO DE AUTISMO: INTEGRANDO APRENDIZADO DE MÁQUINA E ANÁLISE VERBAL DE DECISÃO",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193899","",2,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193899","2965-1476","",,,,,0,0.00,0,6,1,"","",""
0,"Edgard Braz Alves, Jorge Amaral Alves, Ronaldo Ribeiro Goldschmidt","Classificação Automatizada de Sinais Radar de Baixa Probabilidade de Interceptação: Uma Abordagem de Aprendizado Profundo Utilizando a Distribuição Smoothed Pseudo Wigner Ville",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193441","",3,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193441","2965-1476","",,,,,0,0.00,0,3,1,"","",""
0,"Andre Assis de Salles, Vitor Otávio Pontes de Medeiros, Pedro Ivo Paulo da Conceição","Contágio entre as Volatilidades dos Mercados de Grãos Alimentares e o Mercado de Capitais Brasileiro",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193452","",4,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193452","2965-1476","",,,,,0,0.00,0,3,1,"","",""
0,"Clarisse da Silva Vieira, João Vitor Welerson","MODELOS MATEMÁTICOS NO CONTEXTO DO PROBLEMA DE SEQUENCIAMENTO EM PROJETO COM RESTRIÇÃO DE RECURSO: UM ESTUDO BIBLIOMÉTRICO",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193895","",5,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193895","2965-1476","",,,,,0,0.00,0,2,1,"","",""
0,"Flávio Chiarello, Gilberto Reynoso Meza, Roberto Zanetti Freire","ANÁLISE DE DESEMPENHO DE TÉCNICAS DE APRENDIZADO DE MÁQUINA NA CLASSIFICAÇÃO DE DANOS OCASIONADOS POR MACACOS-PREGO EM PLANTAÇÕES DE PINUS",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193805","",6,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193805","2965-1476","",,,,,0,0.00,0,3,1,"","",""
0,"João Victor Soares do Amaral, José Arnaldo Barra Montevechi, Rafael de Carvalho Miranda, Carlos Henrique dos Santos","METAMODELAGEM ADAPTATIVA: Uma Aplicação na Indústria Têxtil",2024,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2024-193779","",7,"2025-09-04 18:47:44","proceedings-article","10.59254/sbpo-2024-193779","2965-1476","",,,,,0,0.00,0,4,1,"","",""
