Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
477,"WE Marcílio, DM Eler","From explanations to feature selection: assessing SHAP values as feature selection mechanism",2020,"2020 33rd SIBGRAPI conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9265985/","https://scholar.google.com/scholar?cites=14503503604414872440&as_sdt=2005&sciodt=2007&hl=en",3,"2025-09-06 15:37:37","","","","",,,,,477,95.40,239,2,5,"Explainability has become one of the most discussed topics in machine learning research in recent years, and although a lot of methodologies that try to provide explanations to black-…","http://sibgrapi.sid.inpe.br/col/sid.inpe.br/sibgrapi/2020/09.25.14.27/doc/PID6618233.pdf","https://scholar.google.com/scholar?q=related:ePu-c6_LRskJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
277,"G Jader, J Fontineli, M Ruiz, K Abdalla, ...","Deep instance segmentation of teeth in panoramic X-ray images",2018,"2018 31st SIBGRAPI …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8614355/","https://scholar.google.com/scholar?cites=13731290210748926137&as_sdt=2005&sciodt=2007&hl=en",4,"2025-09-06 15:37:37","","","","",,,,,277,39.57,55,5,7,"In dentistry, radiological examinations help specialists by showing structure of the tooth bones with the goal of screening embedded teeth, bone abnormalities, cysts, tumors, infections, …","https://www.academia.edu/download/103714797/tooth_segmentation.pdf","https://scholar.google.com/scholar?q=related:uQh997FXj74J:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
193,"C Caetano, F Brémond, ...","Skeleton image representation for 3d action recognition based on tree structure and reference joints",2019,"2019 32nd SIBGRAPI …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8919860/","https://scholar.google.com/scholar?cites=5832264825602477554&as_sdt=2005&sciodt=2007&hl=en",5,"2025-09-06 15:37:37","","","","",,,,,193,32.17,64,3,6,"In the last years, the computer vision research community has studied on how to model temporal dynamics in videos to employ 3D human action recognition. To that end, two main …","https://arxiv.org/pdf/1909.05704","https://scholar.google.com/scholar?q=related:8o0KTvVd8FAJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
106,"B Silva, L Pinheiro, L Oliveira, ...","A study on tooth segmentation and numbering using end-to-end deep neural networks",2020,"2020 33rd SIBGRAPI …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9266021/","https://scholar.google.com/scholar?cites=15102460644996819527&as_sdt=2005&sciodt=2007&hl=en",6,"2025-09-06 15:37:37","","","","",,,,,106,21.20,27,4,5,"Shape, number, and position of teeth are the main targets of a dentist when screening for patient's problems on X-rays. Rather than solely relying on the trained eyes of the dentists, …","https://www.researchgate.net/profile/Luciano-Oliveira-7/publication/344251643_A_study_on_tooth_segmentation_and_numbering_using_end-to-end_deep_neural_networks/links/5f7e251c299bf1b53e15dede/A-study-on-tooth-segmentation-and-numbering-using-end-to-end-deep-neural-networks.pdf","https://scholar.google.com/scholar?q=related:Rypau_C3ltEJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
92,"MM Leonardo, TJ Carvalho, E Rezende, ...","Deep feature-based classifiers for fruit fly identification (Diptera: Tephritidae)",2018,"2018 31st SIBGRAPI …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8614309/","https://scholar.google.com/scholar?cites=17611301444479033212&as_sdt=2005&sciodt=2007&hl=en",8,"2025-09-06 15:37:37","","","","",,,,,92,13.14,23,4,7,"Fruit flies has a big biological and economic importance for the farming of different tropical and subtropical countries in the World. Specifically in Brazil, third largest fruit producer in the …","https://www.researchgate.net/profile/Tiago-Carvalho-8/publication/330478807_Deep_Feature-Based_Classifiers_for_Fruit_Fly_Identification_Diptera_Tephritidae/links/5cd57607458515712ea1978c/Deep-Feature-Based-Classifiers-for-Fruit-Fly-Identification-Diptera-Tephritidae.pdf","https://scholar.google.com/scholar?q=related:fB9_5lrpZ_QJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
88,"FR Cordeiro, G Carneiro","A survey on deep learning with noisy labels: How to train your model when you cannot trust on the annotations?",2020,"2020 33rd SIBGRAPI conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9266015/","https://scholar.google.com/scholar?cites=13883915540389623223&as_sdt=2005&sciodt=2007&hl=en",7,"2025-09-06 15:37:37","","","","",,,,,88,17.60,44,2,5,"Noisy Labels are commonly present in data sets automatically collected from the internet, mislabeled by non-specialist annotators, or even specialists in a challenging task, such as in …","https://arxiv.org/pdf/2012.03061","https://scholar.google.com/scholar?q=related:t_VytJ-TrcAJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
84,"PHC Avelar, AR Tavares, ...","Superpixel image classification with graph attention networks",2020,"2020 33rd SIBGRAPI …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9265983/","https://scholar.google.com/scholar?cites=7951116270850962081&as_sdt=2005&sciodt=2007&hl=en",10,"2025-09-06 15:37:37","","","","",,,,,84,16.80,28,3,5,"This paper presents a methodology for image classification using Graph Neural Network (GNN) models. We transform the input images into region adjacency graphs (RAGs), in which …","https://arxiv.org/pdf/2002.05544","https://scholar.google.com/scholar?q=related:oXLmGx8KWG4J:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
82,"R Souza, R Frayne","A hybrid frequency-domain/image-domain deep network for magnetic resonance image reconstruction",2019,"2019 32nd SIBGRAPI conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8919674/","https://scholar.google.com/scholar?cites=6915411431422784263&as_sdt=2005&sciodt=2007&hl=en",11,"2025-09-06 15:37:37","","","","",,,,,82,13.67,41,2,6,"Decreasing magnetic resonance (MR) image acquisition times can potentially make MR examinations more accessible. Compressed sensing (CS)-based image reconstruction …","https://arxiv.org/pdf/1810.12473","https://scholar.google.com/scholar?q=related:B3OhtQ56-F8J:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
79,"AF de Sousa Neto, BLD Bezerra, ...","HTR-Flor: A deep learning system for offline handwritten text recognition",2020,"2020 33rd SIBGRAPI …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9266005/","https://scholar.google.com/scholar?cites=11533831150797977486&as_sdt=2005&sciodt=2007&hl=en",9,"2025-09-06 15:37:37","","","","",,,,,79,15.80,26,3,5,"In recent years, Handwritten Text Recognition (HTR) has captured a lot of attention among the researchers of the computer vision community. Current state-of-the-art approaches for …","http://sibgrapi.sid.inpe.br/attachment.cgi/sid.inpe.br/sibgrapi/2020/09.10.14.33/doc/PID6607213.pdf","https://scholar.google.com/scholar?q=related:jvelolJmEKAJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
79,"MFO Baffa, LG Lattari","Convolutional neural networks for static and dynamic breast infrared imaging classification",2018,"2018 31st SIBGRAPI Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8614326/","https://scholar.google.com/scholar?cites=17875385421853278510&as_sdt=2005&sciodt=2007&hl=en",12,"2025-09-06 15:37:37","","","","",,,,,79,11.29,40,2,7,"Breast cancer is the most frequent type of cancer among women. Since early diagnosis provides a better prognosis, different techniques have been developed by researchers all over …","http://sibgrapi.sid.inpe.br/col/sid.inpe.br/sibgrapi/2018/09.04.01.45/doc/96.pdf","https://scholar.google.com/scholar?q=related:LsHCVFUgEvgJ:scholar.google.com/&scioq=%222377+5416%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
