Sigla,Nome do evento,Sociedade
Programming,"International Conference on the Art, Science, and Engineering of Programming",
3DOR,Eurographics Workshop on 3D Object Retrieval,
3DUI,IEEE Symposium on 3D User Interfaces,
3DV,International Conference on 3D Vision,
3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",
5GWF,IEEE 5G World Forum,
A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation",
AAAI,AAAI Conference on Artificial Intelligence,
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,
ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",
AC-IADIS,IADIS International Conference on Applied Computing,
ACC,American Control Conference,
ACCV,Asian Conference on Computer Vision,
ACE,International Conference on Advances in Computer Entertainment Technology,
ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,
ACII,International Conference on Affective Computing and Intelligent Interaction,
ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,
ACISP,Australasian Conference on Information Security and Privacy,
ACIVS,Advanced Concepts for Intelligent Vision Systems,
ACL,Annual Meeting of the Association for Computational Linguistics,
ACM CC,Creativity & Cognition,
ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,
ACM IMX,ACM International Conference on Interactive Media Experiences,
ACMIDC,ACM Internacional Conference on Interaction Design and Children,
ACMMM,ACM International Conference on Multimedia,
ACMSOCC,ACM Symposium on Cloud Computing,
ACNS,Applied Cryptography and Network Security,
ACRA,Australasian Conference on Robotics and Automation,
ACSAC,Computer Security Applications Conference,
ADBIS,East European Conference on Advances in Databases and Information Systems,
ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,
ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,
ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,
AES,International Convention of the Audio Engineering Society,
AES-ICSA,AES International Conference on Semantic Audio,
AFRICACRYPT,International Conference on Cryptology in Africa,
AGILEGIS,Conference on Geographic Information Science,
AH,Augmented Human International Conference,
AHS,NASA/ESA Conference on Adaptive Hardware and Systems,
AI,Canadian Conference on Artificial Intelligence,
AIC,International Workshop on Artificial Intelligence and Cognition,
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,
AICT,International Conference on Application of Information and Communication Technologies,
AICT-IARIA,IARIA Advanced International Conference on Telecommunications,
AIED,International Conference on Artificial Intelligence in Education,
AIES,"AAAI/ACM Conference on AI, Ethics, and Society",
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,
AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,
AIME,Conference on Artificial Intelligence in Medicine,
AIML,Advances in Modal Logic,
AIMS,"International Conference on Autonomous Infrastructure, Management and Security",
AINA,IEEE International Conference on Advanced Information Networking and Applications,
AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,
AIPR,Applied Imagery Pattern Recognition Workshop,
AISTATS,International Conference on Artificial Intelligence and Statistics,
AITest,IEEE International Conference On Artificial Intelligence Testing,
AITM,Conference on Advanced Information Technologies for Management,
AlCoB,International Conference on Algorithms for Computational Biology,
ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,
ALLERTON,"Allerton Conference on Communication, Control, and Computing",
AMCIS,Americas Conference on Information Systems,
AMD,Workshop on Analysis of Movement Data,
AMIA,Annual Symposium of the American Medical Informatics Association,
AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,
