evento_id,resultado_numero,sigla,nome_evento,nome_scholar,h5,h5_median,qualis
1,1,Programming,"International Conference on the Art, Science, and Engineering of Programming","International Conference on the Art, Science, and Engineering of Programming",NULL,NULL,B3
2,1,3DOR,Eurographics Workshop on 3D Object Retrieval,Eurographics Workshop on 3D Object Retrieval,NULL,NULL,B3
3,1,3DUI,IEEE Symposium on 3D User Interfaces,IEEE Symposium on 3D User Interfaces,NULL,NULL,A3
4,1,3DV,International Conference on 3D Vision,International Conference on 3D Vision (3DV),56,94,A1
5,1,3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies","International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",21,29,B2
6,1,5GWF,IEEE 5G World Forum,IEEE 5G World Forum,NULL,NULL,B1
7,1,A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation","International Workshop on Automating Test Case Design, Selection and Evaluation",NULL,NULL,B2
8,1,AAAI,AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence,232,358,A1
8,2,AAAI,AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23,34,A1
9,1,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,International Conference on Autonomous Agents and Multiagent Systems,54,78,A1
10,1,ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z","International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",NULL,NULL,B3
11,1,AC-IADIS,IADIS International Conference on Applied Computing,IADIS International Conference on Applied Computing,NULL,NULL,B4
12,1,ACC,American Control Conference,American Control Conference,50,67,A1
13,1,ACCV,Asian Conference on Computer Vision,Asian Conference on Computer Vision (ACCV),52,81,A1
14,1,ACE,International Conference on Advances in Computer Entertainment Technology,International Conference on Advances in Computer Entertainment Technology,NULL,NULL,B2
15,1,ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,IARIA International Conference on Advances in Computer-Human Interactions,NULL,NULL,B4
16,1,ACII,International Conference on Affective Computing and Intelligent Interaction,International Conference on Affective Computing and Intelligent Interaction and Workshops,23,31,A4
17,1,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,Asia-Pacific Conference on Intelligent Robot Systems,9,11,B2
18,1,ACISP,Australasian Conference on Information Security and Privacy,Australasian Conference on Information Security and Privacy (ACISP),18,25,A4
19,1,ACIVS,Advanced Concepts for Intelligent Vision Systems,Advanced Concepts for Intelligent Vision Systems,NULL,NULL,A4
20,1,ACL,Annual Meeting of the Association for Computational Linguistics,Annual Meeting of the Association for Computational Linguistics,NULL,NULL,A1
21,1,ACM CC,Creativity & Cognition,Creativity & Cognition,NULL,NULL,B1
22,1,ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,Annual Symposium on Computer-Human Interaction in Play,27,35,A2
23,1,ACM IMX,ACM International Conference on Interactive Media Experiences,ACM International Conference on Interactive Media Experiences,20,28,A3
24,1,ACMIDC,ACM Internacional Conference on Interaction Design and Children,ACM Internacional Conference on Interaction Design and Children,NULL,NULL,A2
25,1,ACMMM,ACM International Conference on Multimedia,ACM International Conference on Multimedia,119,163,A1
25,2,ACMMM,ACM International Conference on Multimedia,ACM International Conference on Multimedia Retrieval,33,53,A1
25,3,ACMMM,ACM International Conference on Multimedia,ACM International Conference on Multimedia in Asia,14,24,A1
26,1,ACMSOCC,ACM Symposium on Cloud Computing,ACM Symposium on Cloud Computing,39,66,A2
27,1,ACNS,Applied Cryptography and Network Security,Applied Cryptography and Network Security,28,46,A3
28,1,ACRA,Australasian Conference on Robotics and Automation,Australasian Conference on Robotics and Automation,NULL,NULL,B4
29,1,ACSAC,Computer Security Applications Conference,Computer Security Applications Conference,40,54,A2
30,1,ADBIS,East European Conference on Advances in Databases and Information Systems,East European Conference on Advances in Databases and Information Systems,NULL,NULL,A4
31,1,ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,International Conference on Ad-Hoc Networks and Wireless,NULL,NULL,B2
32,1,ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,NULL,NULL,B4
33,1,ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,International Workshop on Advances in ICT Infrastructures and Services,NULL,NULL,B4
34,1,AES,International Convention of the Audio Engineering Society,International Convention of the Audio Engineering Society,NULL,NULL,B3
35,1,AES-ICSA,AES International Conference on Semantic Audio,AES International Conference on Semantic Audio,NULL,NULL,B1
36,1,AFRICACRYPT,International Conference on Cryptology in Africa,International Conference on Cryptology in Africa,NULL,NULL,A4
37,1,AGILEGIS,Conference on Geographic Information Science,International Conference on Geographic Information Science,11,16,B3
38,1,AH,Augmented Human International Conference,Augmented Human International Conference (AH),19,25,A3
39,1,AHS,NASA/ESA Conference on Adaptive Hardware and Systems,NASA/ESA Conference on Adaptive Hardware and Systems,NULL,NULL,B2
40,1,AI,Canadian Conference on Artificial Intelligence,Canadian Conference on Artificial Intelligence,19,29,B1
41,1,AIC,International Workshop on Artificial Intelligence and Cognition,International Workshop on Artificial Intelligence and Cognition,NULL,NULL,B4
42,1,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,ACS/IEEE International Conference on Computer Systems and Applications,NULL,NULL,A4
43,1,AICT,International Conference on Application of Information and Communication Technologies,IEEE International Conference on Application of Information and Communication Technologies (AICT),17,27,B1
44,1,AICT-IARIA,IARIA Advanced International Conference on Telecommunications,IARIA Advanced International Conference on Telecommunications,NULL,NULL,B4
45,1,AIED,International Conference on Artificial Intelligence in Education,"DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry",5,6,A3
46,1,AIES,"AAAI/ACM Conference on AI, Ethics, and Society","AAAI/ACM Conference on AI, Ethics, and Society",62,123,A2
47,1,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23,34,A3
48,1,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,20,26,A4
49,1,AIME,Conference on Artificial Intelligence in Medicine,Conference on Artificial Intelligence in Medicine,NULL,NULL,B3
50,1,AIML,Advances in Modal Logic,Conference on Advances in Modal Logic,10,17,B2
51,1,AIMS,"International Conference on Autonomous Infrastructure, Management and Security","International Conference on Autonomous Infrastructure, Management and Security",NULL,NULL,B3
52,1,AINA,IEEE International Conference on Advanced Information Networking and Applications,IEEE International Conference on Advanced Information Networking and Applications,NULL,NULL,A3
53,1,AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,IEEE International Conference on Advanced Information Networking and Applications Workshops,NULL,NULL,B3
54,1,AIPR,Applied Imagery Pattern Recognition Workshop,"IEEE Applied Imagery Pattern Recognition Workshop, AIPR",15,27,B1
55,1,AISTATS,International Conference on Artificial Intelligence and Statistics,International Conference on Artificial Intelligence and Statistics,101,156,A1
56,1,AITest,IEEE International Conference On Artificial Intelligence Testing,IEEE International Conference On Artificial Intelligence Testing,16,25,B2
57,1,AITM,Conference on Advanced Information Technologies for Management,Conference on Advanced Information Technologies for Management,NULL,NULL,B4
58,1,AlCoB,International Conference on Algorithms for Computational Biology,International Conference on Algorithms for Computational Biology,NULL,NULL,B2
59,1,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,SIAM Symposium on Algorithm Engineering and Experiments,NULL,NULL,A4
60,1,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,NULL,NULL,B4
61,1,ALLERTON,"Allerton Conference on Communication, Control, and Computing","Allerton Conference on Communication, Control, and Computing",11,16,A2
62,1,AMCIS,Americas Conference on Information Systems,Americas Conference on Information Systems (AMCIS),29,39,A2
63,1,AMD,Workshop on Analysis of Movement Data,Workshop on Analysis of Movement Data,NULL,NULL,B4
64,1,AMIA,Annual Symposium of the American Medical Informatics Association,Annual Symposium of the American Medical Informatics Association,NULL,NULL,A2
65,1,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,Alberto Mendelzon International Workshop on Foundations of Data Management,NULL,NULL,B1
66,1,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,NULL,NULL,A4
67,1,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,NULL,NULL,B3
68,1,ANSS,Annual Simulation Symposium,Annual Simulation Symposium,NULL,NULL,B2
69,1,ANT,"International Conference on Ambient Systems, Networks and Technologies","International Conference on Ambient Systems, Networks and Technologies (ANT)",47,74,B4
70,1,ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,IEEE International Conference on Advanced Networks and Telecommuncations Systems,NULL,NULL,B1
71,1,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,"IEEE Asia Pacific Conference on Circuits and Systems, APCCAS",12,14,B1
72,1,APKC,ACM on ASIA Public-Key Cryptography Workshop,ACM on ASIA Public-Key Cryptography Workshop,NULL,NULL,B3
73,1,APLAS,Asian Symposium on Programming Languages and Systems,Asian Symposium on Programming Languages and Systems,NULL,NULL,A4
74,1,APNOMS,Asia-Pacific Network Operations and Management Symposium,Asia-Pacific Network Operations and Management Symposium,NULL,NULL,A4
75,1,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,NULL,NULL,A3
76,1,APWEB,Asia-Pacific Web Conference,Asia-Pacific Web Conference,NULL,NULL,B2
77,1,ARC,International Symposium on Applied Reconfigurable Computing,International Symposium on Applied Reconfigurable Computing,NULL,NULL,B1
78,1,ARCS,International Conference on Architecture of Computing Systems,International Conference on Architecture of Computing Systems,NULL,NULL,B2
79,1,ARES,"International Conference on Availability, Reliability and Security","International Conference on Availability, Reliability and Security, ARES",35,53,A2
80,1,ARIC,International Workshop on Intelligent and Resilient Cities,International Workshop on Intelligent and Resilient Cities,NULL,NULL,B4
81,1,ARM,Workshop on Adaptive and Reflective Middleware,Workshop on Adaptive and Reflective Middleware,NULL,NULL,B4
82,1,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),8,15,B2
83,1,ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors","IEEE International Conference on Application-specific Systems, Architectures and Processors, ASAP",20,29,A4
84,1,ASE,IEEE/ACM International Conference on Automated Software Engineering,IEEE/ACM International Conference on Automated Software Engineering (ASE),57,81,A1
85,1,ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security","ACM ASIA Symposium on Information, Computer and Communications Security",NULL,NULL,A1
86,1,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,Annual International Conference on the Theory and Applications of Cryptology and Information Security,NULL,NULL,A1
87,1,ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication","International Conference on Anti-counterfeiting, Security, and Identification in Communication",9,10,B3
