Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Origem Ano,Anais,Anais Link,GS Link,DBLP Link
<Programming>,"International Conference on the Art, Science, and Engineering of Programming",,,,,,Qualis 2017-2020,2021,,,,
3DOR,Eurographics Workshop on 3D Object Retrieval,,,,,,Qualis 2017-2020,2021,,,,
3DUI,IEEE Symposium on 3D User Interfaces,VR,IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR),IEEE,,,Qualis 2017-2020,2021,,,,vr | 3dui
3DV,International Conference on 3D Vision,,,,,,Qualis 2017-2020,2021,,,,
3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,,,,Qualis 2017-2020,2021,,,,
5GWF,IEEE 5G World Forum,,,,,,Qualis 2017-2020,2021,,,,
A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,,,,Qualis 2017-2020,2021,,,,
AAAI,AAAI Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,,,,,,Qualis 2017-2020,2021,,,,
ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,,,,,Qualis 2017-2020,2021,,,,
AC-IADIS,IADIS International Conference on Applied Computing,,,,,,Qualis 2017-2020,2021,,,,
ACC,American Control Conference,,,,,,Qualis 2017-2020,2021,,,,
ACCV,Asian Conference on Computer Vision,,,,,,Qualis 2017-2020,2021,,,,
ACE,International Conference on Advances in Computer Entertainment Technology,,,,,,Qualis 2017-2020,2021,,,,
ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,,,,,,Qualis 2017-2020,2021,,,,
ACII,International Conference on Affective Computing and Intelligent Interaction,,,,,,Qualis 2017-2020,2021,,,,
ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,,,,,,Qualis 2017-2020,2021,,,,
ACISP,Australasian Conference on Information Security and Privacy,,,,,,Qualis 2017-2020,2021,,,,
ACIVS,Advanced Concepts for Intelligent Vision Systems,,,,,,Qualis 2017-2020,2021,,,,
ACL,Annual Meeting of the Association for Computational Linguistics,,,,,,Qualis 2017-2020,2021,,,,
ACM CC,Creativity & Cognition,,,,,,Qualis 2017-2020,2021,,,,
ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,,,,,,Qualis 2017-2020,2021,,,,
ACM IMX,ACM International Conference on Interactive Media Experiences,,,,,,Qualis 2017-2020,2021,,,,
ACMIDC,ACM Internacional Conference on Interaction Design and Children,,,,,,Qualis 2017-2020,2021,,,,
ACMMM,ACM International Conference on Multimedia,,,,,,Qualis 2017-2020,2021,,,,
ACMSOCC,ACM Symposium on Cloud Computing,,,,,,Qualis 2017-2020,2021,,,,
ACNS,Applied Cryptography and Network Security,,,,,,Qualis 2017-2020,2021,,,,
ACRA,Australasian Conference on Robotics and Automation,,,,,,Qualis 2017-2020,2021,,,,
ACSAC,Computer Security Applications Conference,,,,,,Qualis 2017-2020,2021,,,,
ADBIS,East European Conference on Advances in Databases and Information Systems,,,,,,Qualis 2017-2020,2021,,,,
ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,,,,,,Qualis 2017-2020,2021,,,,
ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,,,,,,Qualis 2017-2020,2021,,,,
ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,,,,,,Qualis 2017-2020,2021,,,,
AES,International Convention of the Audio Engineering Society,,,,,,Qualis 2017-2020,2021,,,,
AES-ICSA,AES International Conference on Semantic Audio,,,,,,Qualis 2017-2020,2021,,,,
AFRICACRYPT,International Conference on Cryptology in Africa,,,,,,Qualis 2017-2020,2021,,,,
AGILEGIS,Conference on Geographic Information Science,,,,,,Qualis 2017-2020,2021,,,,
AH,Augmented Human International Conference,,,,,,Qualis 2017-2020,2021,,,,
AHS,NASA/ESA Conference on Adaptive Hardware and Systems,,,,,,Qualis 2017-2020,2021,,,,
AI,Canadian Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,2021,,,,
AIC,International Workshop on Artificial Intelligence and Cognition,,,,,,Qualis 2017-2020,2021,,,,
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,,,,,,Qualis 2017-2020,2021,,,,
AICT,International Conference on Application of Information and Communication Technologies,,,,,,Qualis 2017-2020,2021,,,,
AICT-IARIA,IARIA Advanced International Conference on Telecommunications,,,,,,Qualis 2017-2020,2021,,,,
AIED,International Conference on Artificial Intelligence in Education,,,,,,Qualis 2017-2020,2021,,,,
AIES,"AAAI/ACM Conference on AI, Ethics, and Society",,,,,,Qualis 2017-2020,2021,,,,
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,,,,,,Qualis 2017-2020,2021,,,,
AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,,,,,,Qualis 2017-2020,2021,,,,
AIME,Conference on Artificial Intelligence in Medicine,,,,,,Qualis 2017-2020,2021,,,,
AIML,Advances in Modal Logic,,,,,,Qualis 2017-2020,2021,,,,
AIMS,"International Conference on Autonomous Infrastructure, Management and Security",,,,,,Qualis 2017-2020,2021,,,,
AINA,IEEE International Conference on Advanced Information Networking and Applications,,,,,,Qualis 2017-2020,2021,,,,
AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,,,,Qualis 2017-2020,2021,,,,
AIPR,Applied Imagery Pattern Recognition Workshop,,,,,,Qualis 2017-2020,2021,,,,
AISTATS,International Conference on Artificial Intelligence and Statistics,,,,,,Qualis 2017-2020,2021,,,,
AITest,IEEE International Conference On Artificial Intelligence Testing,,,,,,Qualis 2017-2020,2021,,,,
AITM,Conference on Advanced Information Technologies for Management,,,,,,Qualis 2017-2020,2021,,,,
AlCoB,International Conference on Algorithms for Computational Biology,,,,,,Qualis 2017-2020,2021,,,,
ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,,,,,Qualis 2017-2020,2021,,,,
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,,,,,Qualis 2017-2020,2021,,,,
ALLERTON,"Allerton Conference on Communication, Control, and Computing",,,,,,Qualis 2017-2020,2021,,,,
AMCIS,Americas Conference on Information Systems,,,,,,Qualis 2017-2020,2021,,,,
AMD,Workshop on Analysis of Movement Data,,,,,,Qualis 2017-2020,2021,,,,
AMIA,Annual Symposium of the American Medical Informatics Association,,,,,,Qualis 2017-2020,2021,,,,
AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,,,,,,Qualis 2017-2020,2021,,,,
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,,,,,Qualis 2017-2020,2021,,,,
ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,,,,,,Qualis 2017-2020,2021,,,,
ANSS,Annual Simulation Symposium,,,,,,Qualis 2017-2020,2021,,,,
ANT,"International Conference on Ambient Systems, Networks and Technologies",,,,,,Qualis 2017-2020,2021,,,,
ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,,,,Qualis 2017-2020,2021,,,,
APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,,,,,,Qualis 2017-2020,2021,,,,
APKC,ACM on ASIA Public-Key Cryptography Workshop,,,,,,Qualis 2017-2020,2021,,,,
APLAS,Asian Symposium on Programming Languages and Systems,,,,,,Qualis 2017-2020,2021,,,,
APNOMS,Asia-Pacific Network Operations and Management Symposium,,,,,,Qualis 2017-2020,2021,,,,
APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,,,,,Qualis 2017-2020,2021,,,,
APWEB,Asia-Pacific Web Conference,,,,,,Qualis 2017-2020,2021,,,,
ARC,International Symposium on Applied Reconfigurable Computing,,,,,,Qualis 2017-2020,2021,,,,
ARCS,International Conference on Architecture of Computing Systems,,,,,,Qualis 2017-2020,2021,,,,
ARES,"International Conference on Availability, Reliability and Security",,,,,,Qualis 2017-2020,2021,,,,
ARIC,International Workshop on Intelligent and Resilient Cities,,,,,,Qualis 2017-2020,2021,,,,
ARM,Workshop on Adaptive and Reflective Middleware,,,,,,Qualis 2017-2020,2021,,,,
