additional_name_id,cs_id,additional_name,additional_acronym
1,900003,IEEE Symposium on 3D User Interfaces,
2,900014,The Australasian Computing Education Conference,
3,900064,AMIA Symposium,
4,900093,International ACM Conference on Assistive Technologies,
5,900104,IEEE International Conference on Advanced Video and Signal-Based Surveillance,
6,900110,International Conference on Behavioural and Social Computing,
7,900115,IEEE International Conference on BigData,
8,900123,BIS: Business Information Systems,
9,900134,Workshop Brasileiro de Análise de Redes Sociais e Mineração,
10,900137,International Workshop on Wearable and Implantable Body Sensor Networks,
11,900138,IEEE International Conference on Biometrics: Theory Applications and Systems,
12,900161,Brazilian Congress on Computational Intelligence,
13,900165,Congresso Brasileiro de Sistemas,
14,900190,ACM Conference on Human Factors in Computing Systems,
15,900196,Iberoamerican Conference on Software Engineering,
16,900205,Ibero-Latin American Congress on Computational Methods in Engineering,
17,900214,Conferencia Latinoamericana En Informatica,
18,900214,Latin American Computing Conference,
19,900241,,CollabTech
20,900245,"Annual International Computers, Software & Applications Conference",
21,900263,ACM Symposium on Certified Programs and Proofs,
22,900298,"International Conference on Data Science, E-learning and Information Systems",
23,900301,International Conference on Data Warehousing and Knowledge Discovery,
24,900310,International Conference on Dependability of Computer Systems,
25,900317,DiGRA International Conference,
26,900320,ACM Designing Interactive Systems,
27,900336,Euromicro Conference Series on Digital System Design,
28,900366,"Enterprise Design, Operations and Computing",
29,900368,IEEE Education Engineering,
30,900379,"International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC",
31,900393,IEEE eScience International Conference,
32,900395,"International Symposium on Empirical Software Engineering and Measurement, ESEM",
33,900401,European Semantic Web Conference,
34,900402,Extended Semantic Web Conference,
35,900427,International Conference on Embedded Wireless Systems and Networks,
36,900453,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,
37,900454,International Conference on Field Programmable Logic and Applications,
38,900459,ACM SIGSOFT International Symposium on Foundations of Software Engineering,
39,900459,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,
40,900475,Simpósio Brasileiro de Geoinformática,
