edition_id,cs_id,name,acronym,society,year,total_citations,total_papers,h5_index,isbn,doi,extended_issn,id_springer,id_scholar_conference,id_dblp_conference,id_openalex_proceedings,created_at
1,900001,"International Conference on the Art, Science, and Engineering of Programming",<Programming>,,2025,0,0,,,,,,,programming,,2025-09-13T21:56:10.714769
2,900002,Eurographics Workshop on 3D Object Retrieval,3DOR,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
3,900003,IEEE Conference on Virtual Reality and 3D User Interfaces ,VR,IEEE,2025,0,0,,,,,,,3dui,,2025-09-13T21:56:10.714769
4,900004,International Conference on 3D Vision,3DV,,2025,0,0,,,,,,_QeiDtrgUSoJ.2024,3dim,,2025-09-13T21:56:10.714769
5,900005,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",3ICT,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
6,900006,IEEE 5G World Forum,5GWF,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
7,900007,"International Workshop on Automating Test Case Design, Selection and Evaluation",A-TEST,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
8,900008,AAAI Conference on Artificial Intelligence,AAAI,,2025,0,0,,,,,,PV9sQN5dnPsJ.2024,aaai,,2025-09-13T21:56:10.714769
9,900009,International Conference on Autonomous Agents and Multiagent Systems,AAMAS,,2025,0,0,,,,,,yWxsQWGuQ-sJ.2024,atal,,2025-09-13T21:56:10.714769
10,900010,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",ABZ,,2025,0,0,,,,,,P_bGcOzNXgIJ.2019,,,2025-09-13T21:56:10.714769
11,900011,IADIS International Conference on Applied Computing,AC-IADIS,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
12,900012,American Control Conference,ACC,,2025,0,0,,,,,,tgZe9odv5lUJ.2020,,,2025-09-13T21:56:10.714769
13,900013,Asian Conference on Computer Vision,ACCV,,2025,0,0,,,,,,C6G2a_KY88AJ.2024,accv,,2025-09-13T21:56:10.714769
14,900014,International Conference on Advances in Computer Entertainment Technology,ACE,,2025,0,0,,,,,,,ACMace,,2025-09-13T21:56:10.714769
15,900015,IARIA International Conference on Advances in Computer-Human Interactions,ACHI-IARIA,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
16,900016,International Conference on Affective Computing and Intelligent Interaction,ACII,,2025,0,0,,,,,,n8TWwN8Kc5cJ.2024,acii,,2025-09-13T21:56:10.714769
17,900017,Asia-Pacific Conference on Intelligent Robot Systems,ACIRS,,2025,0,0,,,,,,dQMJcSWIFtgJ.2020,,,2025-09-13T21:56:10.714769
18,900018,Australasian Conference on Information Security and Privacy,ACISP,,2025,0,0,,,,,,o0S2wIvNbXEJ.2024,acisp,,2025-09-13T21:56:10.714769
19,900019,Advanced Concepts for Intelligent Vision Systems,ACIVS,,2025,0,0,,,,,,,acivs,,2025-09-13T21:56:10.714769
20,900020,Annual Meeting of the Association for Computational Linguistics,ACL,,2025,0,0,,,,,,Y3UjV9bSCxMJ.2024,acl,,2025-09-13T21:56:10.714769
21,900021,Creativity & Cognition,ACM CC,,2025,0,0,,,,,,fckQPrz_q_gJ.2024,candc,,2025-09-13T21:56:10.714769
22,900022,Annual Symposium on Computer-Human Interaction in Play,ACM CHI PLAY,,2025,0,0,,,,,,WNLxUj5tg3gJ.2024,chiplay,,2025-09-13T21:56:10.714769
23,900023,ACM International Conference on Interactive Media Experiences,ACM IMX,,2025,0,0,,,,,,DSB1DhJ431MJ.2024,tvx,,2025-09-13T21:56:10.714769
24,900024,ACM Internacional Conference on Interaction Design and Children,ACMIDC,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
25,900025,ACM International Conference on Multimedia,ACMMM,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
26,900026,ACM Symposium on Cloud Computing,ACMSOCC,,2025,0,0,,,,,,o1durVJyeP4J.2023,cloud,,2025-09-13T21:56:10.714769
27,900027,Applied Cryptography and Network Security,ACNS,,2025,0,0,,,,,,uX6tRrNG0lQJ.2024,acns,,2025-09-13T21:56:10.714769
28,900028,Australasian Conference on Robotics and Automation,ACRA,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
29,900029,Computer Security Applications Conference,ACSAC,,2025,0,0,,,,,,88oopSfS28MJ.2024,acsac,,2025-09-13T21:56:10.714769
30,900030,East European Conference on Advances in Databases and Information Systems,ADBIS,,2025,0,0,,,,,,pEYfHFCSslcJ.2024,adbis,,2025-09-13T21:56:10.714769
31,900031,International Conference on Ad-Hoc Networks and Wireless,ADHOC-NOW,,2025,0,0,,,,,,,adhoc-now,,2025-09-13T21:56:10.714769
32,900032,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,ADMS,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
33,900033,International Workshop on Advances in ICT Infrastructures and Services,ADVANCE,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
34,900034,International Convention of the Audio Engineering Society,AES,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
35,900035,AES International Conference on Semantic Audio,AES-ICSA,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
36,900036,International Conference on Cryptology in Africa,AFRICACRYPT,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
37,900037,Conference on Geographic Information Science,AGILEGIS,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
38,900038,Augmented Human International Conference,AH,,2025,0,0,,,,,,HqiGvACsawYJ.2024,aughuman,,2025-09-13T21:56:10.714769
39,900039,NASA/ESA Conference on Adaptive Hardware and Systems,AHS,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
40,900040,Canadian Conference on Artificial Intelligence,AI,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
41,900041,International Workshop on Artificial Intelligence and Cognition,AIC,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
42,900042,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,,2025,0,0,,,,,,,,,2025-09-13T21:56:10.714769
43,900043,International Conference on Application of Information and Communication Technologies,AICT,,2025,0,0,,,,,,lyn0_4ToR5cJ.2024,aict,,2025-09-13T21:56:10.714769
