cs_id,name,acronym,version,created_at,updated_at
900001,"International Conference on the Art, Science, and Engineering of Programming",<Programming>,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900002,Eurographics Workshop on 3D Object Retrieval,3DOR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900003,IEEE Conference on Virtual Reality and 3D User Interfaces ,VR,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900004,International Conference on 3D Vision,3DV,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900005,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",3ICT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900006,IEEE 5G World Forum,5GWF,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900007,"International Workshop on Automating Test Case Design, Selection and Evaluation",A-TEST,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900008,AAAI Conference on Artificial Intelligence,AAAI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900009,International Conference on Autonomous Agents and Multiagent Systems,AAMAS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900010,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",ABZ,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900011,IADIS International Conference on Applied Computing,AC-IADIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900012,American Control Conference,ACC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900013,Asian Conference on Computer Vision,ACCV,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900014,International Conference on Advances in Computer Entertainment Technology,ACE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900015,IARIA International Conference on Advances in Computer-Human Interactions,ACHI-IARIA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900016,International Conference on Affective Computing and Intelligent Interaction,ACII,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900017,Asia-Pacific Conference on Intelligent Robot Systems,ACIRS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900018,Australasian Conference on Information Security and Privacy,ACISP,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900019,Advanced Concepts for Intelligent Vision Systems,ACIVS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900020,Annual Meeting of the Association for Computational Linguistics,ACL,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900021,Creativity & Cognition,ACM CC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900022,Annual Symposium on Computer-Human Interaction in Play,ACM CHI PLAY,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900023,ACM International Conference on Interactive Media Experiences,ACM IMX,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900024,ACM Internacional Conference on Interaction Design and Children,ACMIDC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900025,ACM International Conference on Multimedia,ACMMM,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900026,ACM Symposium on Cloud Computing,ACMSOCC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900027,Applied Cryptography and Network Security,ACNS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900028,Australasian Conference on Robotics and Automation,ACRA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900029,Computer Security Applications Conference,ACSAC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900030,East European Conference on Advances in Databases and Information Systems,ADBIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900031,International Conference on Ad-Hoc Networks and Wireless,ADHOC-NOW,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900032,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,ADMS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900033,International Workshop on Advances in ICT Infrastructures and Services,ADVANCE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900034,International Convention of the Audio Engineering Society,AES,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900035,AES International Conference on Semantic Audio,AES-ICSA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900036,International Conference on Cryptology in Africa,AFRICACRYPT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900037,Conference on Geographic Information Science,AGILEGIS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900038,Augmented Human International Conference,AH,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900039,NASA/ESA Conference on Adaptive Hardware and Systems,AHS,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900040,Canadian Conference on Artificial Intelligence,AI,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900041,International Workshop on Artificial Intelligence and Cognition,AIC,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900042,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900043,International Conference on Application of Information and Communication Technologies,AICT,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900044,IARIA Advanced International Conference on Telecommunications,AICT-IARIA,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900045,International Conference on Artificial Intelligence in Education,AIED,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900046,"AAAI/ACM Conference on AI, Ethics, and Society",AIES,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
900047,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AIIDE,1,2025-09-13T21:56:10.565667,2025-09-13T21:56:10.565667
