comp_id,sigla,nome,siglas_alt,nomes_alt,origem,avaliacao,gs_id,dblp_id,sociedade,ano_dados
CompID900001,<Programming>,"International Conference on the Art, Science, and Engineering of Programming",<Programming>,"International Conference on the Art, Science, and Engineering of Programming",Qualis 2017-2020|SBC CE-2024,Recommended,,programming,,2025.0
CompID900002,3DOR,Eurographics Workshop on 3D Object Retrieval,,,Qualis 2017-2020,,,,,2025.0
CompID900003,VR,IEEE Conference on Virtual Reality and 3D User Interfaces ,3DUI|VR|3DUI,IEEE Conference on Virtual Reality and 3D User Interfaces |IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR)|IEEE Symposium on 3D User Interfaces|IEEE Symposium on 3D User Interfaces,Qualis 2017-2020|SBC CE-2024,Recommended,,3dui,IEEE,2025.0
CompID900004,3DV,International Conference on 3D Vision,3DV,International Conference on 3D Vision,Qualis 2017-2020|SBC CE-2024,Recommended,_QeiDtrgUSoJ.2024,3dim,,2025.0
CompID900005,3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,Qualis 2017-2020,,,,,2025.0
CompID900006,5GWF,IEEE 5G World Forum,,,Qualis 2017-2020,,,,,2025.0
CompID900007,A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,Qualis 2017-2020,,,,,2025.0
CompID900008,AAAI,AAAI Conference on Artificial Intelligence,AAAI,AAAI Conference on Artificial Intelligence,Qualis 2017-2020|SBC CE-2024,Top10,PV9sQN5dnPsJ.2024,aaai,,2025.0
CompID900009,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,Qualis 2017-2020|SBC CE-2024,Top10,yWxsQWGuQ-sJ.2024,atal,,2025.0
CompID900010,ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",Qualis 2017-2020|SBC CE-2024,Top20,P_bGcOzNXgIJ.2019,,,2025.0
CompID900011,AC-IADIS,IADIS International Conference on Applied Computing,,,Qualis 2017-2020,,,,,2025.0
CompID900012,ACC,American Control Conference,ACC,American Control Conference,Qualis 2017-2020|SBC CE-2024,Recommended,tgZe9odv5lUJ.2020,,,2025.0
CompID900013,ACCV,Asian Conference on Computer Vision,ACCV,Asian Conference on Computer Vision,Qualis 2017-2020|SBC CE-2024,Recommended,C6G2a_KY88AJ.2024,accv,,2025.0
CompID900014,ACE,International Conference on Advances in Computer Entertainment Technology,ACE,International Conference on Advances in Computer Entertainment Technology|The Australasian Computing Education Conference,Qualis 2017-2020|SBC CE-2024,Top20,,ACMace,,2025.0
CompID900015,ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,,,Qualis 2017-2020,,,,,2025.0
