sigla,titulo,h5
3DV,International Conference on 3D Vision (3DV),56.0
3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",21.0
AAAI,AAAI Conference on Artificial Intelligence,232.0
AAAI,AAAI Conference on Artificial Intelligence,232.0
AAAI,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23.0
AAAI,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23.0
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,54.0
ACC,American Control Conference,50.0
ACCV,Asian Conference on Computer Vision (ACCV),52.0
ACII,International Conference on Affective Computing and Intelligent Interaction and Workshops,23.0
ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,9.0
ACISP,Australasian Conference on Information Security and Privacy (ACISP),18.0
ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,27.0
ACM IMX,ACM International Conference on Interactive Media Experiences,20.0
ACMSOCC,ACM Symposium on Cloud Computing,39.0
ACNS,Applied Cryptography and Network Security,28.0
ACSAC,Computer Security Applications Conference,40.0
AGILEGIS,International Conference on Geographic Information Science,11.0
AH,Augmented Human International Conference (AH),19.0
AI,Canadian Conference on Artificial Intelligence,19.0
AICT,IEEE International Conference on Application of Information and Communication Technologies (AICT),17.0
AIED,"DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry",5.0
AIES,"AAAI/ACM Conference on AI, Ethics, and Society",62.0
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23.0
AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,20.0
AIML,Conference on Advances in Modal Logic,10.0
AIPR,"IEEE Applied Imagery Pattern Recognition Workshop, AIPR",15.0
AISTATS,International Conference on Artificial Intelligence and Statistics,101.0
AITest,IEEE International Conference On Artificial Intelligence Testing,16.0
ALLERTON,"Allerton Conference on Communication, Control, and Computing",11.0
AMCIS,Americas Conference on Information Systems (AMCIS),29.0
ANT,"International Conference on Ambient Systems, Networks and Technologies (ANT)",47.0
APCCAS,"IEEE Asia Pacific Conference on Circuits and Systems, APCCAS",12.0
ARES,"International Conference on Availability, Reliability and Security, ARES",35.0
ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),8.0
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors, ASAP",20.0
ASE,IEEE/ACM International Conference on Automated Software Engineering (ASE),57.0
ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",9.0
ASP-DAC,Asia and South Pacific Design Automation Conference (ASP-DAC),34.0
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),77.0
ATC,USENIX Annual Technical Conference,57.0
ATS,Asian Test Symposium,10.0
AUDIOMOSTLY,International Audio Mostly Conference,13.0
AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS),13.0
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",10.0
BDCLOUD,IEEE International Conference on Big Data and Cloud Computing (BdCloud),7.0
BIBE,"IEEE International Conference on Bioinformatics and Bioengineering, BIBE",20.0
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,31.0
BMEI,International Conference on Biomedical Engineering and Informatics,15.0
BMVC,British Machine Vision Conference (BMVC),57.0
BRACIS,Brazilian Conference on Intelligent Systems (BRACIS),18.0
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),8.0
BTAS,IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),34.0
CADE,International Conference on Automated Deduction,24.0
CAIP,International Conference on Computer Analysis of Images and Patterns,11.0
CAISE,International Conference on Advanced Information Systems Engineering,24.0
CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),17.0
CASE,"IEEE International Conference on Automation Science and Engineering, CASE",30.0
CAV,International Conference on Computer Aided Verification (CAV),44.0
CBA,Congresso Brasileiro de Automática-CBA,8.0
CBMI,International Workshop on Content-Based Multimedia Indexing,13.0
CBS,IEEE International Conference on Cyborg and Bionic Systems,5.0
CCCG,Canadian Conference on Computational Geometry,8.0
CCECE,IEEE Canadian Conference on Electrical and Computer Engineering,17.0
CCS,ACM Symposium on Computer and Communications Security,90.0
CDC,IEEE Conference on Decision and Control,48.0
CDH,IEEE International Conference on Digital Health,12.0
CEC,IEEE Congress on Evolutionary Computation,94.0
CENTERIS,International Conference on Enterprise Information Systems (ICEIS),23.0
CF,ACM International Conference on Computing Frontiers,20.0
CGO,International Symposium on Code Generation and Optimization,25.0
CHIIR,Conference on Human Information Interaction and Retrieval,29.0
CIARP,Iberoamerican Congress on Pattern Recognition (CIARP),7.0
CICC,"IEEE Custom Integrated Circuits Conference, CICC",30.0
CIG,IEEE Conference on Computational Intelligence and Games (CIG),27.0
CIKM,ACM International Conference on Information and Knowledge Management,96.0
CISIS,"International Conference on Complex, Intelligent and Software Intensive Systems",15.0
CISTI,Iberian Conference on Information Systems and Technologies,24.0
CITS,"International Conference on Computer, Information and Telecommunication Systems",14.0
CLOSER,International Conference on Cloud Computing and Services Science (CLOSER),17.0
CloudCom,IEEE International Conference on Cloud Computing Technology and Science (CloudCom),9.0
CLUSTER,IEEE International Conference on Cluster Computing,24.0
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,2.0
CNS,IEEE Conference on Communications and Network Security,21.0
COCOON,International Conference on Computing and Combinatorics,11.0
CODASPY,ACM Conference on Data and Application Security and Privacy,24.0
COG,IEEE Conference on Computational Intelligence and Games (CIG),27.0
COGSCI,Annual Meeting of the Cognitive Science Society,36.0
COLING,International Conference on Computational Linguistics (COLING),81.0
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom)",9.0
COLT,Conference on Learning Theory (COLT),74.0
COMPSAC,IEEE Annual Computer Software and Applications Conference (COMPSAC),30.0
CONCUR,International Conference on Concurrency Theory (CONCUR),18.0
CONEXT,ACM Conference on Emerging Network Experiment and Technology (CoNEXT),29.0
CONISOFT,International Conference in Software Engineering Research and Innovation,10.0
CoNLL,Conference on Computational Natural Language Learning (CoNLL),30.0
CONTECSI,CONTECSI-International Conference on Information Systems and Technology Management Virtual,2.0
CoRL,Conference on Robot Learning,107.0
CP,International Conference on Principles and Practice of Constraint Programming,20.0
CPP,ACM SIGPLAN International Conference on Certified Programs and Proofs,23.0
CRV,Canadian Conference on Computer and Robot Vision (CRV),17.0
CRYPTO,International Cryptology Conference (CRYPTO),66.0
CSCL,International Conference on Computer-Supported Collaborative Learning,7.0
CSCN,IEEE Conference on Standards for Communications and Networking,12.0
CSCW,ACM Conference on Computer-Supported Cooperative Work & Social Computing,27.0
CSEDU,International Conference on Computer Supported Education (CSEDU),25.0
CSEE&T,IEEE-CS Conference on Software Engineering Education and Training (CSEE&T),12.0
CSF,IEEE Computer Security Foundations Symposium,22.0
CSL,Conference for Computer Science Logic (CSL),19.0
CSNDSP,International Symposium on Communication Systems Networks and Digital Signal Processing,15.0
CSNet,Cyber Security in Networking Conference,12.0
CVPRW,IEEE/CVF Computer Society Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),117.0
