TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,STOC,ACM Symposium on Theory of Computing,57,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=t-147h7Cn5cJ.2024,,,,https://dblp.org/db/conf/stoc/index.html,
Top 10,SODA,ACM-SIAM Symposium on Discrete Algorithms,55,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=9lG2cY79sEoJ.2024,,,,https://dblp.org/db/conf/soda/index.html,
Top 10,ITCS,Conference on Innovations in Theoretical Computer Science,35,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=YFgbcWcmuG4J.2024,,,,https://dblp.org/db/conf/itcs/index.html,
Top 10,IPCO,Conference on Integer Programming and Combinatorial Optimization,16,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=_8wwFhBIq4cJ.2023,,,,https://dblp.org/db/conf/ipco/index.html,
Top 10,ESA,European Symposium on Algorithms,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=sNtxnFuOq5YJ.2024,,,,https://dblp.org/db/conf/esa/index.html,
Top 10,FOCS,IEEE Annual Symposium on Foundations of Computer Science,55,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QUcbc1kDDcEJ.2024,,,,https://dblp.org/db/conf/focs/index.html,
Top 10,ICALP,"International Colloquium on Automata, Languages, and Programming",33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=-jyI22RzDikJ.2024,,,,https://dblp.org/db/conf/icalp/index.html,
Top 10,WG,International Workshop on Graph-Theoretic Concepts in Computer Science,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=bEdEBGLFMMoJ.2024,,,,https://dblp.org/db/conf/wg/index.html,
Top 10,LATIN,Latin American Theoretical Informatics Symposium,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=OeICmY9lwg4J.2023,,,,https://dblp.org/db/conf/latin/index.html,
Top 10,STACS,Symposium on Theoretical Aspects of Computer Science,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BmGC50v8VqkJ.2024,,,,https://dblp.org/db/conf/stacs/index.html,
Top 20,WADS,Algorithms and Data Structures Symposium,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=WuJ205lBDckJ.2024,,,,https://dblp.org/db/conf/wads/index.html,
Top 20,EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=wn0aYglh-KMJ.2018,,,,,
Top 20,CCC,IEEE Conference on Computational Complexity,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=VHvULLS5ORIJ.2024,,,,https://dblp.org/db/conf/coco/index.html,
Top 20,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=M9oM2PGejDoJ.2024,,,,https://dblp.org/db/conf/random/index.html,
Top 20,CP,International Conference on Principles and Practice of Constraint Programming,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=S648KV_osZMJ.2024,,,,https://dblp.org/db/conf/cp/index.html,
Top 20,ISAAC,International Symposium on Algorithms and Computation,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=REeNFlEptmgJ.2024,,,,https://dblp.org/db/conf/isaac/index.html,
Top 20,SEA,International Symposium on Experimental Algorithms,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=5mM2zjnIDtwJ.2024,,,,https://dblp.org/db/conf/wea/index.html,
Top 20,MFCS,International Symposium on Mathematical Foundations of Computer Science,19,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=b7Wt8oz6uqAJ.2024,,,,https://dblp.org/db/conf/mfcs/index.html,
Top 20,IPEC,International Symposium on Parameterized and Exact Computation,17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=omO5C9pkf-8J.2024,,,,https://dblp.org/db/conf/iwpec/index.html,
Top 20,SoCG,International Symposium on Computational Geometry,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=MGCukPJHrn0J.2024,,,,https://dblp.org/db/conf/compgeom/index.html,
Eventos da Área,CTW,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,,,,,,https://dblp.org/db/conf/colognetwente/index.html,
Eventos da Área,CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,,,,,,,
Eventos da Área,ETC,Encontro de Teoria da Computação,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=S-FAvH1rAgcJ.2024,,,,,https://sol.sbc.org.br/index.php/etc
Eventos da Área,ECCO,European Chapter on Combinatorial Optimization,,,,,,,
Eventos da Área,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=z6eJxmwe_DYJ.2024,,,,https://dblp.org/db/conf/fsttcs/index.html,
Eventos da Área,COCOON,International Computing and Combinatorics Conference,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nuQnbkFkrG0J.2024,,,,https://dblp.org/db/conf/cocoon/index.html,
Eventos da Área,CIAC,International Conference on Algorithms and Complexity,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=3cSHcC5AA7QJ.2020,,,,https://dblp.org/db/conf/ciac/index.html,
Eventos da Área,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,10,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=oMZjQ-X5R1EJ.2024,,,,https://dblp.org/db/conf/caldam/index.html,
Eventos da Área,COCOA,International Conference on Combinatorial Optimization and Applications,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=xFmuhcLxNaUJ.2024,,,,https://dblp.org/db/conf/cocoa/index.html,
Eventos da Área,SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,,,,,,https://dblp.org/db/conf/sofsem/index.html,
Eventos da Área,FUN,International Conference on Fun with Algorithms,,,,,,https://dblp.org/db/conf/fun/index.html,
Eventos da Área,ICGT,International Conference on Graph Transformation,,,,,,https://dblp.org/db/conf/gg/index.html,
Eventos da Área,CPAIOR,"International Conference on Integration of Constraint Programming, Artificial Intelligence, and Operations Research",,,,,,https://dblp.org/db/conf/cpaior/index.html,
Eventos da Área,AofA,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms",,,,,,https://dblp.org/db/conf/aofa/index.html,
Eventos da Área,INOC,International Network Optimization Conference,,,,,,https://dblp.org/db/conf/inoc/index.html,
Eventos da Área,ISCO,International Symposium on Combinatorial Optimization,8,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=_nw1GAGIGkEJ.2019,,,,https://dblp.org/db/conf/isco/index.html,
Eventos da Área,FCT,International Symposium on Fundamentals of Computation Theory,,,,,,https://dblp.org/db/conf/fct/index.html,
Eventos da Área,GD,International Symposium on Graph Drawing and Network Visualization,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o7z9dxAgNj0J.2024,,,,https://dblp.org/db/conf/gd/index.html,
Eventos da Área,ISMP,International Symposium on Mathematical Programming,,,,,,https://dblp.org/db/conf/ismp/index.html,
Eventos da Área,WALCOM,International Workshop on Algorithms and Computation,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Qm-_RD142XUJ.2024,,,,https://dblp.org/db/conf/walcom/index.html,
Eventos da Área,IWOCA,International Workshop on Combinatorial Algorithms,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=aEFAi4RU6TEJ.2024,,,,https://dblp.org/db/conf/iwoca/index.html,
Eventos da Área,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,,,,,,
Eventos da Área,LAWCG,Latin American Workshop on Cliques in Graphs,,,,,,,
Eventos da Área,LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium",,,,,,https://dblp.org/db/conf/lagos/index.html,
Eventos da Área,CLAIO,Latin-Ibero-American Conference on Operations Research,,,,,,,
Eventos da Área,SWAT,Scandinavian Workshop on Algorithm Theory,10,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=IyEy51GZdIUJ.2023,,,,https://dblp.org/db/conf/swat/index.html,
Eventos da Área,DM,SIAM Conference on Discrete Mathematics,,,,,,,
Eventos da Área,OP,SIAM Conference on Optimization,,,,,,,
Eventos da Área,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,,,,,https://dblp.org/db/conf/alenex/index.html,
Eventos da Área,SOSA,SIAM Symposium on Simplicity in Algorithms,,,,,,https://dblp.org/db/conf/sosa/index.html,
Eventos da Área,SBPO,Simpósio Brasileiro de Pesquisa Operacional,,,,,,,
Eventos da Área,ANALCO,Workshop on Analytic Algorithmics and Combinatorics,,,,,,https://dblp.org/db/conf/analco/index.html,
Eventos da Área,WAOA,Workshop on Approximation and Online Algorithms,,,,,,https://dblp.org/db/conf/waoa/index.html,
