TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,ISCA,International Symposium on Computer Architecture,62,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=-RiAttlQ-g0J.2024,,,,https://dblp.org/db/conf/isca/index.html,
Top 10,HPCA,IEEE International Symposium on High Performance Computer Architecture,50,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=oRj0q6yVVdsJ.2024,,,,https://dblp.org/db/conf/hpca/index.html,
Top 10,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,66,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=KlkFB9T8yJEJ.2024,,,,https://dblp.org/db/conf/asplos/index.html,
Top 10,IPDPS,IEEE International Parallel & Distributed Processing Symposium,38,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=Cge5_JoKLicJ.2024,,,,https://dblp.org/db/conf/ipps/index.html,
Top 10,SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",50,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=s_dKfSWgBmwJ.2024,,,,https://dblp.org/db/conf/sc/index.html,
Top 10,MICRO,IEEE/ACM International Symposium on Microarchitecture,61,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=UpKDzfQ1ak8J.2024,,,,https://dblp.org/db/conf/micro/index.html,
Top 10,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",29,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_IeLSKDu4j0J.2024,,,,https://dblp.org/db/conf/ccgrid/index.html,
Top 10,PPOPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,33,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=JDUQTRUV4EYJ.2024,,,,https://dblp.org/db/conf/ppopp/index.html,
Top 10,SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,12,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=xujU2BmpDawJ.2024,,,,https://dblp.org/db/conf/sbac-pad/index.html,https://sol.sbc.org.br/index.php/sbac-pad/issue/archive
Top 10,WSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,5,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=MZeKedZe-5YJ.2024,SSCAD,,,,https://sol.sbc.org.br/index.php/sscad
Top 20,PACTT,International Conference on Parallel Architectures and Compilation Techniques,21,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=OLgTDUKI5wUJ.2024,,,,https://dblp.org/db/conf/IEEEpact/index.html,
Top 20,HPDC,International Symposium on High Performance Distributed Computing,21,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=VcBBCUw4gmMJ.2024,,,,https://dblp.org/db/conf/hpdc/index.html,
Top 20,ICS,International Conference on Supercomputing,26,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=3tXj5_VxBMkJ.2024,,,,https://dblp.org/db/conf/ics/index.html,
