TOP,SIGLA,NOME,H5,,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,VLDB,International Conference on Very Large Data Bases,79,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=HgMIeQ05CyMJ.2024,,,,https://dblp.org/db/journals/pvldb/index.html,
Top 10,SIGMOD,ACM International Conference on Management of Data,73,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=u1CjH9_75_cJ.2024,,,,https://dblp.org/db/conf/sigmod/index.html,
Top 10,PODS,Symposium on Principles of Database Systems,24,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=rDUVyYLeRdUJ.2024,,,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,https://dblp.org/db/conf/pods/index.html,
Top 10,ICDE,IEEE International Conference on Data Engineering,69,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=HdCtgB7kxZAJ.2024,,,International Conference on Data Engineering,https://dblp.org/db/conf/icde/index.html,
Top 10,EDBT,International Conference on Extending Database Technology,29,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=WuE3NzMRZNAJ.2024,,,,https://dblp.org/db/conf/edbt/index.html,
Top 10,CIKM,ACM International Conference on Information and Knowledge Management,91,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=V-IMg2OTpU8J.2024,,,,https://dblp.org/db/conf/cikm/index.html,
Top 10,ER,International Conference on Conceptual Modeling,20,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=wB6WaEpFlvgJ.2024,,,,https://dblp.org/db/conf/er/index.html,
Top 10,SBBD,Simpósio Brasileiro de Bancos de Dados,7,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ixetonJUY2YJ.2024,,,,https://dblp.org/db/conf/sbbd/index.html,https://sol.sbc.org.br/index.php/sbbd/issue/archive
Top 10,KDD,ACM SIGKDD conference on Knowledge Discovery and Data Mining,124,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=DxPOk84pRIIJ.2024,,,,https://dblp.org/db/conf/kdd/index.html,
Top 10,CIDR,Biennial Conference on Innovative Data Systems Research,32,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=5zblDmoFLZAJ.2024,,,,https://dblp.org/db/conf/cidr/index.html,
Top 20,ICDT,International Conference on Database Theory,19,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=BGvdky_UalUJ.2024,,,,https://dblp.org/db/conf/icdt/index.html,
Top 20,DASFAA,International Conference on Database Systems for Advanced Applications,23,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=yD4mA_VATukJ.2024,,,,https://dblp.org/db/conf/dasfaa/index.html,
Top 20,IDEAS,International Database Engineering and Applications Symposium,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=fdahdoWKyTYJ.2024,,,International Database Engineering & Applications Symposium,https://dblp.org/db/conf/ideas/index.html,
Top 20,DEXA,Conference on Database and Expert Systems Applications,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=2M02lZ1WL6IJ.2024,,,Database and Expert Systems Applications,https://dblp.org/db/conf/dexa/index.html,
Top 20,ADBIS,East European Conference on Advances in Databases and Information Systems,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=pEYfHFCSslcJ.2024,,,Advances in Databases and Information Systems,https://dblp.org/db/conf/adbis/index.html,
Top 20,KDMILE,"Symposium on Knowledge Discovery, Mining and Learning",7,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ktOlY8k93VoJ.2024,,,,,https://sol.sbc.org.br/index.php/kdmile/issue/archive
Top 20,IIWAS,International Conference on Information Integration and Web-based Applications & Services,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Tq_VLYZkpzwJ.2024,,,,https://dblp.org/db/conf/iiwas/index.html,
Top 20,ICEIS,International Conference on Enterprise Information Systems,21,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=zsGWp1QJr3AJ.2024,,,,https://dblp.org/db/conf/iceis/index.html,
Top 20,CLOSER,International Conference on Cloud Computing and Services Science,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=hltkuBaF_uEJ.2024,,,,https://dblp.org/db/conf/closer/index.html,
Top 20,WEBIST,International Conference on Web Information Systems and Technologies,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=0oQi0-PzQ8sJ.2024,,,,https://dblp.org/db/conf/webist/index.html,
Eventos da Área,WWW,International World Wide Web Conferences,112,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=VtCeQ7ShDloJ.2024,,,,https://dblp.org/db/conf/www/index.html,
Eventos da Área,MDM,IEEE International Conference on Mobile Data Management,19,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=sGmafh2RqU8J.2024,,,International Conference on Mobile Data Management,https://dblp.org/db/conf/mdm/index.html,
Eventos da Área,SSDBM,International Conference on Scientific and Statistical Database Management,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=w_KC2fvJJQEJ.2024,,,,https://dblp.org/db/conf/ssdbm/index.html,
Eventos da Área,DATE,"Design, Automation amd Test in Europe Conference and Exhibition",46,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=cP2AyDfWCcQJ.2024,,,,https://dblp.org/db/conf/date/index.html,
Eventos da Área,ISWC,International Semantic Web Conference,37,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=AETH84_wOIQJ.2024,,,,https://dblp.org/db/conf/semweb/index.html,
Eventos da Área,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing",29,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=_IeLSKDu4j0J.2024,,,,https://dblp.org/db/conf/ccgrid/index.html,
Eventos da Área,SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,27,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=OOX3mKRBpYMJ.2024,,,,https://dblp.org/db/conf/gis/index.html,
Eventos da Área,UCC,IEEE/ACM International Conference on Utility and Cloud Computing,23,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=gCzn4TRHFGQJ.2024,,,,https://dblp.org/db/conf/ucc/index.html,
Eventos da Área,SAC,ACM Symposium on Applied Computing,36,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=eLhWa3qzEDsJ.2024,,,,https://dblp.org/db/conf/sac/index.html,
Eventos da Área,CLOUD,IEEE International Conference on Cloud Computing,28,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ioohKoS5imcJ.2024,,,,https://dblp.org/db/conf/IEEEcloud/index.html,
Eventos da Área,CLOUDCOM,IEEE International Conference on Cloud Computing Technology and Science,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=aNZ314HiR4YJ.2024,,,,https://dblp.org/db/conf/cloudcom/index.html,
Eventos da Área,ESCIENCE,IEEE International Conference on e-Science,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=6RxgACAtCdcJ.2024,,,,https://dblp.org/db/conf/eScience/index.html,
Eventos da Área,ICTSS,IFIP International Conference on Testing Software and Systems,,,,,,https://dblp.org/db/conf/pts/index.html,
Eventos da Área,SISAP,International Conference on Similarity Search and Applications,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=XdShTT6W3h0J.2024,,,Similarity Search and Applications,https://dblp.org/db/conf/sisap/index.html,
Eventos da Área,CBMS,IEEE International Symposium on Computer-Based Medical Systems,25,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=cFvi1RZjX1gJ.2024,,,IEEE Symposium on Computer-Based Medical Systems,https://dblp.org/db/conf/cbms/index.html,
Eventos da Área,SDM,SIAM International Conference on Data Mining,36,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=eM05sD1nEv4J.2024,,,,https://dblp.org/db/conf/sdm/index.html,
Eventos da Área,ICDM,IEEE International Conference on Data Mining,50,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=A0l3VPFKwDYJ.2024,,,,https://dblp.org/db/conf/icdm/index.html,
Eventos da Área,ISM,IEEE International Symposium on Multimedia,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=np9OvZCkWLIJ.2024,,,,https://dblp.org/db/conf/ism/index.html,
Eventos da Área,ICWSM,International AAAI Conference on Web and Social Media,56,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=eH4qSzdbVtwJ.2024,,,International Conference on Web and Social Media,https://dblp.org/db/conf/icwsm/index.html,
Eventos da Área,SIGIR,ACM SIGIR Conference on Research and Development in Information Retrieval,103,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Gf4FWVmkfbwJ.2024,,,,https://dblp.org/db/conf/sigir/index.html,
Eventos da Área,RECSYS,ACM Conference on Recommender Systems,53,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=4-w_STT7RmEJ.2024,,,,https://dblp.org/db/conf/recsys/index.html,
Eventos da Área,ESWC,Extended Semantic Web Conference,28,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=mf0MeYwvqwoJ.2024,,,,https://dblp.org/db/conf/esws/index.html,
Eventos da Área,ECIR,European Conference on Information Retrieval,42,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=02SGYBvIz80J.2024,,,,https://dblp.org/db/conf/ecir/index.html,
Eventos da Área,ECIS,European Conference on Information Systems,39,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=dF8xpB0_PnwJ.2024,,,,https://dblp.org/db/conf/ecis/index.html,
