TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,RECOMB,International Conference on Research in Computational Molecular Biology,23,https://scholar.google.com/citations?hl=en&vq=bio_bioinformatics&view_op=list_hcore&venue=Bt5D8QeIDW8J.2019,,,,,
Top 10,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,23,https://scholar.google.com/citations?hl=en&vq=bio_bioinformatics&view_op=list_hcore&venue=4m3nKpBBPt4J.2019,,,,,
Top 10,PSB,Pacific Symposium on Biocomputing,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Wzseq37BLhIJ.2019,,,,,
Top 10,BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",19,https://scholar.google.com/citations?hl=en&vq=bio_bioinformatics&view_op=list_hcore&venue=A0r8tJR7iaEJ.2019,,,,,
Top 10,WABI,Workshop on Algorithms in Bioinformatics,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=HnP0m-BVIUMJ.2019,,,,,
Top 10,BIBE,IEEE International Conference on Bioinformatics and Bioengineering,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=2QSZR8tX_koJ.2019,,,,,
Top 10,IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=T4IEJzWRVqIJ.2019,,,,,
Top 10,CIBCB,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,10,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ybNREko_Be0J.2019,,,,,
Top 10,PACBB,International Conference on Practical Applications of Computational Biology & Bioinformatics,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=mdYvjBmRbpwJ.2019,,,,,
Top 10,ISBRA,International Symposium on Bioinformatics Research and Applications,8,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=CYFIxMLpkUsJ.2019,,,,,
Top 20,ICCABS,International Conference on Computational Advances in Bio and Medical Sciences,6,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QQeDv53tlF0J.2019,,,,,
Top 20,BSB,Brazilian Symposium on Bioinformatics,*,,,,,,
Top 20,CSBIO,International Conference on Computational Systems-Biology and Bioinformatics,,,,,,,
Top 20,BIATA,Bioinformatics: from Algorithms to Applications,,,,,,,
Top 20,AlCoB,International Conference on Algorithms for Computational Biology,,,,,,,
Top 20,ISMB/ECCB,Intelligent Systems for Molecular Biology / European Conference on Computational Biology,,,,,,,
