TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,96,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=QLpioUFGyGMJ.2024,,,,https://dblp.org/db/conf/miccai/index.html,
Top 10,EMBC,International Conference of the IEEE Engineering in Medicine and Biology Society,48,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=la0gAKbHmIkJ.2024,,,"International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC",https://dblp.org/db/conf/embc/index.html,
Top 10,AMIA,AMIA Symposium,30,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=MtRw20mokCYJ.2024,,,American Medical Informatics Association Annual Symposium,https://dblp.org/db/conf/amia/index.html,
Top 10,MEDINFO,World Congress on Medical and Health Informatics,35,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dZLYXaFx_-EJ.2024,,,Studies in Health Technology and Informatics ,https://dblp.org/db/conf/medinfo/index.html,
Top 10,PervasiveHealth,International Conference on Pervasive Computing Technologies for Healthcare,18,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=e4Ty9mKqcmgJ.2024,,EAI International Conference on Pervasive Computing Technologies for Healthcare,,https://dblp.org/db/conf/ph/index.html,
Top 10,BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=A0r8tJR7iaEJ.2024,,,,https://dblp.org/db/conf/bcb/index.html,
Top 10,ICHI,IEEE International Conference on Healthcare Informatics,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=B2gupySN5PsJ.2024,,,,https://dblp.org/db/conf/ichi/index.html,
Top 10,CBMS,IEEE Symposium on Computer-Based Medical Systems,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=cFvi1RZjX1gJ.2024,,,,https://dblp.org/db/conf/cbms/index.html,
Top 10,Healthcom,"IEEE International Conference on e-Health Networking, Applications and Services",13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uURokrZhh7IJ.2024,,,"IEEE International Conference on e-Health Networking, Applications and Services (Healthcom)",https://dblp.org/db/conf/healthcom/index.html,
Top 10,EMBS,IEEE EMBS International Conference on Biomedical and Health Informatics,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BgO65-j_oeEJ.2024,BHI,International Conference on Biomedical and Health Informatics,,https://dblp.org/db/conf/bhi/index.html,
Top 20,ISBI,IEEE International Symposium on Biomedical Imaging,53,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BvOzx47YdqIJ.2024,,IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,https://dblp.org/db/conf/isbi/index.html,
Top 20,MIE,Medical Informatics Europe,35,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dZLYXaFx_-EJ.2024,,,Studies in Health Technology and Informatics ,https://dblp.org/db/conf/mie/index.html,
Top 20,HEALTHINF,International Conference on Health Informatics,17,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=kQsANTx_InUJ.2024,,,,https://dblp.org/db/conf/biostec/healthinf2023.html#0001MHB23,
Top 20,AIME,Conference on Artificial Intelligence in Medicine,19,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=G4epD5rVtawJ.2024,,,Artificial Intelligence in Medicine,https://dblp.org/db/conf/aime/index.html,
Top 20,ICVR,International Conference on Virtual Rehabilitation,10,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=rw5ieHT7BnMJ.2024,,,,,
Top 20,BSN,IEEE-EMBS INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS,15,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=L-flmcutX4sJ.2024,,International Conference on Wearable and Implantable Body Sensor Networks,International Workshop on Wearable and Implantable Body Sensor Networks,https://dblp.org/db/conf/bsn/index.html,
Top 20,SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,7,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=FToOQu3w6DQJ.2024,,,,,https://sol.sbc.org.br/index.php/sbcas/issue/archive
Top 20,IWSSIP,"International Conference on Systems, Signals and Image Processing",17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=GsvS_jxfxCoJ.2024,,,,https://dblp.org/db/conf/iwssip/index.html,
Top 20,VISAPP ,International Conference on Computer Vision Theory and Applications,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ljGmmUmHfUwJ.2024,,,,https://dblp.org/db/conf/visapp/index.html,
Top 20,ISDA,International Conference on Intelligent Systems Design and Applications        ,13,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=vtykNI3af7IJ.2024,,,,https://dblp.org/db/conf/isda/index.html,
Eventos da Área,CMBBE,International Symposium on Computer Methods in Biomechanics and Biomedical Engineering,,,,,,,
Eventos da Área,CBIS,Congresso Brasileiro de Informática em Saúde,,,,,,,
Eventos da Área,CBEB,Congresso Brasileiro de Engenharia Biomédica,,,,,,,
Eventos da Área,CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,,,,,,,
Eventos da Área,IPDLN,International Population Data Linkage Network,,,,,,,
