TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,DAC,Design Automation Conference,60,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=LMgtaHBu8WIJ.2024,,,ACM/IEEE Design Automation Conference,https://dblp.org/db/conf/dac/index.html,
Top 10,ICCAD,IEEE/ACM International Conference on Computer-Aided Design,41,https://scholar.google.com/citations?hl=pt-BR&vq=eng_computerhardwaredesign&view_op=list_hcore&venue=4CNgrChSeFwJ.2024,,,IEEE/ACM International Conference on Computer-Aided Design,https://dblp.org/db/conf/iccad/index.html,
Top 10,ISCAS,IEEE International Symposium on Circuits and Systems,39,https://scholar.google.com/citations?hl=pt-BR&vq=eng_computerhardwaredesign&view_op=list_hcore&venue=V91jHpOGqs0J.2024,,,,https://dblp.org/db/conf/iscas/index.html,
Top 10,ASP-DAC,Asia and South Pacific Design Automation Conference,38,https://scholar.google.com/citations?hl=pt-BR&vq=eng_computerhardwaredesign&view_op=list_hcore&venue=4OI7pMNBopQJ.2024,,,,https://dblp.org/db/conf/aspdac/index.html,
Top 10,DATE,"Design, Automation and Test in Europe Conference and Exhibition",46,https://scholar.google.com/citations?hl=pt-BR&vq=eng_computerhardwaredesign&view_op=list_hcore&venue=cP2AyDfWCcQJ.2024,,,,https://dblp.org/db/conf/date/index.html,
Top 10,ISPD,International Symposium on Physical Design,18,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=qcCDTf9GIAMJ.2024,,,,https://dblp.org/db/conf/ispd/index.html,
Top 10,VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,13,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=0lu0mPyqVXAJ.2024,,,,https://dblp.org/db/conf/vlsi/index.html,
Top 10,LASCAS,IEEE Latin American Symposium on Circuits and Systems,13,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=HwA04ld57EIJ.2024,,,,https://dblp.org/db/conf/lascas/index.html,
Top 10,ISVLSI,IEEE Computer Society Annual Symposium on VLSI,22,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=YnM0PRNMjrsJ.2024,,,,https://dblp.org/db/conf/isvlsi/index.html,
Top 10,ICECS,"IEEE International Conference on Electronics, Circuits and Systems",18,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=9Io6PPD79ysJ.2024,,,,https://dblp.org/db/conf/icecsys/index.html,
Top 20,SBCCI,Symposium on Integrated Circuits and Systems Design,10,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=ce7ecw4OEFoJ.2024,,SBC/SBMicro/IEEE Symposium on Integrated Circuits and Systems Design,SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design,https://dblp.org/db/conf/sbcci/index.html,
Top 20,ICCD,IEEE International Conference on Computer Design,21,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=gt4MHCWp_ckJ.2024,,,,https://dblp.org/db/conf/iccd/index.html,
Top 20,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,9,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE%2FACM+International+Symposium+on+Networks%E2%80%91on%E2%80%91Chip&as_ylo=2020&as_yhi=2024&hl=en&as_sdt=0%2C5,,IEEE/ACM International Symposium on Networks‑on‑Chip,,https://dblp.org/db/conf/vlsi/index.html,
Top 20,LATS,Latin American Test Symposium,9,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=IdSNHXeKP5gJ.2024,,IEEE Latin American Test Symposium,IEEE Latin-American Test Symposium,https://dblp.org/db/conf/latw/index.html,
Top 20,MWSCAS,IEEE International Midwest Symposium on Circuits and Systems,20,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=IKwP_BZwq3kJ.2024,,,,https://dblp.org/db/conf/mwscas/index.html,
Top 20,NEWCAS,International New Circuits and Systems Conference,11,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=lCK4wgZQRSUJ.2024,,,,https://dblp.org/db/conf/newcas/index.html,
Top 20,IEEE NANO,IEEE Conference on Nanotechnology,10,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=q_zVL_Uah5UJ.2024,,,,,
Top 20,DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",18,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=42wcJhr2yF0J.2024,,Euromicro Conference Series on Digital System Design,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools, DSD",https://dblp.org/db/conf/dsd/index.html,
Top 20,FPGA,Symposium on Field Programmable Gate Arrays,40,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=X39h_ye2QL4J.2024,ISFPGA,International Symposium on Field Programmable Gate Arrays,ACM/SIGDA International Symposium on Field Programmable Gate Arrays,https://dblp.org/db/conf/fpga/index.html,
Top 20,ASYNC,Symposium on Asynchronous Circuits and Systems,8,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Symposium+on+Asynchronous+Circuits+and+Systems&as_ylo=2020&as_yhi=2024&hl=en&as_sdt=0%2C5,,International Symposium on Asynchronous Circuits and Systems,IEEE International Symposium on Asynchronous Circuits and Systems,https://dblp.org/db/conf/async/index.html,
Eventos da Área,SBMicro,Symposium on Microelectronics Technology and Devices,6,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=9giMOactGh8J.2024,,,,,
Eventos da Área,FPL,International Conference on Field Programmable Logic and Applications,28,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=7JfwVbgjkZUJ.2024,,,,https://dblp.org/db/conf/fpl/index.html,
Eventos da Área,ISLPED,ACM/IEEE International Symposium on Low Power Electronics and Design,21,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=NoKVsOmGgEMJ.2024,,,,https://dblp.org/db/conf/islped/index.html,
Eventos da Área,CICC,IEEE Custom Integrated Circuits Conference,26,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=yHnzH6ndKgwJ.2024,,,,https://dblp.org/db/conf/cicc/index.html,
Eventos da Área,ESSCIRC,European Solid State Circuits Conference,21,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=rIvU5DZe6gMJ.2024,,,,https://dblp.org/db/conf/esscirc/index.html,
Eventos da Área,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,12,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=iPNrzhpu_IoJ.2024,,,,https://dblp.org/db/conf/apccas/index.html,
Eventos da Área,RADECS,European Conference on Radiation and Its Effects on Components and Systems,6,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=PCzjXRB5L8YJ.2024,,,,,
Eventos da Área,ISQED,International Symposium on Quality Electronic Design,21,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=CAKBHPJLxuMJ.2024,,,,https://dblp.org/db/conf/isqed/index.html,
