TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,ICASSP,"International Conference on Acoustics, Speech and Signal Processing",80,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=icassp&btnG=,,,,,
Top 10,ISMIR,International Society for Music Information Retrieval Conference,32,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=international+society+for+music+information+retrieval+conference&btnG=,,,,,
Top 10,NIME,International Conference on New Interfaces for Musical Expression,18,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=NIME&btnG=,,,,,
Top 10,ICMC,International Computer Music Conference,15,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=international+computer+music+conference&btnG=,,,,,
Top 10,SMC,Sound and Music Computing Conference,não tem,,,,,,
Top 10,DAFX,International Conference on Digital Audio Effects,não tem,http://dafx2019.bcu.ac.uk/,,,,,
Top 10,WASPAA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,15,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=IEEE+Workshop+on+Applications+of+Signal+Processing+to+Audio+and+Acoustics&btnG=,,,,,
Top 10,ISM,IEEE International Symposium on Multimedia,15,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=IEEE+international+symposium+on+multimedia&btnG=,,,,,
Top 10,SBCM,Simpósio Brasileiro de Computação Musical,não tem,http://compmus.ime.usp.br/sbcm/,,,,,
Top 10,CMMR,International Symposium on Computer Music Multidisciplinary Research,não tem,https://cmmr2019.prism.cnrs.fr/,,,,,
Top 20,AES,International Convention of the Audio Engineering Society,não tem,http://aes.19annualmeeting.com/,,,,,
Top 20,ICMPC,International Conference on Music Perception and Cognition,não tem,http://www.icmpc.org/icmpc_history.html,,,,,
Top 20,LAC,Linux Audio Conference,não tem,https://lac.linuxaudio.org/2019/,,,,,
Top 20,WAC,Web Audio Conference,não tem,https://www.ntnu.edu/wac2019,,,,,
Top 20,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,não tem,https://anppom.com.br/noticias/xxix-congresso-da-anppom-2019/,,,,,
Top 20,AUDIOMOSTLY,Audio Mostly Conference,10,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=audiomostly&btnG=,,,,,
Top 20,CSMC,Conference on Computer Simulation of Musical Creativity,não tem,https://csmc2018.wordpress.com/,,,,,
Top 20,ICSC,International CSound Conference,não tem,https://csound.com/icsc2019/,,,,,
Top 20,MMRP,International Workshop on Multilayer Music Representation and Processing,não tem,http://mmrp19.di.unimi.it/,,,,,
Top 20,AES-ICSA,AES International Conference on Semantic Audio,não tem,http://www.aes.org/conferences/2017/semantic/,,,,,
Eventos da Área,AES Brasil,Congresso de Engenharia de Áudio da Audio Engineering Society Brasil.,não tem,http://aesbrasil.org.br/eventos/,,,,,
Eventos da Área,UBIMUS,Workshop de Música Ubíqua,não tem,https://alice.dcomp.ufsj.edu.br/ubimus/,,,,,
Eventos da Área,DCASE,Workshop on Detection and Classification of Acoustic Scenes and Events,não tem,http://dcase.community/,,,,,
Eventos da Área,TIMBRE,Interdisciplinary Workshop on Timbre,não tem,http://www.timbre2017.tu-berlin.de/,,,,,
Eventos da Área,MCM,International Conference on Mathematics and Computation in Music,não tem,http://www.smcm-net.info/,,,,,
Eventos da Área,ICPME,"International Conference on Philosophy, Music and Emotion",não tem,https://waset.org/conference/2019/01/zurich/icpme,,,,,
Eventos da Área,SYSMUS,International Conference of Students of Systematic Musicology,não tem,https://sites.google.com/site/sysmusconference/sysmus-logo,,,,,
