TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
TOP10,ICER,ACM Conference on International Computing Education Research,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=v0xCU4OEvKUJ.2024,,,,https://dblp.org/db/conf/icer/index.html,
TOP10,SIGCSE,ACM Technical Symposium on Computer Science Education,47,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=rrlriATuz7wJ.2024,,,,https://dblp.org/db/conf/sigcse/index.html,
TOP10,ITICSE,ACM Conference on Innovation and Technology in Computer Science Education,35,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=68UDAZLIQo8J.2024,,,,https://dblp.org/db/conf/iticse/index.html,
TOP10,Koli Calling,Koli Calling International Conference on Computing Education Research,17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=S2ws2k7Clq8J.2024,,,,https://dblp.org/db/conf/kolicalling/index.html,
TOP10,EDUCON,IEEE Global Engineering Education Conference,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=oWx0DwbR58MJ.2024,,,,https://dblp.org/db/conf/educon/index.html,
TOP10,FIE,IEEE Frontiers in Education Conference,26,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=G1RhimMOm2wJ.2024,,,,https://dblp.org/db/conf/fie/index.html,
TOP10,WiPCSE,Workshop in Primary and Secondary Computing Education,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=_PA-cm4C5M8J.2024,,,,https://dblp.org/db/conf/wipsce/index.html,
TOP10,WEI,Workshop sobre Educação em Computação,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=-eLSF6KffKgJ.2024,,,,,https://sol.sbc.org.br/index.php/wei
TOP10,SBIE,Simpósio Brasileiro de Informática na Educação,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=DMcB-6XAVukJ.2024,,,,,https://sol.sbc.org.br/index.php/sbie
TOP10,EduComp,Simpósio Brasileiro de Educação em Computação,7,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=9d69RZLoOs8J.2024,,,,,https://sol.sbc.org.br/index.php/educomp
TOP 20,CSEDU,International Conference on Computer Supported Education,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nzz9FASca4MJ.2024,,,,https://dblp.org/db/conf/csedu/index.html,
TOP 20,ICSE,ACM International Conference on Software Engineering: Software Engineering Education and Training,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yIZ19I9U66oJ.2024,,,,https://dblp.org/db/conf/icse/index.html,
TOP 20,ACE,The Australasian Computing Education Conference,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6Ym19ArjjigJ.2024,,,,https://dblp.org/db/conf/ace/index.html,
TOP 20,ICSE-SEET,Software Engineering Education and Training of ICSE,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yIZ19I9U66oJ.2024,,,,,
TOP 20,CSEE&T,Conference on Software Engineering Education and Training,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=muJqO5o5bdUJ.2024,,,,,
TOP 20,CompEd,ACM Conference on Global Computing Education,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=3rl1k7wWXvsJ.2024,,,,,
