TOP,SIGLA,NOME,H5/h-index,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,ICSE,International Conference on Software Engineering,84,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=vtDF2hFAQ-cJ.2024,,,ACM/IEEE International Conference on Software Engineering,https://dblp.org/db/conf/icse/index.html,
Top 10,FSE/ESEC,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,62,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=CwfZO4J4a4UJ.2024,FSE,ACM International Conference on the Foundations of Software Engineering (FSE) ,ACM SIGSOFT International Symposium on Foundations of Software Engineering,https://dblp.org/db/conf/esec/index.html,
Top 10,ASE,IEEE/ACM International Conference on Automated Software Engineering,54,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=0NzweKVXmpkJ.2024,,,IEEE/ACM International Conference on Automated Software Engineering (ASE),https://dblp.org/db/conf/kbse/index.html,
Top 10,MSR,Working Conference on Mining Software Repositories,46,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=XpB0TY0OXkoJ.2024,,,Mining Software Repositories,https://dblp.org/db/conf/msr/index.html,
Top 10,SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",39,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=KigRzjvnEC0J.2024,,,"International Conference on Software Analysis, Evolution, and Reengineering (SANER)",https://dblp.org/db/conf/wcre/index.html,
Top 10,ICSME,IEEE International Conference on Software Maintenance and Evolution,33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=rYWnDlpKBukJ.2024,,,IEEE International Conference on Software Maintenance and Evolution,https://dblp.org/db/conf/icsm/index.html,
Top 10,SBES,Brazilian Symposium on Software Engineering,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=rXEm9Hzg5P8J.2024 ,,,,https://dblp.org/db/conf/sbes/index.htm,https://sol.sbc.org.br/index.php/sbes
Top 10,SBQS,Simpósio Brasileiro de Qualidade de Software,12,https://scholar.google.com.br/citations?hl=pt-BR&authuser=1&view_op=list_hcore&venue=21lpMhOn5OMJ.2024 ,,,Brazilian Symposium on Software Quality,https://dblp.org/db/conf/sbqs/index.html,
Top 10,SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software ",7,https://scholar.google.com/scholar?q=source%3ABrazilian+source%3ASymposium+source%3Aon+source%3ASoftware+source%3AComponents+source%3AArchitectures+source%3Aand+source%3AReuse&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/sbcars/index.html,https://sol.sbc.org.br/index.php/sbcars
Top 10,SAST,Brazilian Symposium on Systematic and Automated Software Testing,6,https://scholar.google.com/scholar?q=source%3ABrazilian+source%3ASymposium+source%3Aon+source%3ASystematic+source%3Aand+source%3AAutomated+source%3ASoftware+source%3ATesting&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/sast/index.html,https://sol.sbc.org.br/index.php/sast
TOP-20,CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,10,https://scholar.google.com/scholar?q=source%3AInternational+source%3ACooperative+source%3AHuman+source%3AAspects+source%3ASoftware+source%3AEngineering&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,International Conference on Cooperative and Human Aspects of Software Engineering,,https://dblp.org/db/conf/icse-chase/index.html,
TOP-20,VaMoS,International Workshop on Variability Modelling of Software-intensive Systems,9,https://scholar.google.com/scholar?q=source%3AInternational+source%3AWorkshop+source%3AVariability+source%3AModelling+source%3ASoftware-intensive+source%3ASystems&hl=pt-BR&as_sdt=0%2C5&as_ylo=2019&as_yhi=2023,,,,https://dblp.org/db/conf/vamos/index.html,
TOP-20,WER,Workshop de Engenharia de Requisitos,7,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=OEzTeItQGVAJ.2024,,,Workshp de Engenharia de Requisitos,https://dblp.org/db/conf/wer/index.html,
TOP-20,CIbSE,Conferencia Iberoamericana de Software Engineering,10,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Jh0oWyA5hnEJ.2024,,,Iberoamerican Conference on Software Engineering,https://dblp.org/db/conf/cibse/index.html,https://sol.sbc.org.br/index.php/cibse
TOP-20,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=m0WHmETFb4sJ.2024 ,,,,https://dblp.org/db/conf/scam/index.html,
TOP-20,TechDebt,International Conference on Technical Debt,15,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3Aon+source%3ATechnical+source%3ADebt&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/icse/techdebt2022.html,
TOP-20,ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,10,https://scholar.google.com/scholar?q=ICSE-SEIS&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/icse/index.html,
TOP-20,PROMISE,International Conference on Predictive Models in Software Engineering,8,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3Aon+source%3APredictive+source%3AModels+source%3Ain+source%3ASoftware+source%3AEngineering&hl=en&as_sdt=0%2C3&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/promise/index.html,
TOP-20,VEM,"Workshop on Software Visualization, Evolution and Maintenance",4,https://scholar.google.com/scholar?q=source%3AWorkshop+source%3AVisualiza%C3%A7%C3%A3o+source%3AEvolu%C3%A7%C3%A3o+source%3AManuten%C3%A7%C3%A3o+source%3ASoftware&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/vem/index.html,
TOP-20,PROFES,International Conference on Product-Focused Software Process Improvement,18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=FQXvEi7Xod4J.2024,,,Product Focused Software Process Improvement (PROFES),https://dblp.org/db/conf/profes/index.html,
Eventos da Área,REFSQ,International Working Conference on Requirements Engineering: Foundations for Software Quality,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=VATFw1qhessJ.2024 ,,,,https://dblp.org/db/conf/refsq/index.html,
Eventos da Área,ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=TWG2GULnchAJ.2024,,,"International Symposium on Empirical Software Engineering and Measurement, ESEM",https://dblp.org/db/conf/esem/index.html,
Eventos da Área,RE,IEEE International Requirements Engineering Conference,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fkF-UcrzbCsJ.2024,,,,https://dblp.org/db/conf/re/index.html,
Eventos da Área,WICSA,Working IEEE/IFIP Conference on Software Architecture,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=7pDaek0315EJ.2024 ,,International Conference on Software Architecture (ICSA),IEEE International Conference on Software Architecture Companion,https://dblp.org/db/conf/icsa/index.html,
Eventos da Área,MODELS,International Conference on Model Driven Engineering Languages and Systems,26,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=3ppqdCDVTskJ.2024,,,Model Driven Engineering Languages and Systems,https://dblp.org/db/conf/models/index.html,
Eventos da Área,XP,International Conference on Agile Software Development,24,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=CWzNub7mXWkJ.2024,,,International Conference on Agile Processes in Software Engineering and Extreme Programming (XP),https://dblp.org/db/conf/xpu/index.html,
Eventos da Área,ISSRE,IEEE International Symposium on Software Reliability Engineering,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=xJhIFxijeG8J.2024,,,International Symposium on Software Reliability Engineering,https://dblp.org/db/conf/issre/index.html,
Eventos da Área,SEAA,Euromicro Conference on Software Engineering and Advanced Applications,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=q4lhGCNkc40J.2024,,,,https://dblp.org/db/conf/euromicro/index.html,
Eventos da Área,ISSTA,International Symposium on Software Testing and Analysis,45,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=llVusf8drOoJ.2024,,,,https://dblp.org/db/conf/issta/index.html,
Eventos da Área,ICPC,International Conference on Program Comprehension,33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Q7aNVRgyGrYJ.2024,,,IEEE International Conference on Program Comprehension,https://dblp.org/db/conf/iwpc/index.html,
Eventos da Área,ICSTV,"IEEE International Conference on Software Testing, Verification and Validation",32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=DQUq5mthvPAJ.2024,,,"IEEE International Conference on Software Testing, Verification and Validation (ICST)",https://dblp.org/db/conf/icst/index.html,
Eventos da Área,SAC,ACM Symposium on Applied Computing,36,https://scholar.google.com.br/citations?hl=pt-BR&authuser=1&view_op=list_hcore&venue=eLhWa3qzEDsJ.2024,,,,https://dblp.org/db/conf/sac/index.html,
Eventos da Área,ICPE,International Conference on Performance Engineering,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nS824tflG3QJ.2024,,,ACM/SPEC International Conference on Performance Engineering,https://dblp.org/db/conf/wosp/index.html,
Eventos da Área,SPLC,International Software Product Line Conference,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=d7uBCzQUspcJ.2024,,,,https://dblp.org/db/conf/splc/index.html,
Eventos da Área,EASE,International Conference on Evaluation and Assessment in Software Engineering,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=jk7nbKX2c8EJ.2024,,,,https://dblp.org/db/conf/ease/index.html,
Eventos da Área,ECSA,European Conference on Software Architecture,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=hbCKVuECYrEJ.2024,,,,https://dblp.org/db/conf/ecsa/index.html,
Eventos da Área,ICEIS,International Conference on Enterprise Information Systems,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=zsGWp1QJr3AJ.2024,,,International Conference on Enterprise Information Systems (ICEIS),https://dblp.org/db/conf/iceis/index.html,
Eventos da Área,SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=-CeAPmbJYRoJ.2024,,,Symposium on Software Engineering for Adaptive and Self-Managing Systems,https://dblp.org/db/conf/seams/index.html,
Eventos da Área,SWQD,Conference Software Quality Days,13,https://scholar.google.com/scholar?q=source%3AInternational+source%3Aconference+source%3Aon+source%3ASoftware+source%3AQuality&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/swqd/index.html,
Eventos da Área,MOBILESoft,International Conference on Mobile Software Engineering and Systems,11,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3Aon+source%3AMobile+source%3ASoftware+source%3AEngineering+source%3Aand+source%3ASystems&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/mobilesoft/index.html,
Eventos da Área,CSEE&T,Conference on Software Engineering Education and Training,10,https://scholar.google.com/scholar?q=source%3AConference+source%3ASoftware+source%3AEngineering+source%3AEducation+source%3ATraining+source%3ACSEE%26T&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/csee/index.html,
Eventos da Área,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yIZ19I9U66oJ.2024,,,,https://dblp.org/db/conf/icse/index.html,
Eventos da Área,ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BlizIY9N_gYJ.2024,,,,https://dblp.org/db/conf/icse/index.html,
Eventos da Área,ICSE-NIER,ACM International Conference on Software Engineering: New Ideas and Emerging Results,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=O2nPvVo1E_MJ.2024,,,,https://dblp.org/db/conf/icse/index.html,
Eventos da Área,ICSSP,International Conference on Software and Systems Process,6,https://scholar.google.com/scholar?q=%28source%3AInternational+source%3AConference+source%3Aon+source%3ASoftware+source%3Aand+source%3ASystem+source%3AProcess%29+OR+%28source%3AICSSP%29&hl=en&as_sdt=0%2C3&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/ispw/index.html,
Eventos da Área,FASE,International Conference on Fundamental Approaches to Software Engineering,18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Z3vTc_eaJhAJ.2024 ,,,Fundamental Approaches to Software Engineering,https://dblp.org/db/conf/fase/index.html,
Eventos da Área,PLOP,Conference on Pattern Languages of Programs,12,https://scholar.google.com/scholar?q=source%3AConference+source%3Aon+source%3APattern+source%3ALanguages+source%3APrograms&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/plop/index.html,
Eventos da Área,ICWE,International Conference on Web Engineering,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=I8L8xmsrq2EJ.2024,,,International Conference on Web Engineering (ICWE),https://dblp.org/db/conf/icwe/index.html,
Eventos da Área,ENASE,Evaluation of Novel Approaches to Software Engineering,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Q2z8twK6gqAJ.2024,,,Evaluation of Novel Approaches to Software Engineering (ENASE),https://dblp.org/db/conf/enase/index.html,
Eventos da Área,AST,IEEE/ACM International Workshop on Automation of Software Testing,13,https://scholar.google.com/scholar?q=source%3AInternational+source%3Aon+source%3AAutomation+source%3Aof+source%3ASoftware+source%3ATest&hl=en&as_sdt=0%2C3&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/ast/index.html,
Eventos da Área,EUROPLOP,European Conference on Pattern Languages of Programs,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=G6KgE6kxOP8J.2024,,,,https://dblp.org/db/conf/europlop/index.html,
Eventos da Área,ICGSE,IEEE International Conference on Global Software Engineering,12,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3AGlobal+source%3ASoftware+source%3AEngineering&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/icgse/index.html,
Eventos da Área,SEKE,International Conference on Software Engineering and Knowledge Engineering,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JQUkUFehKJAJ.2024,,,International Conference on Software Engineering and Knowledge Engineering (SEKE),https://dblp.org/db/conf/seke/index.html,
Eventos da Área,EuroSPI,European Conference on Software Process Improvement,17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=NIvUXCf10OgJ.2024,,,Conference on European System & Software Process Improvement and Innovation (EuroSPI),https://dblp.org/db/conf/eurospi/index.html,
