TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,DAC,Design Automation Conference,60,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=LMgtaHBu8WIJ.2024,,,ACM/IEEE Design Automation Conference,https://dblp.org/db/conf/dac/index.html,
Top 10,EUROSYS,European Conference on Computer Systems,48,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=8LhhnAnPYO8J.2024,,,,https://dblp.org/db/conf/eurosys/index.html,
Top 10,DATE,"Design, Automation and Test in Europe Conference and Exhibition",46,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=cP2AyDfWCcQJ.2024,,,,https://dblp.org/db/conf/date/index.html,
Top 10,FPGA,Symposium on Field Programmable Gate Arrays,40,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=X39h_ye2QL4J.2024,,,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,https://dblp.org/db/conf/fpga/index.html,
Top 10,ASP-DAC,Asia and South Pacific Design Automation Conference ,38,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=4OI7pMNBopQJ.2024,,,,https://dblp.org/db/conf/aspdac/index.html,
Top 10,FPL,International Conference on Field Programmable Logic and Applications,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=7JfwVbgjkZUJ.2024,,,,https://dblp.org/db/conf/fpl/index.html,
Top 10,RTAS,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=2YPqFanDRcAJ.2024,,,,https://dblp.org/db/conf/rtas/index.html,
Top 10,RTSS,Real-Time Systems Symposium,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=qvvrZOpbLHgJ.2024,,,IEEE International Real-Time Systems Symposium,https://dblp.org/db/conf/rtss/index.html,
Top 10,ECRTS,Euromicro Conference on Real-Time Systems,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=TjHsSEvIdkIJ.2024,,,,https://dblp.org/db/conf/ecrts/index.html,
Top 10,SBESC,Brazilian Symposium on Computing System Engineering,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=EA9qTFRFeoUJ.2024,,Symposium on Computing Systems Engineering,,https://dblp.org/db/conf/sbesc/index.html,
Top 20,ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,34,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=oGDa9y0RKw8J.2024,,,IEEE Conference on Emerging Technologies & Factory Automation (ETFA),https://dblp.org/db/conf/etfa/index.html,
Top 20,WF-IoT,IEEE World Forum on Internet of Things,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=gSjQo1cwB88J.2024,,,,https://dblp.org/db/conf/wf-iot/index.html,
Top 20,FCCM,IEEE Annual Symposium on Field-Programmable Custom Computing Machines,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uLGTNGzfRS0J.2024,,,IEEE International Symposium on Field-Programmable Custom Computing Machines,https://dblp.org/db/conf/fccm/index.html,
