TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 20,I3D,ACM Symposium on Interactive 3D Graphics and Games,16,https://scholar.google.com/scholar?q=ACM+Symposium+on+Interactive+3D+Graphics+and+Games&hl=pt-BR&as_sdt=0%2C5&as_ylo=2018&as_yhi=,,,,https://dblp.org/db/conf/si3d/index.html,
Top 20,CAIP,International Conference on Computer Analysis of Images and Patterns,16,#REF!,,,,https://dblp.org/db/conf/caip/index.html,
Top 20,SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,19,"https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0,5&as_ylo=2019&as_yhi=2024&q=symposium+on+computer+animation",,,,https://dblp.org/db/conf/sca/index.html,
Top 20,CGI,Computer Graphics International Conference,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Eta5Rw7ikZgJ.2024,,,,https://dblp.org/db/conf/cgi/index.html,
Top 20,PG,Pacific Conference on Computer Graphics and Applications,,,,,,https://dblp.org/db/conf/pg/index.html,
Top 20,ICIAP,International Conference on Image Analysis and Processing,19,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=KC9Tb2aNScwJ.2024,,,,https://dblp.org/db/conf/iciap/index.html,
Top 20,IWSSIP,"International Conference on Systems, Signals and Image Processing",17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=GsvS_jxfxCoJ.2024,,,,https://dblp.org/db/conf/iwssip/index.html,
Top 20,CIARP,Iberoamerican Congress on Pattern Recognition,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=-G7ZDWMFougJ.2024,,,,https://dblp.org/db/conf/ciarp/index.html,
Top 20,GRAPP,International Conference on Computer Graphics Theory and Applications,10,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ulaSNA5ZgjEJ.2024,,,,https://dblp.org/db/conf/grapp/index.html,
Top 20,WVC,Workshop de Visão Computacional,6,https://scholar.google.com.br/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2019&as_yhi=2024&as_vis=1&q=source%3AWorkshop+source%3Ade+source%3AVis%C3%A3o+source%3AComputacional&btnG=2024,,,,https://sol.sbc.org.br/index.php/wvc,
Top 10,DGMM,Discrete Geometry and Mathematical Morphology (DGMM = DGCI+ISMM desde 2021),21,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2019&q=source%3A+Conference+source%3A+Discrete+source%3A+Geometry+source+Mathematical+source%3A+Morphology&btnG=,,,,https://dblp.org/db/conf/dgmm/index.html,
Top 10,SIBGRAPI,"SIBGRAPI Conference on Graphics, Patterns and Images",23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=sPLlun2OWTwJ.2024,,,,https://dblp.org/db/conf/sibgrapi/index.html,
Top 10,IEEE VIS,IEEE Visualization Conference,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ISkzejISPjIJ.2024,,,,https://dblp.org/db/conf/visualization/index.html,
Top 10,SIGGRAPH,Proceedings of the ACM on Computer Graphics and Interactive Techniques,19,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=4ZH62wP1FOcJ.2024,,,,https://dblp.org/db/journals/pacmcgit/index.html,
Top 10,SIGGRAPH Asia,Proceedings of the ACM on Computer Graphics and Interactive Techniques - Asia,25,https://scholar.google.com/citations?hl=en&vq=eng_computergraphics&view_op=list_hcore&venue=dXZdebXoOt0J.2024,,,,,
Top 10,ICB,IAPR International Conference on Biometrics,17,https://scholar.google.com/scholar?q=IAPR+International+Conference+on+Biometrics&hl=pt-BR&as_sdt=0%2C5&as_ylo=2019&as_yhi=,,,,https://dblp.org/db/conf/icb/index.html,
