TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,27,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=OOX3mKRBpYMJ.2024,,International Conference on Advances in Geographic Information Systems,,https://dblp.org/db/conf/gis/index.html,
Top 10,COSIT,International Conference on Spatial Information Theory,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=g1IeG8tN8KAJ.2018,,,,https://dblp.org/db/conf/cosit/index.html,
Top 10,GIScience,International Conference on Geographic Information Science,8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=_va3nqyJpWMJ.2024,,,,https://dblp.org/db/conf/giscience/index.html,
Top 10,AGILE,AGILE Conference on Geo-information Science,10,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Lw_joq0vfyMJ.2024,AGILEGIS,Conference on Geographic Information Science,,https://dblp.org/db/conf/agile/index.html,
Top 10,ISPRS,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",29,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=jll6j_M0-kEJ.2024,,,, ,
Top 10,SDSS,Spatial Data Science Symposium,2,https://scholar.google.com.br/scholar?hl=pt-BR&as_sdt=0%2C5&q=source%3A%22Spatial+Data+Science+Symposium%22&btnG=,,,, ,
Top 10,SSDBM,International Conference on Scientific and Statistical Database Management,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=w_KC2fvJJQEJ.2024,,,,https://dblp.org/db/conf/ssdbm/index.html,
Top 10,eScience,IEEE eScience International Conference,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=6RxgACAtCdcJ.2024,,,,https://dblp.org/db/conf/eScience/index.html,
Top 10,ER,International Conference on Conceptual Modeling,20,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=wB6WaEpFlvgJ.2024,,,,https://dblp.org/db/conf/er/index.html,
Top 10,GeoInfo,Brazilian Symposium on Geoinformatics,10,https://scholar.google.com/citations?hl=pt-BR&user=t3gdFq0AAAAJ&authuser=1&gmla=AJsN-F6LBnjLXtQd-yh39j9RHYHOIsgXmARp2aXa-w-n6ht-ZspeY_ZLXmlvcUlZnpF9t9Y6VbbdXJCOwtaExL8C7awFyoOie5bAayVQdxS-Ln3RDO9Pie4,,,Simpósio Brasileiro de Geoinformática,https://dblp.org/db/conf/geoinfo/index.html,
Top 20,SBSR,Simpósio Brasileiro de Sensoriamento Remoto,7,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=%22simposio+brasileiro+de+sensoriamento+remoto%22&as_ylo=&as_yhi=&hl=pt-BR&as_sdt=0%2C5,,,, ,
Top 20,LocWeb,International Workshop on Location and the Web,17,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Location+and+the+Web&as_ylo=&as_yhi=&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/locweb/index.html,
Top 20,GIR,Workshop on Geographic Information Retrieval,7,https://scholar.google.com.br/scholar?hl=pt-BR&as_sdt=0%2C5&q=source%3A%22Workshop+on+Geographic+Information+Retrieval%22&btnG=,,,,https://dblp.org/db/conf/gir/index.html,
