TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,NIPS,Neural Information Processing Systems,337,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=6SgK_Z8h2_wJ.2024,NeurIPS,,,https://dblp.org/db/conf/nips/index.html,
Top 10,ICML,International Conference on Machine Learning,268,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=wL2oxc9mT4YJ.2024,,,,https://dblp.org/db/conf/icml/index.html,
Top 10,AAAI,AAAI Conference on Artificial Intelligence,220,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=PV9sQN5dnPsJ.2024,,,,https://dblp.org/db/conf/aaai/index.html,
Top 10,IJCAI,International Joint Conference on Artificial Intelligence,136,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=4HxsSu0PUdYJ.2024,,,,https://dblp.org/db/conf/ijcai/index.html,
Top 10,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,54,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yWxsQWGuQ-sJ.2024,,,,https://dblp.org/db/conf/atal/index.html,
Top 10,UAI,Conference on Uncertainty in Artificial Intelligence,56,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=xLfkTVI4LkMJ.2024,,,,https://dblp.org/db/conf/uai/index.html,
Top 10,ICAPS,International Conference on Automated Planning and Scheduling,35,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Mr2FEgodZ4QJ.2024,,,,https://dblp.org/db/conf/icaps/index.html,
Top 10,KR,International Conference on Principles of Knowledge Representation and Reasoning,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=mK5NIOh7kkEJ.2024,,,,https://dblp.org/db/conf/kr/index.html,
Top 10,BRACIS,Brazilian Conference on Intelligent Systems,16,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=qXwIadFVNCsJ.2024,,,,https://dblp.org/db/conf/bracis/index.html,https://sol.sbc.org.br/index.php/bracis/index
Top 10,ENIAC,Encontro Nacional de Inteligência Artificial e Computacional,9,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=DoEKONL9f1YJ.2024,,,,,https://sol.sbc.org.br/index.php/eniac/issue/archive
Top 20,ECAI,European Conference on Artificial Intelligence,36,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ryLBm7fgHNMJ.2024,,,,https://dblp.org/db/conf/ecai/index.html,
Top 20,EMNDKLP,Conference on Empirical Methods in Natural Language Processing,193,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=LqrQjvOguiMJ.2024,,,,https://dblp.org/db/conf/emnlp/index.html,
Top 20,IROS,IEEE/RSJ Interrnational Conference on Intelligent Robots and Systems,78,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=LqrQjvOguiMJ.2024,,,,,
Top 20,WSDM,ACM International Conference on Web Search and Data Mining,77,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6AbX1YWluE4J.2024,,,,,
Top 20,COLT,Conference on Learning Theory,74,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=z7sajJgd5jIJ.2024,,,,,
Top 20,AISTATS,International Conference on Artificial Intelligence and Statistics,100,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=PhcE9OLs0MUJ.2024,,,,https://dblp.org/db/conf/aistats/index.html,
Top 20,GECCO,Conference on Genetic and Evolutionary Computation,47,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=pQVER_ii7sMJ.2024,,,,https://dblp.org/db/conf/gecco/index.html,
Top 20,FUZZ,IEEE International Conference on Fuzzy Systems,25,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=sateOX2Ni50J.2024,,,,https://dblp.org/db/conf/fuzzIEEE/index.html,
Top 20,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=5m22OTMIZYcJ.2024,,,,https://dblp.org/db/conf/aiide/index.html,
Top 20,ICWSM,International Conference on Web and Social Media,56,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=eH4qSzdbVtwJ.2024,,,,https://dblp.org/db/conf/icwsm/index.html,
Eventos da Área,ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,12,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=NPzpQ2AW63QJ.2024,,,,https://dblp.org/db/conf/ecsqaru/index.html,
Eventos da Área,LA-CCI,IEEE Latin American Conference on Computational Intelligence,10,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=MQjh4nsifjAJ.2024,,,,https://dblp.org/db/conf/lacci/index.html,
Eventos da Área,PROPOR,International Conference on Computational Processing of the Portuguese Language,11,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=8aBtgrGnL1MJ.2023,,,,https://dblp.org/db/conf/propor/index.html,
Eventos da Área,MICAI,Mexican International Conference on Artificial Intelligence,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uhZEgJcD4mIJ.2024,,,,https://dblp.org/db/conf/micai/index.html,
Eventos da Área,PGM,International Conference on Probabilistic Graphical Models,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=erUczV5NGi0J.2023,,,,,
Eventos da Área,SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=DBppmrSv3qgJ.2024,,,,https://dblp.org/db/conf/saci/index.html,
Eventos da Área,IPMU,International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,12,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=DxTMQsOcxf0J.2024,,,,https://dblp.org/db/conf/ipmu/index.html,
Eventos da Área,,RoboCup Symposium,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=DxTMQsOcxf0J.2024,,,,https://dblp.org/search?q=RoboCup%20Symposium,
Eventos da Área,SCS,Symposium on Combinatorial Search,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=7xJ2M-o6QYwJ.2024,,,,https://dblp.org/db/conf/socs/index.html,
Eventos da Área,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,21,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=5m22OTMIZYcJ.2024,,,,https://dblp.org/db/conf/aiide/index.html,
Eventos da Área,ACII,International Conference on Affective Computing and Intelligent Interaction,24,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=5m22OTMIZYcJ.2024,,,,,
