TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,NeurIPS,Neural Information Processing Systems,337,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=Neural+Information+Processing+Systems&btnG=,,,,https://dblp.org/db/conf/nips/index.html,
Top 10,ICML,International Conference on Machine Learning (ICML),268,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_artificialintelligence&view_op=list_hcore&venue=wL2oxc9mT4YJ.2024,,,,https://dblp.org/db/conf/icml/index.html,
Top 10,CEC,IEEE Congress on Evolutionary Computation,89,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ThxTsNVxvT8J.2024,,,,https://dblp.org/db/conf/cec/index.html,
Top 10,IJCNN,International Joint Conference on Neural Networks,64,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=-t1SY74YlYcJ.2024,,,,https://dblp.org/db/conf/ijcnn/index.html,
Top 10,ICDM,IEEE International Conference on Data Mining (ICDM),50,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_datamininganalysis&view_op=list_hcore&venue=A0l3VPFKwDYJ.2024,,,,https://dblp.org/db/conf/icdm/index.html,
Top 10,GECCO,Conference on Genetic and Evolutionary Computation,47,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=pQVER_ii7sMJ.2024,,,,https://dblp.org/db/conf/gecco/index.html,
Top 10,ECML,European Conference on Machine Learning and Knowledge Discovery in Databases,45,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_datamininganalysis&view_op=list_hcore&venue=B_DfwWWmEnMJ.2024,,,,https://dblp.org/db/conf/ecml/index.html,
Top 10,FUZZ,IEEE International Conference on Fuzzy Systems (FUZZ),25,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=sateOX2Ni50J.2024,,,,https://dblp.org/db/conf/fuzzIEEE/index.html,
Top 10,BRACIS,Brazilian Conference on Intelligent Systems,16,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=qXwIadFVNCsJ.2024,,,,https://dblp.org/db/conf/bracis/index.html,
Top 10,ENIAC,Encontro Nacional de Inteligência Artificial e Computacional,9,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=DoEKONL9f1YJ.2024,,,,,https://sol.sbc.org.br/index.php/eniac/issue/archive
