TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,CHI,ACM Conference on Human Factors in Computing Systems,129,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=6NNnGOq9_mAJ.2024,,,,https://dblp.org/db/conf/chi/index.html,
Top 10,IUI,International Conference on Intelligent User Interfaces,52,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=-_BzfdwqRVsJ.2024,,,,https://dblp.org/db/conf/iui/index.html,
Top 10,UIST,ACM Symposium on User Interface Software and Technology,51,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=vl9z3BzoXrgJ.2024,,,,https://dblp.org/db/conf/uist/index.html,
Top 10,DIS,ACM Designing Interactive Systems,49,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=NL3siS1OXxYJ.2024,,,,https://dblp.org/db/conf/ACMdis/index.html,
Top 10,IDC,International Conference on Interaction Design and Children,33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6bHuP8hpZRIJ.2024,,,,https://dblp.org/db/conf/acmidc/index.html,
Top 10,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=c5bgEi18VesJ.2024,,,,https://dblp.org/db/conf/assets/index.html,
Top 10,INTERACT,IFIP International Conference on Human-Computer Interaction,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6hYO_ZiWs1YJ.2024,,,,https://dblp.org/db/conf/interact/index.html,
Top 10,NordiCHI,Nordic forum for Human-Computer Interaction,24,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JMsm_h2lofMJ.2024,,,,https://dblp.org/db/conf/nordichi/index.html,
Top 10,MobileHCI,International Conference on Human-Computer Interaction with Mobile Devices and Services,22,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=FYz8XSTnq6sJ.2024,,,,https://dblp.org/db/conf/mhci/index.html,
Top 10,IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=jyopF_8JEZIJ.2024,,,,https://dblp.org/db/conf/ihc/index.html,https://sol.sbc.org.br/index.php/ihc
Top 20,HRI,ACM International Conference on Human Robot Interaction,54,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ywdGSlWdBhkJ.2024,,,,https://dblp.org/db/conf/hri/index.html,
Top 20,ICMI,ACM International Conference on Multimodal Interfaces,31,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=FeNM07eYolwJ.2024,,,,https://dblp.org/db/conf/icmi/index.html,
Top 20,RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yHxohuW00noJ.2024,,,,https://dblp.org/db/conf/ro-man/index.html,
Top 20,ACM CHI PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=WNLxUj5tg3gJ.2024,,,,https://dblp.org/db/conf/chiplay/index.html,
Top 20,TEI,"ACM International Conference on Tangible, Embedded and Embodied Interactions",27,https://scholar.google.com/citations?hl=en&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=KRPnqF5qBUgJ.2024,,,,https://dblp.org/db/conf/tei/index.html,
