TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,CHIPlay,ACM Annual Symposium on Computer-Human Interaction in Play,31,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Annual+Symposium+on+Computer-Human+Interaction+in+Play&btnG=,,,,https://dblp.org/db/conf/chiplay/index.html,
Top 10,CoG, IEEE Conference on Games,31,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=IEEE+Conference+on+Computational+Intelligence+and+Games&btnG=,CoG,Conference on Games,,https://dblp.org/db/conf/cig/index.html,
Top 10,FDG,International Conference on the Foundations of Digital Games,25,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Foundations+of+digital+games&btnG=,,International Conference on the Foundations of Digital Games,,https://dblp.org/db/conf/fdg/index.html,
Top 10,IVA,Intelligent Virtual Agents,23,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Intelligent+virtual+agents&btnG=,,,,https://dblp.org/db/conf/iva/index.html,
Top 10,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment ,21,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=artificial+intelligence+and+interactive+digital+entertainment+conference&btnG=,,,,https://dblp.org/db/conf/aiide/index.html,
Top 10,MIG,"ACM SIGGRAPH Conference on Motion, Interaction and Games",17,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Conference+on+Motion%2C+Interaction+and+Games&btnG=,,"Motion, Interaction and Games",,https://dblp.org/db/conf/mig/index.html,
Top 10,SeGAH,IEEE International Conference on Serious Games and Applications for Health,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=International+Conference+on+Serious+Games+and+Applications+for+Health+%28SeGAH%29&btnG=,,,,https://dblp.org/db/conf/segah/index.html,
Top 10,i3D,ACM Symposium on Interactive 3D Graphics and Games,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Proceedings+of+the+ACM+on+Computer+Graphics+and+Interactive+Techniques&btnG=,,,,https://dblp.org/db/conf/si3d/index.html,
Top 10,ICIDS,International Conference on Interactive Digital Storytelling,14,https://scholar.google.es/citations?hl=en&view_op=search_venues&vq=International+conference+on+interactive+digital+storytelling&btnG=,,,,https://dblp.org/db/conf/icids/index.html,
Top 10,ICEC,IFIP International Conference on Entertainment Computing,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=International+Conference+on+Entertainment+Computing&btnG=,,,,https://dblp.org/db/conf/iwec/index.html,
Top 10,SBGames,Brazilian Symposium on Games and Digital Entertainment,10,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=brazilian+symposium+on+games+and+digital+entertainment&btnG=,,,Simpósio Brasileiro de Jogos e Entretenimento Digital,https://dblp.org/db/conf/sbgames/index.html,https://sol.sbc.org.br/index.php/sbgames
Top 20,CASA,International Conference on Computer Animation and Social Agents,17,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=computer++animation+and+virtual+worlds&btnG=,,,,https://dblp.org/db/conf/ca/index.html,
Top 20,DiGRA,Digital Games Research Association International Conference,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=3NcCD_2kgFYJ.2024,,,DiGRA International Conference,https://dblp.org/db/conf/digra/index.html,
Top 20,GEM,"IEEE Games, Entertainment, Media Conference",4,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE+Games%2C+Entertainment%2C+Media+Conference&as_ylo=2020&as_yhi=2024&hl=en&as_sdt=0%2C5,,,,https://dblp.org/db/conf/gamesem/index.html,
Top 20,VS-Games,International Conference on Virtual Worlds and Games for Serious Applications,9,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=GW3dXd7lzJ8J.2019,,,Foi incorporada pela IEEE CoG H5 31,https://dblp.org/db/conf/vsgames/index.html,
Top 20,SBGames*,Anais Estendidos do Simpósio Brasileiro de Jogos e Entretenimento Digital,6,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=Anais+Estendidos+do+Simp%C3%B3sio+Brasileiro+de+Jogos+e+Entretenimento+Digital&btnG=,,,,,https://sol.sbc.org.br/index.php/sbgames_estendido/issue/archive
Top 20,GAS,International Workshop on Games and Software Engineering ,4,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Games+and+software+engineering&as_ylo=2020&as_yhi=2024&hl=en&as_sdt=0%2C5,,,,https://dblp.org/db/conf/icse-gas/index.html,
Top 20,FASE4Games,Foundations of Applied Software Engineering for Games Workshop,0,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Foundations+of+Applied+Software+Engineering+for+Games&as_ylo=2020&as_yhi=2024&hl=en&as_sdt=0%2C5,,,International Workshop on Foundations of Applied Software Engineering for Game,https://dblp.org/db/conf/fase4games/index.html,
Top 20,GALA,Games and Learning Alliance Conference,13,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=Games+and+Learning+Alliance+Conference&btnG=,,,,https://dblp.org/db/conf/gala/index.html,
Eventos da Área,Videojogos,International Conference on Videogame Sciences and Arts,4,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Videogame+Sciences+and+Arts&as_ylo=2020&as_yhi=2024&hl=en&as_sdt=0%2C5,,,,,
