TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
TOP 10,LICS,ACM/IEEE Symposium on Logic in Computer Science,30,https://scholar.google.com.br/citations?hl=en&vq=eng_theoreticalcomputerscience&view_op=list_hcore&venue=5mWbSIB9be8J.2024,,,,https://dblp.org/db/conf/lics/index,
TOP 10,CSL,Computer Science Logic,16,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=xfuNJ8sxOdEJ.2024,,,,https://dblp.org/db/conf/csl/index,
TOP 10,LSFA,"International Workshop on Logical and Semantic Frameworks, with Applications",1,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3ASemantic+source%3AFrameworks+source%3Awith+source%3AApplications&btnG=,,,,https://dblp.org/db/conf/lsfa/index,
TOP 10,FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,17,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=q-MXMv7GdwAJ.2024,,,,https://dblp.org/db/conf/fossacs/index,
TOP 10,TABLEAUX,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,11,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3ATABLEAUX&btnG=,,,,https://dblp.org/db/conf/tableaux/index,
TOP 10,FSCD,International Conference on Formal Structures for Computation and Deduction,10,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AInternational+source%3AConference+source%3Aon+source%3AFormal+source%3AStructures+source%3Afor+source%3AComputation+source%3Aand+source%3ADeduction&btnG=,,,,https://dblp.org/db/conf/fscd/index,
TOP 10,WoLLIC,"Workshop on Logic, Language, Information and Computation",12,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=-_yucm7AqqAJ.2024,,,,https://dblp.org/db/conf/wollic/index,
TOP 10,ICLP,International Conference on Logic Programming,9,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AInternational+source%3AConference+source%3Aon+source%3ALogic+source%3AProgramming&btnG=,,,,https://dblp.org/db/conf/iclp/index.html,
TOP 10,SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,9,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3ASOFSEM&btnG=&oq=source%3A+SOFSEM,,,,https://dblp.org/db/conf/sofsem/index.html,
TOP 10,ICTAC,International Colloquium on Theoretical Aspects of Computing,10,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=foujqxJmEBEJ.2024,,,,https://dblp.org/db/conf/ictac/index.html,
TOP 20,LMCS,Logical Methods in Computer Science,27,https://scholar.google.com.br/citations?hl=en&vq=eng_theoreticalcomputerscience&view_op=list_hcore&venue=uMkIEwVx22wJ.2024,,,,https://dblp.org/db/journals/lmcs/index,
TOP 20,SAT,International Conference on Theory and Applications of Satisfiability Testing,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Ydp6NbVxpcEJ.2024,,,,https://dblp.org/db/conf/sat/index,
TOP 20,AIML,Advances in Modal Logic,8,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AAIML&btnG=,,,,https://dblp.org/db/conf/aiml/index,
TOP 20,FROCOS,International Symposium on Frontiers of Combining System,5,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AInternational+source%3ASymposium+source%3Aon+source%3AFrontiers+source%3Aof+source%3ACombining+source%3ASystems&btnG=,,,,https://dblp.org/db/conf/frocos/index,
TOP 20,ESOP,European Symposium on Programming,23,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=UtpXAOWmk9EJ.2024,,,,https://dblp.org/db/conf/esop/index,
TOP 20,MFCS,International Symposium on Mathematical Foundations of Computer Science,19,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=b7Wt8oz6uqAJ.2024,,,,https://dblp.org/db/conf/mfcs/index.html,
TOP 20,ICFP,ACM SIGPLAN International Conference on Functional Programming,2,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AACM+source%3ASIGPLAN+source%3AInternational+source%3AConference+source%3Aon+source%3AFunctional+source%3AProgramming&btnG=,,,,https://dblp.org/db/conf/icfp/index,
TOP 20,FLOPS,International Symposium on Functional and Logic Programming,4,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AInternational+source%3ASymposium+source%3Aon+source%3AFunctional+source%3Aand+source%3ALogic+source%3AProgramming&btnG=,,,,https://dblp.org/db/conf/flops/index,
TOP 20,ICCTCC,"International Conference on Computability Theory, Computability and Complexity",,,,,,,
TOP 20,IJCAR,International Joint Conference on Automated Reasoning,12,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AInternational+source%3AJoint+source%3AConference+source%3Aon+source%3AAutomated+source%3AReasoning&btnG=,,,,https://dblp.org/db/conf/ijcar/index,
Eventos da área,WBL,Workshop Brasileiro de Lógica,1,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=source%3AWorkshop+source%3ABrasileiro+source%3Ade+source%3AL%C3%B3gica&btnG=,,,,https://sol.sbc.org.br/index.php/wbl,
