TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,POPL,Symposium on Principles of Programming Languages,45,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6CxxSCV0pL8J.2021,,,,https://dblp.uni-trier.de/db/conf/popl/index.html,
Top 10,PLDI,SIGPLAN Conference on Programming Language Design and Implementation,51,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=MJmsjXA6rLIJ.2024,,,,https://dblp.uni-trier.de/db/conf/pldi/index.html,
Top 10,ECOOP,European Conference on Object-Oriented Programming,19,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QHz4g2YxOYgJ.2024,,,,https://dblp.uni-trier.de/db/conf/ecoop/index.html,
Top 10,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",29,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=k7wjG1erdwwJ.2020,,,,https://dblp.uni-trier.de/db/conf/oopsla/index.html,
Top 10,ICFP,International Conference on Functional Programming,27,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uAiqErfInCIJ.2019,,,,https://dblp.uni-trier.de/db/conf/icfp/index.html,
Top 10,CGO,International Symposium on Code Generation and Optimization,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ol9-bwToVWEJ.2024,,,,https://dblp.uni-trier.de/db/conf/cgo/index.html,
Top 10,CC,International Conference on Compiler Construction,13,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Compiler+Construction&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.uni-trier.de/db/conf/cc/index.html,
Top 10,ESOP,European Symposium on Programming,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UtpXAOWmk9EJ.2024,,,,https://dblp.uni-trier.de/db/conf/esop/index.html,
Top 10,PPOPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JDUQTRUV4EYJ.2024,,,,https://dblp.uni-trier.de/db/conf/ppopp/index.html,
Top 10,SBLP,Brazilian Symposium on Programming Languages,6,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Brazilian+Symposium+on+Programming+Languages&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.uni-trier.de/db/conf/sblp/index.html,
