TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,FM,Formal Methods,19,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=mvAUTVUvOS0J.2019,,,,,
Top 10,TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,36,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_zC9HnSttFIJ.2019,,,,,
Top 10,FASE,Fundamental Approaches to Software Engineering,18,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=KaKG4ZSdHz4J.2019,,,,,
Top 10,FMCAD,International Conference on Formal Methods in Computer-Aided Design,17,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=s5Z0Q8BPlvwJ.2019,,,,,
Top 10,SEFM,Software Engineering and Formal Methods,14,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=8ADvAx1bYPYJ.2019,,,,,
Top 10,ICFEM,International Conference on Formal Engineering Methods,13,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=LIYEKQ4Mf5YJ.2019,,,,,
Top 10,IFM ,Integrated Formal Methods,12,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Gzge6qp3seEJ.2019,,,,,
Top 10,NFM,Nasa Formal Methods,16,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Nw9VzNrATcAJ.2019,,,,,
Top 10,CAV,International Conference on Computer Aided Verification,39,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=qgBvh59sjMQJ.2019,,,,,
Top 10,SBMF ,Simpósio Brasileiro de Métodos Formais,,,,,,,
Top 20,CONCUR,International Conference on Concurrency Theory,21,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wkpUPIDgNa4J.2019,,,,,
Top 20,ICTAC ,International Colloquium on Theoretical Aspects of Computing,13,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=foujqxJmEBEJ.2019,,,,,
Top 20,CADE/IJCAR,International Conference on Automated Deduction,17,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=uulzuBwI1mAJ.2019,,,,,
Top 20,ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",13,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=P_bGcOzNXgIJ.2019,,,,,
Top 20,FACS,International Conference on Formal Aspects of Component Software,19,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=1wsH4YLiPpcJ.2019,,,,,
Top 20,ISOLA,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",17,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wOH94ungceEJ.2019,,,,,
Top 20,ITP,International Conference on Interactive Theorem Proving,19,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=dC3V1ZRAEU4J.2019,,,,,
Top 20,TASE,Theoretical Aspects of Software Engineering,9,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=WZLpmXhRGDcJ.2019,,,,,
Top 20,ICGT,International Conference on Graph Transformations,,,,,,,
