TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,ACL,Annual Meeting of the Association for Computational Linguistics,215,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Y3UjV9bSCxMJ.2024,,,,https://dblp.org/db/conf/acl/index.html,
Top 10,NAACL,North American Chapter of the Association for Computational Linguistics Annual Meeting,132,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ORSK3meVbY4J.2024,,,,https://dblp.org/db/conf/naacl/index.html,
Top 10,EACL,Conference of the European Chapter of the Association for Computational Linguistics,56,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=JnFTLT-D1FUJ.2024,,,,https://dblp.org/db/conf/eacl/index.html,
Top 10,COLING,International Conference on Computational Linguistics,65,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=6AfzgED5a7MJ.2024,,,,https://dblp.org/db/conf/coling/index.html,
Top 10,EMNLP,Conference on Empirical Methods in Natural Language Processing,193,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=LqrQjvOguiMJ.2024,,,,https://dblp.org/db/conf/emnlp/index.html,
Top 10,LREC,International Conference on Language Resources and Evaluation,59,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=qf6JB6yXg1UJ.2024,,,,https://dblp.org/db/conf/lrec/index.html,
Top 10,CoNLL,Conference on Natural Language Learning,39,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=H7TUtVM_vm4J.2024,,,,https://dblp.org/db/conf/conll/index.html,
Top 10,IJCNLP,International Joint Conference on Natural Language Processing,32,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=kYJHGA9yIBMJ.2024,,,,https://dblp.org/db/conf/ijcnlp/index.html,
Top 10,STIL,Brazilian Symposium in Information and Human Language Technology,4,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Simp%C3%B3sio+Brasileiro+de+Tecnologia+da+Informa%C3%A7%C3%A3o+e+da+Linguagem+Humana&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,Simpósio Brasileiro de Tecnologia da Informação e da Linguagem Humana,https://dblp.org/db/conf/stil/index.html,https://sol.sbc.org.br/index.php/stil/issue/archive
Top 10,PROPOR,International Conference on Computational Processing of the Portuguese Language,9,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Computational+Processing+of+the+Portuguese+Language&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/propor/index.html,
Top 20,INTERSPEECH,Conference of the International Speech Communication Association,111,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ssdQ_yPkyjAJ.2024,,,,https://dblp.org/db/conf/interspeech/index.html,
Top 20,SEMEVAL,International Workshop on Semantic Evaluation,41,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_computationallinguistics&view_op=list_hcore&venue=nnrJuCTuhnwJ.2024,,,,https://dblp.org/db/conf/semeval/index.html,
Top 20,RANLP,International Conference on Recent Advances in Natural Language Processing,25,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Y7mlmpXAthkJ.2024,,,,https://dblp.org/db/conf/ranlp/index.html,
Top 20,TSD,"International Conference on Text, Speech and Dialog",16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=wfD8vcltKiQJ.2024,,,,https://dblp.org/db/conf/tsd/index.html,
Top 20,LAW,Linguistic Annotation Workshop,8,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Linguistic+Annotation+Workshop&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/acllaw/index.html,
Top 20,INLG,International Natural Language Generation conference,29,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=WcIBEdCoDl0J.2024,,,,https://dblp.org/db/conf/inlg/index.html,
Top 20,TAC,Text Analysis Conference,3,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Text+Analysis+Conference&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/tac/index.html,
Top 20,CL,Corpus Linguistics Conference,2,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Corpus+Linguistics+Conference&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,,
Top 20,ELC,Encontro de Linguística de Corpus,0,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Encontro+de+Lingu%C3%ADstica+de+Corpus&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,,
Top 20,ONTOBRAS,Seminar on Ontology Research in Brazil,6,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=xUT2Pv_FWpIJ.2024,,,,https://dblp.org/db/conf/ontobras/index.html,
Eventos da Área,AAAI,AAAI Conference on Artificial Intelligence,220,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=PV9sQN5dnPsJ.2024,,,,https://dblp.org/db/conf/aaai/index.html,
Eventos da Área,TREC,Text Retrieval Conference,17,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=NVceRfB9aaoJ.2024,,,,https://dblp.org/db/conf/trec/index.html,
Eventos da Área,SIGDIAL,Annual Meeting of the Special Interest Group on Discourse and Dialogue,31,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_computationallinguistics&view_op=list_hcore&venue=9-0ktENZUpkJ.2024,,,,https://dblp.org/db/conf/sigdial/index.html,
Eventos da Área,IWCS,International Workshop on Computational Semantics,0,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Computational+Semantics&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/iwcs/index.html,
Eventos da Área,IJCAI,International Joint Conference on Artificial Intelligence,136,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=4HxsSu0PUdYJ.2024,,,,https://dblp.org/db/conf/ijcai/index.html,
Eventos da Área,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,103,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Gf4FWVmkfbwJ.2024,,,,https://dblp.org/db/conf/sigir/index.html,
Eventos da Área,CLEF,Conference and Labs of the Evaluation Forum,16,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Conference+and+Labs+of+the+Evaluation+Forum&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/clef/index.html,
Eventos da Área,MICAI,Mexican International Conference on Artificial Intelligence,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=uhZEgJcD4mIJ.2024,,,,https://dblp.org/db/conf/micai/index.html,
Eventos da Área,NLDB,International Conference on Application of Natural Language to Information Systems,18,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=4YrITWKg3KAJ.2024,,,,https://dblp.org/db/conf/nldb/index.html,
Eventos da Área,CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,0,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Intelligent+Text+Processing+and+Computational+Linguistics&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/cicling/index.html,
Eventos da Área,BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=uCHdYLLURp0J.2024,,,,,
Eventos da Área,IBERSPEECH,IberSPEECH Conference,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IberSPEECH+Conference&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,https://dblp.org/db/conf/iberspeech/index.html,
