TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,ICRA,IEEE International Conference on Robotics and Automation,94,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Z88T8Kej-9oJ.2020,,,,,
Top 10,IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,63,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QZ31s4XlF8EJ.2020,,,,,
Top 10,RSS,Robotics: Science and Systems,51,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=jl5pTV5Sh0AJ.2020,,,,,
Top 10,HRI,ACM/IEEE International Conference on Human Robot Interaction,46,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=D6qw-B7Hrk0J.2020,,,,,
Top 10,CoRL,Conference on Robot Learning,33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=kWi-GfxuXpEJ.2020,,,,,
Top 10,Humanoids,IEEE RAS International Conference on Humanoid Robot,33,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=cvOaqvRdsZQJ.2020,,,,,
Top 10,ICUAS,International Conference on Unmanned Aircraft Systems,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=P7JmirE2spgJ.2020,,,,,
Top 10,RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,27,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yHxohuW00noJ.2020,,,,,
Top 10,CASE,IEEE Conference on Automation Science and Engineering,24,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=iJOqTiZA0TgJ.2020,,,,,
Top 10,ICAR,International Conference on Advanced Robotics,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QTCI2sX39qUJ.2020,,,,,
Top 20,ISRR,International Symposium on Robotics Research,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=eX0qXcAClWoJ.2020,,,,,
Top 20,ICORR,IEEE International Conference on Rehabilitation Robotics,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=w8zcF49hRv8J.2020,,,,,
Top 20,ECMR,European Conference on Mobile Robots,19,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=E-Dt3HzExLsJ.2020,,,,,
Top 20,SSRR,"International Symposium on Safety, Security and Rescue Robotics",19,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=in-bLtIuMBYJ.2020,,,,,
