TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,INFOCOM,IEEE International Conference on Computer Communications,80,https://scholar.google.com.br/citations?hl=en&vq=eng_computernetworkswirelesscommunication&view_op=list_hcore&venue=JMgzZsGYu14J.2023,,,,https://dblp.org/db/conf/infocom/index.html,
Top 10,ICC,IEEE International Conference on Communications,76,https://scholar.google.com.br/citations?hl=en&vq=eng_computernetworkswirelesscommunication&view_op=list_hcore&venue=RIbmH16J7yoJ.2023,,,,https://dblp.org/db/conf/icc/index.html,
Top 10,GLOBECOM,IEEE Global Communications Conference,64,https://scholar.google.com.br/citations?hl=en&vq=eng_computernetworkswirelesscommunication&view_op=list_hcore&venue=pZS97tVVUCgJ.2023,,,,https://dblp.org/db/conf/globecom/index.html,
Top 10,NSDI,Networked Systems Design and Implementation,60,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=J92rQU3cJVwJ.2023,,,,https://dblp.org/db/conf/nsdi/index.html,
Top 10,SIGCOMM,ACM SIGCOMM Conference,57,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=xd8jQKOw5ikJ.2023,,,,https://dblp.org/db/conf/sigcomm/index.html,
Top 10,MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,51,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=CYo1GjC2fW8J.2023,,,,https://dblp.org/db/conf/mobicom/index.html,
Top 10,ICDCS,International Conference on Distributed Computing Systems,47,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=CiHz08Ia1nsJ.2023,,,,https://dblp.org/db/conf/icdcs/index.html,
Top 10,IMC,ACM Internet Measurement Conference,45,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Yh-Vy_bHNYMJ.2023,,,,https://dblp.org/db/conf/imc/index.html,
Top 10,MobiSys,"Annual International Conference on Mobile Systems, Applications, and Services",39,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=0mhk3_x__KIJ.2023,,,,https://dblp.org/db/conf/mobisys/index.html,
Top 10,CONEXT,Conference on Emerging Network Experiment and Technology,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=pj0-opwdew8J.2023,,,,https://dblp.org/db/conf/conext/index.html,
Top 20,SenSys,ACM Conference on Embedded Network Sensor Systems,36,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=LThmRgAPtwoJ.2023,,,,https://dblp.org/db/conf/sensys/index.html,
Top 20,PODC,ACM Symposium on Principles of Distributed Computing,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fcioh0Px5iMJ.2023,,,,https://dblp.org/db/conf/podc/index.html,
Top 20,PIMRC,"International Symposium on Personal, Indoor and Mobile Radio Communications",30,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=z284emjTz40J.2023,,,,https://dblp.org/db/conf/pimrc/index.html,
Top 20,ICNC,"International Conference on Computing, Networking and Communications",28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=dHfyvFtXJEcJ.2023,,,,https://dblp.org/db/conf/icnc/index.html,
Top 20,ICNP,International Conference on Network Protocols,27,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uhUmlwFgx3kJ.2023,,,,https://dblp.org/db/conf/icnp/index.html,
Top 20,MOBIHOC,ACM International Symposium on Mobile Ad Hoc Networking and Computing,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Okb8aqGJjLgJ.2023,,,,https://dblp.org/db/conf/mobihoc/index.html,
Top 20,IM,IFIP/IEEE International Symposium on Integrated Network Management,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=_XEusYoPeXgJ.2023,,,,https://dblp.org/db/conf/im/index.html,
Top 20,HOTNETS,ACM Workshop on Hot Topics in Networks,23,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=wWkh60cbs_oJ.2023,,,,https://dblp.org/db/conf/hotnets/index.html,
Top 20,Networking,IFIP Networking Conference,22,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=OK3y4P6IJ9EJ.2023,,,,https://dblp.org/db/conf/networking/index.html,
Top 20,SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=3vnP2ksW2eAJ.2023,,,,https://sol.sbc.org.br/index.php/sbrc,https://dblp.org/db/conf/sbrc/index.html
"Top, mas é jovem",SOSR,Symposium on Software Defined Networking Research,?,?,,,,https://dblp.org/db/conf/sosr/index.html,
"Top, mas não é core",SOSP,ACM Symposium on Operating Systems Principles,?,Não encontrado no Google Scholar,,,,https://dblp.org/db/conf/sosp/index.html,
"Top, mas não é core",WWW,International World Wide Web Conferences,106,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=VtCeQ7ShDloJ.2023,,,,https://dblp.org/db/conf/www/index.html,
"Top, mas não é core",S&P,IEEE Symposium on Security and Privacy,98,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=cyrroHz3a0YJ.2023,,,,https://dblp.org/db/conf/sp/index.html,
"Top, mas não é core",CCS,ACM Symposium on Computer and Communications Security,93,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Pg42P_rbavwJ.2023,,,,https://dblp.org/db/conf/ccs/index.html,
"Top, mas não é core",USENIX Security,USENIX Security Symposium,92,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HSHJIaLyN9IJ.2023,,,,https://dblp.org/db/conf/uss/index.html,
"Top, mas não é core",NDSS,Network and Distributed System Security Symposium,78,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=q2FcImd5qbgJ.2023,,,,https://dblp.org/db/conf/ndss/index.html,
"Top, mas não é core",ATC,USENIX Annual Technical Conference,59,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UoM6MOnWKE8J.2023,,,,https://dblp.org/db/conf/atc/index.html,
"Top, mas não é core",ITSC,IEEE ITSC Intelligent Transportation Systems Conference,58,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=F_tKvHBbkU8J.2023,,,,https://dblp.org/db/conf/itsc/index.html,
"Top, mas não é core",OSDI,USENIX Symposium on Operating Systems Design and Implementation,55,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=nZZ8G3Einp0J.2023,,,,https://dblp.org/db/conf/osdi/index.html,
"Top, mas não é core",EUROSYS,European Conference on Computer Systems,47,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=8LhhnAnPYO8J.2023,,,,https://dblp.org/db/conf/eurosys/index.html,
"Top, mas não é core",VTC,Vehicular Technology Conference,45,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Y0aL1yWCdxkJ.2023,,,,https://dblp.org/db/conf/vtc/index.html,
"Top, mas não é core",SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,40,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=J5PknEi03ZcJ.2023,,,,https://dblp.org/db/conf/sigmetrics/index.html,
"Top, mas não é core",IPDPS,IEEE International Parallel & Distributed Processing Symposium,38,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Cge5_JoKLicJ.2023,,,,https://dblp.org/db/conf/ipdps/index.html,
"Top, mas não é core",DSN,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,37,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=MVYbyyKMpToJ.2023,,,,https://dblp.org/db/conf/dsn/index.html,
"Top, mas não é core",ACMSOCC,ACM Symposium on Cloud Computing,35,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o1durVJyeP4J.2023,,,,https://dblp.org/db/conf/cloud/index.html,
"Top, mas não é core",IEEECLOUD,IEEE International Conference on Cloud Computing,34,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ioohKoS5imcJ.2023,,,,https://dblp.org/db/conf/ieeecloud/index.html,
"Top, mas não é core",BLOCKCHAIN,IEEE International Conference on Blockchain,34,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=DGN3r9u7HNQJ.2023,,,,https://dblp.org/db/conf/blockchain2/index.html,
"Top, mas não é core",MMSYS,ACM Multimedia Systems Conference,33,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=iRTf4ImdsEQJ.2023,,,,https://dblp.org/db/conf/mmsys/index.html,
"Top, mas não é core",UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing,31,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=K6EHRjh8bWIJ.2023,,,,https://dblp.org/db/conf/huc/index.html,
