TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,VR,IEEE Virtual Reality Conference,48,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=muc8DCDEiWcJ.2024,,,IEEE Conference on Virtual Reality and 3D User Interfaces,https://dblp.org/db/conf/vr/index.html,
Top 10,ISMAR,IEEE International Symposium on Mixed and Augmented Reality,35,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=saKKhfQeF-MJ.2024,,,International Symposium on Mixed and Augmented Reality,https://dblp.org/db/conf/ismar/index.html,
Top 10,AH,Augmented Human International Conference,20,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=HqiGvACsawYJ.2024,,,,https://dblp.org/db/conf/aughuman/index.html,
Top 10,VRST,ACM Symposium on Virtual Reality Software and Technology,26,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=QFdzrecfz8sJ.2024,,,ACM Virtual Reality Software and Technology,https://dblp.org/db/conf/vrst/index.html,
Top 10,VRCAI,International Conference on Virtual Reality Continuum and its Applications,16,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_ClHVElQWS8J.2024,,International Conference on Virtual Reality Continuum and its Applications in Industry,,https://dblp.org/db/conf/vrcai/index.html,
Top 10,SVR,Symposium on Virtual and Augmented Reality,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Y15SCgN8Um8J.2024,,,,,
Top 10,SUI,Symposium on Spatial User Interaction,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=pUIVy52VbeEJ.2024,,,,https://dblp.org/db/conf/sui/index.html,
Top 10,UIST,ACM Symposium on User Interface Software and Technology,51,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=vl9z3BzoXrgJ.2024,,,,https://dblp.org/db/conf/uist/index.html,
Top 10,HAPTICS,IEEE Haptics Symposium,21,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=EuroHaptics&btnG=,,,World Haptics Conference (WHC),https://dblp.org/db/conf/haptics/index.html,
Top 10,Web3D,International Conference on 3D Web Technology,10,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=AI-4Soe4vNMJ.2024,,,,https://dblp.org/db/conf/vrml/index.html,
Top 20,EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=ACM+SIGCHI+Symposium+on+Engineering+Interactive+Computing+Systems&btnG=,,,,https://dblp.org/db/conf/eics/index.html,
Top 20,GI,Graphics Interface Conference,15,Não encontrado em 2024 - último em 2018,,,,"https://dblp.org/db/conf/graphicsinterface/index.html
",
Top 20,I3D,Symposium on Interactive 3D Graphics,15,Não encontrado em 2024 - último em 2021,SI3D,,,https://dblp.org/db/conf/si3d/index.html,
Top 20,AVI,Working Conference on Advanced Visual Interfaces,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Advanced+Visual+Interfaces&btnG=,,,,https://dblp.org/db/conf/avi/index.html,
Top 20,LDAV,IEEE Symposium on Large Data Analysis and Visualization,13,Não encontrado em 2024 - último em 2018,,,,https://dblp.org/db/conf/ldav/index.html,
Top 20,EuroHaptics,EuroHaptics,15,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=G77T8N63lDIJ.2023,,,,https://dblp.org/db/conf/eurohaptics/index.html,
Top 20,ISS,ACM Interactive Surfaces and Spaces,14,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=js1p_d4DBXkJ.2024,,,,https://dblp.org/db/conf/tabletop/index.html,
Top 20,VISAPP,International Conference on Computer Vision Theory and Applications,31,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ljGmmUmHfUwJ.2024,,,,,
Top 20,GRAPP,International Conference on Computer Graphics Theory and Applications,10,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ulaSNA5ZgjEJ.2024,,,,https://dblp.org/db/conf/grapp/index.html,
Top 20,AIxVR,IEEE International Conference on Artificial Intelligence & eXtended and Virtual Reality,,Não encontrado em 2024 - evento recente,,,IEEE AIVR,https://dblp.org/db/conf/aivr/index.html,
Eventos da Área,VMV,"International Symposium on Vision, Modeling and Visualization",1,Calculado com h-index calculator 2020-2024,,,,https://dblp.org/db/conf/vmv/index.html,
Eventos da Área,CSCW,ACM Conference on Computer-Supported Cooperative Work & Social Computing,24,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_humancomputerinteraction&view_op=list_hcore&venue=kXowlNFROIgJ.2024,,,,,
Eventos da Área,IVAPP,International Conference on Information Visualization Theory and Applications,3,Calculado com h-index calculator 2020-2024,,,,https://dblp.org/db/conf/ivapp/index.html,
Eventos da Área,RSS,Robotics: Science and Systems,66,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=jl5pTV5Sh0AJ.2024,,,,https://dblp.org/db/conf/rss/index.html,
Eventos da Área,CVPRW,IEEE Conference on Computer Vision and Pattern Recognition Workshops,115,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ihIDe6biV1gJ.2024,,,,Workshops of CVPR (does not have dblp),
Eventos da Área,BMVC,British Machine Vision Conference,65,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=T_DfB2ikUbwJ.2024,,,,https://dblp.org/db/conf/bmvc/index.html,
