TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,CSCW,CSCW - ACM Conference on Computer Supported Cooperative Work & Social Computing,23,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Conference+on+Computer+Supported+Cooperative+Work+%26+Social+Computing&btnG=,,,,,
Top 10,CHI,CHI - ACM Conference on Human Factors in Computing Systems,122,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=%C2%A0CHI&btnG=,,,,,
Top 10,GROUP,GROUP - International Conference on Supporting Group Work,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=+International+Conference+on+Supporting+Group+Work&btnG=,,,,,
Top 10,ECSCW,ECSCW - European Conference on Computer Supported Cooperative Work (https://dblp.org/db/conf/ecscw/index.html),11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=ECSCW&btnG=,,,,,
Top 10,CSCL,CSCL - International Conference on Computer Supported Collaborative Learning,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=+International+Conference+on+Computer+Supported+Collaborative+Learning&btnG=,,,,,
Top 10,CSCWD,CSCWD - IEEE International Conference on Computer Supported Cooperative Work in Design,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=CSCWD&btnG=,,,,,
Top 10,IEEE SMC,"IEEE International Conference on Systems, Man and Cybernetics",32,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=IEEE+Conference+Systems+Man+Cybernetic&btnG=,,,,,
Top 10,ICWSM,International Conference on Web and Social Media (ICWSM),59,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=icwsm&btnG=,,,,,
Top 10,C&T,International Conference on Communities and Technologies,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Communities+and+Technologies&btnG=,,,,,
Top 10,SBSC,SBSC - Simpósio Brasileiro de Sistemas Colaborativos,,,,,,,https://sol.sbc.org.br/index.php/sbsc
Top 20,IHC,IHC - Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=jyopF_8JEZIJ.2024,,,,,
Top 20,CHASE,CHASE - International Workshop on Cooperative and Human Aspects of Software Engineering,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=International+Workshop+on+Cooperative+and+Human+Aspects+of+Software+Engineering&btnG=,,,,,
Top 20,HCOMP,AAAI Conference on Human Computation and Crowdsourcing,22,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=AAAI+Conference+on+Human+Computation+and+Crowdsourcing&btnG=,,,,,
Top 20,CIC,ACM International Conference on Collaboration and Internet Computing,15,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=International+Conference+on+Collaboration+and+Internet+Computing+%28CIC%29&btnG=,,,,,
Top 20,HICSS,Hawaii International Conference on System Sciences,59,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Hawaii+International+Conference+on+System+Sciences&btnG=,,,,,
Top 20,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom)",8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=collaboratecom&btnG=,,,,,
Top 20,CDVE,"CDVE - International Conference on Cooperative Design, Visualization, and Engineering",7,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Cooperative+Design%2C+Visualization%2C+and+Engineering&btnG=,,,,,
Top 20,INCOS,INCOS - International Conference on Intelligent Networking and Collaborative Systems,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=+International+Conference+on+Intelligent+Networking+and+Collaborative+Systems&btnG=,,,,,
Top 20,OpenSym,International Symposium on Open Collaboration,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=International+Symposium+on+Open+Collaboration&btnG=,,,,,
Top 20,TEI,"International Conference on Tangible, Embedded, and Embodied Interaction",27,https://scholar.google.com.br/citations?hl=pt-BR&view_op=search_venues&vq=Tangible&btnG=,,,,,
Eventos da Área,ISLS,International Conference on Computer Supported Collaborative Learning,12,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=International+Conference+on+Computer+Supported+Collaborative+Learning&btnG=,,,,,
Eventos da Área,CLIHC,Latin American Conference on Human Computer Interaction,7,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=%09Latin+American+Conference+on+Human+Computer+Interaction&btnG=,,,,,
Eventos da Área,WETICE,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=kYDZP1q0-MAJ.2020,,,,,
Eventos da Área,BESC, International Conference on Behavioural and Social Computing,8,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=%09International+Conference+on+Behavioural+and+Social+Computing&btnG=,,,,,
Eventos da Área,ICT4D,International Conference on Social Implications of Computers in Developing Countries,16,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=International+Conference+on+Social+Implications+of+Computers+in+Developing+Countries&btnG=,,,,,
Eventos da Área,WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",,,,,,,https://sol.sbc.org.br/index.php/washes
