TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,S&P,IEEE Symposium on Security and Privacy,112,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=cyrroHz3a0YJ.2024,,,,https://dblp.org/db/conf/sp/index.html,
Top 10,USENIX Security,USENIX Security Symposium,106,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=HSHJIaLyN9IJ.2024,,,,https://dblp.org/db/conf/uss/index.html,
Top 10,ACM CCS,ACM Symposium on Computer and Communications Security,92,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Pg42P_rbavwJ.2024,CCS,,,https://dblp.org/db/conf/ccs/index.html,
Top 10,NDSS,Network and Distributed System Security Symposium,73,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=q2FcImd5qbgJ.2024,,,,https://dblp.org/db/conf/ndss/index.html,
Top 10,EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,63,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fsZsNTm7Eh8J.2024,,,,https://dblp.org/db/conf/eurocrypt/index.html,
Top 10,CRYPTO,International Cryptology Conference,61,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nqcB6RwzhMQJ.2024,,,,https://dblp.org/db/conf/crypto/index.html,
Top 10,FC,International Conference on Financial Cryptography and Data Security,47,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=gVeDacK3aQwJ.2024,,,,https://dblp.org/db/conf/fc/index.html,
Top 10,EuroS&P,IEEE European Symposium on Security and Privacy,47,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=GoSvm-d8gKoJ.2024,,,,,
Top 10,ASIACRYPT,International Conference on The Theory and Application of Cryptology and Information Security,46,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=hxrvQsnJSDMJ.2024,,Annual International Conference on the Theory and Applications of Cryptology and Information Security,,https://dblp.org/db/conf/asiacrypt/index.html,
Top 10,ASIACCS,"ACM Symposium on Information, Computer and Communications Security",39,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=3VLtGPwkq54J.2024,,"ACM ASIA Symposium on Information, Computer and Communications Security",,https://dblp.org/db/conf/asiaccs/index.html,
Top 20,SOUPS,Symposium On Usable Privacy and Security,38,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=d6VxAyLWqWgJ.2024,,,,https://dblp.org/db/conf/soups/index.html,
Top 20,ACSAC,Computer Security Applications Conference,36,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=88oopSfS28MJ.2024,,,,https://dblp.org/db/conf/acsac/index.html,
Top 20,PKC,International Conference on Practice and Theory in Public Key Cryptography,35,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6gqvYwOFvq0J.2024,,,,https://dblp.org/db/conf/pkc/index.html,
Top 20,ARES,"International Conference on Availability, Reliability and Security",34,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=GIrj2BSjfiwJ.2024,,,,https://dblp.org/db/conf/IEEEares/index.html,
Top 20,CSF,IEEE Computer Security Foundations Symposium,32,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=5Sz4yUnI16AJ.2020 (https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=IEEE+Computer+Security+Foundations+Symposium&btnG=),,,,https://dblp.org/db/conf/csfw/index.html,
Top 20,TCC,Theory of Cryptography,31,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JP81m6yJpiEJ.2024,,,,https://dblp.org/db/conf/tcc/index.html,
Top 20,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",29,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=eMr22KXtlXcJ.2024,,"International Conference on Trust, Security and Privacy in Computing and Communications",,https://dblp.org/db/conf/trustcom/index.html,
Top 20,ACNS,Applied Cryptography and Network Security,28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=uX6tRrNG0lQJ.2024,,,,https://dblp.org/db/conf/acns/index.html,
Top 20,PETS,Proceedings on Privacy Enhancing Technologies,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JXbjzvN-escJ.2020 (https://scholar.google.es/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=%22Privacy+Enhancing+Technologies+Symposium%22&btnG=),,Privacy Enhancing Technologies Symposium,,https://dblp.org/db/journals/popets/index.html,
Top 20,SBSeg,Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,4,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Dsyl66B8iM0J.2024. O SBSeg é o principal evento de Segurança da informação e Sistemas Computacionais do país.,,Simpósio Brasileiro de Cibersegurança ,,,https://sol.sbc.org.br/index.php/sbseg
Eventos da Área,Blockchain,IEEE International Conference on Blockchain,42,https://scholar.google.es/citations?hl=en&view_op=list_hcore&venue=DGN3r9u7HNQJ.2024,,,,,
Eventos da Área,ICBC,IEEE International Conference on Blockchain and Cryptocurrency,39,https://scholar.google.es/citations?hl=en&view_op=list_hcore&venue=Hh3XGFymILkJ.2024,,,,,
Eventos da Área,RAID,"International Symposium on Research in Attacks, Intrusions, and Defenses",28,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=826ERjda8dUJ.2024,,,,https://dblp.org/db/conf/raid/index.html,
Eventos da Área,WISEC,Wireless Network Security,26,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JDO_KUA4CYMJ.2024,,ACM Conference on Security & Privacy in Wireless and Mobile Networks,,https://dblp.org/db/conf/wisec/index.html,
Eventos da Área,HOST,IEEE International Symposium on Hardware-Oriented Security and Trust,25,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=_3T_r4GbfNcJ.2024,,IEEE International Symposium on Hardware Oriented Security and Trust,,https://dblp.org/db/conf/host/index.html,
Eventos da Área,CNS,IEEE Conference on Communications and Network Security,24,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=nZuTYevUj1wJ.2024,,,,https://dblp.org/db/conf/cns/index.html,
Eventos da Área,CODASPY,ACM Conference on Data and Application Security and Privacy,23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=LWRwHw7mGBMJ.2024,,,,https://dblp.org/db/conf/codaspy/index.html,
Eventos da Área,SAC,International Conference on Selected Areas in Cryptography,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=8C-rTF6UiesJ.2024,SACRYPT,International Conference on Selected Areas in Cryptography,,https://dblp.org/db/conf/sacrypt/index.html,
Eventos da Área,WIFS,IEEE International Workshop on Information Forensics and Security,21,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=mvVvdS_cvHIJ.2024,,IEEE Workshop on Information Forensics and Security,,https://dblp.org/db/conf/wifs/index.html,
Eventos da Área,SAFECOMP,"International Conference on Computer Safety, Reliability, and Security",20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fWfpTei59DsJ.2024,,,,https://dblp.org/db/conf/safecomp/index.html,
Eventos da Área,NTMS,"IFIP International Conference on New Technologies, Mobility and Security",18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BJDMFlAVW-cJ.2024,,,,https://dblp.org/db/conf/ntms/index.html,
Eventos da Área,SEC,IFIP TC 11 International Conference on ICT Systems Security and Privacy Protection (IFIP SEC),18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=pMNODcGxo4cJ.2024,,International Conference on ICT Systems Security and Privacy Protection,,https://dblp.org/db/conf/sec/index.html,
Eventos da Área,CANS,Cryptology and Network Security,17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=q7kWOn3QmqYJ.2024,,International Conference on Cryptology and Network Security,,https://dblp.org/db/conf/cans/index.html,
Eventos da Área,INDOCRYPT,International Conference on Cryptology in India,17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=NQGo0SktmDsJ.2024,,,,https://dblp.org/db/conf/indocrypt/index.html,
Eventos da Área,ACISP,Australasian Conference on Information Security and Privacy,17,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=o0S2wIvNbXEJ.2024,,,,https://dblp.org/db/conf/acisp/index.html,
Eventos da Área,SACMAT,ACM Symposium on Access Control Models and Technologies,16,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=9DZYftdOCUAJ.2024,,,,https://dblp.org/db/conf/sacmat/index.html,
Eventos da Área,ICICS,International Conference on Information and Communications Security,16,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=PlU5605zcRkJ.2024,,,,https://dblp.org/db/conf/icics/index.html,
Eventos da Área,PST,"Conference on Privacy, Security and Trust",15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=xoT0NbWIf-kJ.2024,,"International Conference on Privacy, Security and Trust",,https://dblp.org/db/conf/pst/index.html,
Eventos da Área,DBSec,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=t9ttKFRoPtkJ.2024,,,,https://dblp.org/db/conf/dbsec/index.html,
Eventos da Área,NSS,Network and System Security,15,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=mDgNlZgOboEJ.2024,,,,https://dblp.org/db/conf/nss/index.html,
Eventos da Área,CHES,Workshop on Cryptographic Hardware and Embedded Systems,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=fxQZq2l4GcMJ.2019   (https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=%22Conference+on+Cryptographic+Hardware+and+Embedded+Systems%22&btnG=),,Conference on Cryptographic Hardware and Embedded Systems,,https://dblp.org/db/conf/ches/index.html,
Eventos da Área,ISC,International Conference on Information Security,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Vnq3DIsft2YJ.2024,,International Supercomputing Conference,,https://dblp.org/db/conf/isw/index.html,
Eventos da Área,WPES,Annual ACM workshop on Privacy in the electronic society,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=pUbmTvcLFnQJ.2023 (https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&q=%22Annual+ACM+workshop+on+Privacy+in+the+electronic+society%22&btnG=),,,,https://dblp.org/db/conf/wpes/index.html,
