TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,ECIS,European Conference on Information Systems,39,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=dF8xpB0_PnwJ.2024,,,,https://dblp.org/db/conf/ecis/index.html,
Top 10,ICIS,International Conference on Information Systems,39,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=hL4tvEz50McJ.2024,,,,https://dblp.org/db/conf/icis/index.html,
Top 10,AMCIS,Americas Conference on Information Systems,29,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=Z7jeczV8wooJ.2024,,,,https://dblp.org/db/conf/amcis/index.html,
Top 10,BPM,International Conference on Business Process Management,27,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=0N6unYCR7HoJ.2024,,,,https://dblp.org/db/conf/bpm/index.html,
Top 10,CAiSE,International Conference on Advanced Information Systems Engineering,27,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=5PSS5xHm_KwJ.2024,,,,https://dblp.org/db/conf/caise/index.html,
Top 10,SoSE,IEEE International Conference on Systems of Systems Engineering,18,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=TThVqfDwD3QJ.2024,,,,https://dblp.org/db/conf/sysose/index.html,
Top 10,EGOV,International Conference on Electronic Government,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UF-KqO2gwjoJ.2024,,,IFIP WG 8.5 International Conference on Electronic Government,https://dblp.org/db/conf/egov/index.html,
Top 10,SBSI,Simpósio Brasileiro de Sistemas de Informação,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Uj60OIiJKkQJ.2024,,,Brazilian Symposium on Information Systems (SBSI),https://dblp.org/db/conf/sbsi/index.html,https://sol.sbc.org.br/index.php/sbsi/issue/archive
Top 10,BraSNAM,Brazilian Workshop on Social Network Analysis and Mining,8,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=uCHdYLLURp0J.2024,,,Workshop Brasileiro de Análise de Redes Sociais e Mineração (BraSNAM),,https://sol.sbc.org.br/index.php/brasnam
Top 10,WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",6,https://scholar.google.com/scholar?q=Workshop+sobre+Aspectos+Sociais%2C+Humanos+e+Econ%C3%B4micos+de+Software&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,,https://sol.sbc.org.br/index.php/washes/issue/archive
Top 20,SMC,"IEEE International Conference on Systems, Man and Cybernetics",32,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=qJlcVei6YeoJ.2024,,,"IEEE International Conference on Systems, Man, and Cybernetics",https://dblp.org/db/conf/smc/index.html,
Top 20,DG.O,Annual International Conference on Digital Government Research,27,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=109OuuD55eYJ.2024,,,,https://dblp.org/db/conf/dgo/index.html,
Top 20,CBI,IEEE Conference on Business Informatics,21,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=EBKFsSXXhfYJ.2024,,,,https://dblp.org/db/conf/cbi/index.html,
Top 20,ICEIS,International Conference on Enterprise Information Systems,20,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=zsGWp1QJr3AJ.2024,,,,https://dblp.org/db/conf/iceis/index.html,
Top 20,WISE,International Conference on Web Information Systems Engineering,17,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=K9DmX5xQU-YJ.2024,,,,https://dblp.org/db/conf/wise/index.html,
Top 20,IIWAS,International Conference on Information Integration and Web-based Applications & Services,15,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=Tq_VLYZkpzwJ.2024 ,,,International Conference on Information Integration and Web Intelligence,https://dblp.org/db/conf/iiwas/index.html,
Top 20,ADBIS,European Conference on Advances in Databases and Information Systems,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=pEYfHFCSslcJ.2024,,,,https://dblp.org/db/conf/adbis/index.html,
Top 20,WEBIST,International Conference on Web Information Systems and Technologies,12,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=0oQi0-PzQ8sJ.2024,,,,https://dblp.org/db/conf/webist/index.html,
Top 20,ITNG,International Conference on Information Technology - New Generations,12,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=n4KqZc83JT0J.2024,,,,https://dblp.org/db/conf/itng/index.html,
Top 20,EATIS,Euro American Conference on Telematics and Information Systems,6,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=as1viggupKQJ.2024,,,,https://dblp.org/db/conf/eatis/index.html,
Top 20,AE-SBSI,Anais Estendidos do Simpósio Brasileiro de Sistemas de Informação,5,https://scholar.google.com/scholar?q=source%3AAnais+source%3AEstendidos+source%3Ado+source%3ASimp%C3%B3sio+source%3ABrasileiro+source%3Ade+source%3ASistemas+source%3Ade+source%3AInforma%C3%A7%C3%A3o+&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,,https://sol.sbc.org.br/index.php/sbsi_estendido/issue/archive
Eventos da Área,WSDM,ACM Conference International Conference on Web Search and Data Mining,75,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=6AbX1YWluE4J.2024,,,,https://dblp.org/db/conf/wsdm/index.html,
Eventos da Área,CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,23,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=kXowlNFROIgJ.2024,,,,https://dblp.org/db/conf/cscw/index.html,
Eventos da Área,HT,ACM Conference on Hypertext and Hypermedia,20,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=U4LFuNlM8GMJ.2024,,ACM Conference on Hypertext and Social Media,,https://dblp.org/db/conf/ht/index.html,
Eventos da Área,RECSYS,ACM Conference on Recommender Systems,49,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=4-w_STT7RmEJ.2024,,,,https://dblp.org/db/conf/recsys/index.html,
Eventos da Área,CIKM,ACM International Conference on Information and Knowledge Management,79,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=V-IMg2OTpU8J.2024,,,,https://dblp.org/db/conf/cikm/index.html,
Eventos da Área,SAC,ACM Symposium on Applied Computing,36,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=eLhWa3qzEDsJ.2024,,,,https://dblp.org/db/conf/sac/index.html,
Eventos da Área,SoCC,ACM Symposium on Cloud Computing,35,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=o1durVJyeP4J.2024,,,,https://dblp.org/db/conf/cloud/index.html,
Eventos da Área,COGSCI,Annual Meeting of the Cognitive Science Society,32,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=e23jKy7NXr8J.2024,,,,https://dblp.org/db/conf/cogsci/index.html,
Eventos da Área,ACIS,Australasian Conference on Information Systems,14,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=HnFLZaxAg88J.2024,,,,https://dblp.org/db/conf/acis/index.html,
Eventos da Área,CoNLL,Conference on Computational Natural Language Learning,43,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=H7TUtVM_vm4J.2024,,,,https://dblp.org/db/conf/conll/index.html,
Eventos da Área,EMNLP,Conference on Empirical Methods in Natural Language Processing,176,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=LqrQjvOguiMJ.2024,,,,https://dblp.org/db/conf/emnlp/index.html,
Eventos da Área,CENTERIS,Conference on ENTERprise Information Systems,11,"https://scholar.google.com/scholar?q=%22Conference+on+ENTERprise+Information+Systems+(CENTERIS)%22&hl=pt-BR&as_sdt=0,5&as_ylo=2020&as_yhi=2024",,,International Conference on Enterprise Information Systems,https://dblp.org/db/conf/centeris/index.html,
Eventos da Área,HCOMP,Conference on Human Computation and Crowdsourcing,7,"https://scholar.google.com.br/scholar?q=%22AAAI+Conference+on+Human+Computation+and+Crowdsourcing%22&hl=pt-PT&as_sdt=0,5&as_ylo=2020&as_yhi=2024",,,AAAI Conference on Human Computation & Crowdsourcing,https://dblp.org/db/conf/hcomp/index.html,
Eventos da Área,CLEI,Conferencia Latinoamericana de Informática / Conferencia Latinoamericana En Informatica,11,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=ThEGj_a76ZUJ.2024,,,Latin American Computing Conference,https://dblp.org/db/conf/clei/index.html,
Eventos da Área,CBS,Congresso Brasileiro de Sistemas,3,https://scholar.google.com.br/scholar?q=%22Congresso+Brasileiro+de+Sistemas%22&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,,
Eventos da Área,DH,Digital Heritage,10,https://scholar.google.com.br/scholar?q=source%3ADigital+source%3AHeritage&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,Digital Heritage International Congress,https://dblp.org/db/conf/dh/index.html,
Eventos da Área,EGOVIS,Electronic Government and the Information Systems Perspective,7,"https://scholar.google.com/scholar?q=%22Electronic+Government+and+the+Information+Systems+Perspective%22&hl=pt-BR&as_sdt=0,5&as_ylo=2020&as_yhi=2024",,,,https://dblp.org/db/conf/egovis/index.html,
Eventos da Área,ENANPAD,Encontro da Associação Nacional de Pós-Graduação e Pesquisa em Administração,4,https://scholar.google.com.br/scholar?q=source%3AEncontro+source%3Ada+source%3AAssocia%C3%A7%C3%A3o+source%3ANacional+source%3Ade+source%3AP%C3%B3s-Gradua%C3%A7%C3%A3o+source%3Ae+source%3APesquisa+source%3Aem+source%3AAdministra%C3%A7%C3%A3o&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,,
Eventos da Área,EDOC,"Enterprise Design, Operations and Computing",21,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=HYNXXKncPYAJ.2024,,,International IEEE Enterprise Distributed Object Computing Conference,https://dblp.org/db/conf/edoc/index.html,
