TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,DISC,International Symposium on DIStributed Computing,22,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=I09_2V3FJhwJ.2024,,,,https://dblp.org/db/conf/wdag/index.html,
Top 10,DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,37,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=MVYbyyKMpToJ.2024,,,,https://dblp.org/db/conf/dsn/index.html,
Top 10,EuroSys,ACM European Conference on Computer Systems,48,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=8LhhnAnPYO8J.2024,,,,https://dblp.org/db/conf/eurosys/index.html,
Top 10,ICDCS,IEEE International Conference on Distributed Computing Systems,48,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=CiHz08Ia1nsJ.2024,,,,https://dblp.org/db/conf/icdcs/index.html,
Top 10,IPDPS,IEEE International Symposium on Parallel & Distributed Processing,38,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Cge5_JoKLicJ.2024,,,,https://dblp.org/db/conf/ipps/index.html,
Top 10,ISSRE,International Symposium on Software Reliability Engineering,28,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=xJhIFxijeG8J.2024,,,,https://dblp.org/db/conf/issre/index.html,
Top 10,MIDDLEWARE,ACM/IFIP International Middleware Conference,22,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NA4iP0Rm0toJ.2024,,,,https://dblp.org/db/conf/middleware/index.html,
Top 10,PODC,ACM Symposium on Principles of Distributed Computing,30,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=fcioh0Px5iMJ.2024,,,,https://dblp.org/db/conf/podc/index.html,
Top 10,SafeComp,"International Conference on Computer Safety, Reliability and Security ",20,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=fWfpTei59DsJ.2024,,,,https://dblp.org/db/conf/safecomp/index.html,
Top 10,SRDS,IEEE Symposium on Reliable Distributed Systems,18,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=f5ybybsCQdkJ.2024,,,,https://dblp.org/db/conf/srds/index.html,
Top 20,DFT,IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems,15,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=y53zu2cNqqkJ.2018,,,,https://dblp.org/db/conf/dft/index.html,
Top 20,EDCC,European Dependable Computing Conference,14,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=YcdY4WsTx_sJ.2024,,,,https://dblp.org/db/conf/edcc/index.html,
Top 20,HASE,IEEE High Assurance Systems Engineering Symposium,15,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=EhHHXze7CIMJ.2021,,,,https://dblp.org/db/conf/hase/index.html,
Top 20,ICDCN,International Conference on Distributed Computing and Networking,13,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=6yOnSpL6IYsJ.2024,,,,https://dblp.org/db/conf/icdcn/index.html,
Top 20,ISCC,IEEE Symposium on Computers and Communications,26,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=0jK8bHjCH68J.2024,,,,https://dblp.org/db/conf/iscc/index.html,
Top 20,LADC,Latin-American Symposium on Dependable Computing,14,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin-American+Symposium+on+Dependable+Computing&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C5,LADC,Latin-American Symposium on Dependable and Secure Computing,,https://dblp.org/db/conf/ladc/index.html,https://sol.sbc.org.br/index.php/ladc
Top 20,OPODIS,International Conference on Principles of Distributed Systems,18,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=0luRC0xHVlsJ.2024,,,,https://dblp.org/db/conf/opodis/index.html,
Top 20,PRDC,Pacific Rim International Symposium on Dependable Computing,13,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=UMMGw1KV79IJ.2024,,,,https://dblp.org/db/conf/prdc/index.html,
Top 20,SAST,Brazilian Symposium on Systematic and Automated Software Testing,12,via plugin do google - pesquisei de todo o período,,,,https://dblp.org/db/conf/sast/index.html,https://sol.sbc.org.br/index.php/sast
Top 20,SYSTOL,Conference on Control and Fault-Tolerant Systems,9,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=y8-AwXJ0Me0J.2024,,,,https://dblp.org/db/conf/systol/index.html,
Eventos da Área,AINA,IEEE International Conference on Advanced Information Networking and Applications,21,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=FBp6ksxIdQYJ.2024,,,,https://dblp.org/db/conf/aina/index.html,
Eventos da Área,DEPCOS,International Conference on Dependability of Computer Systems,9,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Dependability+of+Computer+Systems&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C5,,,,https://dblp.org/db/conf/depcos/index.html,
Eventos da Área,DSNW,IEEE International Conference on Dependable Systems and Networks Workshops,25,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE+International+Conference+on+Dependable+Systems+and+Networks+Workshops&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C5,,,,https://dblp.org/db/conf/dsn/dsn2024w.html,
Eventos da Área,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,12,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=SrrjCUAZeRcJ.2024,,,,https://dblp.org/db/conf/ica3pp/index.html,
Eventos da Área,ICDCSW,International Conference on Distributed Computing Systems Workshops,14,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=iYMCTRkCEn4J.2019,,,,https://dblp.org/db/conf/icdcs/icdcs2024w.html,
Eventos da Área,ICPADS,IEEE International Conference on Parallel and Distributed Systems,21,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=J2WvLRIhE6UJ.2024,,,,https://dblp.org/rec/conf/icpads/2010.html,
Eventos da Área,ICPP,International Conference on Parallel Processing,11,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=x2Xq7JEL5msJ.2024,,,,https://dblp.org/db/conf/icpp/index.html,
