TOP,SIGLA,NOME,H5,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Top 10,Hypertext,ACM Conference on Hypertext and Hypermedia,22,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=U4LFuNlM8GMJ.2024,HT,ACM Conference on Hypertext and Social Media,,https://dblp.org/db/conf/ht/index.html,
Top 10,RecSys,ACM Conference on Recommender Systems,53,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=4-w_STT7RmEJ.2024,,,,https://dblp.org/db/conf/recsys/index.html,
Top 10,ACM IMX,ACM International Conference on Interactive Media Experiences,15,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=DSB1DhJ431MJ.2024,,,,https://dblp.org/db/conf/tvx/index.html,
Top 10,ICMR,ACM International Conference on Multimedia Retrieval,34,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=_3Q9NfFmueMJ.2024,,,,https://dblp.org/db/conf/mir/index.html,
Top 10,WSDM,ACM International Conference on Web Search and Data Mining,75,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=6AbX1YWluE4J.2023,,,,https://dblp.org/db/conf/wsdm/index.html,
Top 10,MM,ACM Multimedia Conference,101,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=vKMrxyJUpv0J.2024,,,,https://dblp.org/db/conf/mm/index.html,
Top 10,MMSys,ACM Multimedia Systems Conference,28,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=iRTf4ImdsEQJ.2024,,,,https://dblp.org/db/conf/mmsys/index.html,
Top 10,WebMedia,Brazilian Symposium on Multimedia and Web,13,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=EL-07Zfxn_kJ.2024,,,,https://dblp.org/db/conf/webmedia/index.html,https://sol.sbc.org.br/index.php/webmedia
Top 10,ICME,International Conference on Multimedia and Expo,46,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=xYXdFLRJbCMJ.2024,,,,https://dblp.org/db/conf/icmcs/index.html,
Top 10,WWW,International World Wide Web Conferences,112,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=VtCeQ7ShDloJ.2024,,The ACM Web Conference,,https://dblp.org/db/conf/www/index.html,
Top 20,CSCW,ACM Conference on Computer-Supported Cooperative Work & Social Computing,24,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=kXowlNFROIgJ.2024,,,,https://dblp.org/db/conf/cscw/index.html,
Top 20,BraSNAM,Brazilian Workshop on Social Network Analysis and Mining,8,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=uCHdYLLURp0J.2024,,,,,https://sol.sbc.org.br/index.php/brasnam
Top 20,ESWS,Extended Semantic Web Conference,32,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=mf0MeYwvqwoJ.2024,,,,https://dblp.org/db/conf/esws/index.html,
Top 20,ICWE,International Conference on Web Engineering,15,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=I8L8xmsrq2EJ.2024,,,,https://dblp.org/db/conf/icwe/index.html,
Top 20,ICWS,International Conference on Web Services,26,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=UYzshLpmx2EJ.2024,,,,https://dblp.org/db/conf/icws/index.html,
Top 20,Web4All,International Web for All Conference,16,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Web+for+All+Conference&as_ylo=2020&as_yhi=2024&hl=pt-BR&as_sdt=0%2C5,,,,,
Top 20,QoMEX,International Workshop on Quality of Multimedia Experience,24,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=bEDbANOodwgJ.2024,,,,https://dblp.org/db/conf/qomex/index.html,
Top 20,MMM,International Conference on Multimedia Modelling,26,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=Yk_rZmw8Ul4J.2024,,,,https://dblp.org/db/conf/mmm/index.html,
Top 20,Ubicomp,Pervasive and Ubiquitous Computing,27,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=K6EHRjh8bWIJ.2024,,ACM Conference on Pervasive and Ubiquitous Computing,,https://dblp.org/db/conf/huc/index.html,
Top 20,WISE,Web Information Systems Engineering,18,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=K9DmX5xQU-YJ.2024,,,,https://dblp.org/db/conf/wise/index.html,
Eventos da Área,EC,ACM conference on Economics and Computation,51,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=dpWPf1oNwIgJ.2023,,,,https://dblp.org/db/conf/sigecom/index.html,
Eventos da Área,ACM DocEng,ACM Symposium on Document Engineering,13,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=C6AfMlHpHa0J.2024,,,,https://dblp.org/db/conf/doceng/index.html,
Eventos da Área,IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,21,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=VXpZxWaAe0QJ.2023,,,,,
Eventos da Área,SAC,ACM/SIGAPP Symposium On Applied Computing,36,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=eLhWa3qzEDsJ.2023,,,,https://dblp.org/db/conf/sac/index.html,
Eventos da Área,ASMS,Advanced Satellite Multimedia Systems Conference,14,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=O90WS0zZyBYJ.2019,,,,https://dblp.org/db/conf/asms-spsc/index.html,
Eventos da Área,ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",123,https://scholar.google.com/citations?hl=en&vq=eng_signalprocessing&view_op=list_hcore&venue=HHC6AUo36fEJ.2023,,,,https://dblp.org/db/conf/icassp/index.html,
Eventos da Área,ICMEW,IEEE International Conference on Multimedia and Expo Workshops,22,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=Nb-CRah8-lcJ.2023,,,,,
Eventos da Área,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",24,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=N_9FWgf0qxMJ.2023,,,,https://dblp.org/db/conf/wowmom/index.html,
Eventos da Área,BMSB,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,16,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=vaFgnAHDc38J.2023,,,,https://dblp.org/db/conf/bmsb/index.html,
Eventos da Área,ISM,IEEE International Symposium on Multimedia,17,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=np9OvZCkWLIJ.2023,,,,https://dblp.org/db/conf/ism/index.html,
Eventos da Área,MMSP,IEEE Workshop on Multimedia Signal Processing,20,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_45azmq7lgwJ.2023,,,,https://dblp.org/db/conf/mmsp/index.html,
Eventos da Área,MoMM,International Conference on Advances in Mobile Computing & Multimedia,9,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=PZoAL1XKdJoJ.2022,,,,https://dblp.org/db/conf/momm/index.html,
Eventos da Área,MUM,International Conference on Mobile and Ubiquitous Multimedia,18,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=ZC8PGgykt-EJ.2023,,,,https://dblp.org/db/conf/mum/index.html,
Eventos da Área,ICWSM,International Conference on Web and Social Media,59,https://scholar.google.com.sg/citations?hl=en&vq=eng_databasesinformationsystems&view_op=list_hcore&venue=eH4qSzdbVtwJ.2023,,,,https://dblp.org/db/conf/icwsm/index.html,
Eventos da Área,CBMI,International Workshop on Content-Based Multimedia Indexing,16,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=nZ1bm2kqGmUJ.2023,,,,https://dblp.org/db/conf/cbmi/index.html,
Eventos da Área,CRIWG,International Workshop on Groupware,8,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=DOUIAOEhqWUJ.2019,,International Conference on Collaboration Technologies and Social Computing,,https://dblp.org/db/conf/criwg/index.html,
Eventos da Área,IMC,Internet Measurement Conference,45,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=Yh-Vy_bHNYMJ.2023,,,,https://dblp.org/db/conf/imc/index.html,
Eventos da Área,SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,3,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=KIaJcB9oivgJ.2023,,,,,https://sol.sbc.org.br/index.php/sbcup
Eventos da Área,UMAP,"User Modeling, Adaptation, and Personalization",28,https://scholar.google.com/citations?hl=pt-BR&view_op=list_hcore&venue=jtXTIwcBWV8J.2023,,,,https://dblp.org/db/conf/um/index.html,
