Sigla,Nome do evento,Link da SOL,número de edições,Ano da primeira edição ou idade do evento,CE associada,ultima edição,H5,H5 Link
BRACIS,Brazilian Conference on Intelligent Systems,https://sol.sbc.org.br/index.php/bracis,12,2012,CE-IA e CE-IC,2023,16,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=qXwIadFVNCsJ.2024
BraSNAM,Brazilian Workshop on Social Network Analysis and Mining,https://sol.sbc.org.br/index.php/brasnam,13,2012,GI-MARS,2024,8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=uCHdYLLURp0J.2024
BreSci,Brazilian e-Science Workshop,https://sol.sbc.org.br/index.php/bresci,17,?,?,2023,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Brazilian+e-Science+Workshop&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
BSB,Brazilian Symposium on Bioinformatics,https://sol.sbc.org.br/index.php/bsb,16,2005,CE-BioComp,2023,4,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Brazilian+Symposium+on+Bioinformatics&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
BWAIF,Brazilian Workshop on Artificial Intelligence in Finance,https://sol.sbc.org.br/index.php/bwaif,2,2022,CSBC,2023,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Brazilian+Workshop+on+Artificial+Intelligence+in+Finance&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
BWare,Brazilian Workshop on Large-scale Critical Systems (BWare),https://sol.sbc.org.br/index.php/bware/issue/archive,1,2019,?,2019,2,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Brazilian+Workshop+on+Large-scale+Critical+Systems+&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
CAPAIHC,"Workshop em Culturas, Alteridades e Participações em IHC (CAPAihc)",https://sol.sbc.org.br/index.php/capaihc/issue/archive,2,2017,CE-IHC,2023,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+em+Culturas%2C+Alteridades+e+Participa%C3%A7%C3%B5es+em+IHC&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
CBlockchain,Colóquio em Blockchain e Web Descentralizada,https://sol.sbc.org.br/index.php/cblockchain,2,2023,CSBC,2024,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Col%C3%B3quio+em+Blockchain+e+Web+Descentralizada&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
CoUrb,Workshop de Computação Urbana (CoUrb),https://sol.sbc.org.br/index.php/courb/issue/archive,7,2017,CE-RESD,2023,5,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Computa%C3%A7%C3%A3o+Urbana&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
DESAFIE,Workshop de Desafios da Computação Aplicada à Educação,https://sol.sbc.org.br/index.php/desafie,8,2012,CE-IE,2019,---,---
